Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0227368,0.0250497,0.0276081,0.012738,0.0212558,0.0090042,0.00692904,0.0109214,0.0158248,0.012278,0.0196442,0.025805,0.017319,0.0148706,0.014116,0.0221362,0.022425,0.0194191,0.0186131,0.0151884,0.0135668,0.00966759,0.0269089,0.0138763,0.0124852,0.0102563,0.00728395,0.00729662,0.0156739,0.0162977,0.0233602,0.0199984,0.0124884,0.0109724,0.0114899,0.020099,0.0211251,0.0170356,0.0204435,0.00974283,0.0132572,0.00912173
0,0.0322346,0.0294826,0.0197531,0.0110426,0.00850344,0.0113232,0.00480121,0.00690205,0.0153815,0.00670773,0.0123204,0.0258472,0.0201754,0.0200881,0.0162474,0.00712723,0.0140162,0.0133065,0.00620141,0.00859839,0.00474641,0.00528168,0.0358126,0.013919,0.00944612,0.0159622,0.00367586,0.00448923,0.0148765,0.0218813,0.0205628,0.0149026,0.0125154,0.0144288,0.0134936,0.0185787,0.0216477,0.0180764,0.0243657,0.0129349,0.0097975,0.00991376
1,0.0308711,0.0294479,0.0203561,0.0117981,0.00854841,0.0115194,0.00671298,0.00751413,0.0181753,0.0057799,0.00857868,0.0244588,0.0232604,0.0229329,0.0173788,0.00562138,0.0170511,0.0163218,0.0103028,0.00918114,0.0057702,0.00745105,0.0356789,0.0122078,0.00472244,0.01461,0.00426502,0.00378401,0.0146995,0.0213358,0.0176811,0.0147829,0.0076615,0.0091288,0.00839838,0.0146967,0.0158549,0.0147102,0.0212516,0.0117175,0.00922428,0.00969814
2,0.0296503,0.02969,0.0218568,0.0127883,0.00791174,0.0121183,0.00870974,0.00785087,0.0201005,0.00702863,0.00919026,0.0230769,0.0232675,0.0234417,0.0162117,0.00712632,0.0197141,0.0196603,0.015894,0.00920981,0.0065379,0.00892928,0.0352044,0.0116037,0.00701018,0.0139298,0.00490443,0.0031891,0.0150565,0.0213848,0.0177002,0.0148173,0.00579608,0.00741143,0.00718162,0.0100889,0.00957569,0.0109878,0.0200618,0.0105355,0.00836931,0.00952705
3,0.028852,0.0301571,0.0242076,0.0125368,0.00631489,0.0132246,0.0101415,0.00752849,0.0209784,0.00921315,0.00852291,0.0218719,0.0203479,0.0215055,0.0142545,0.00870685,0.0212164,0.0208465,0.016352,0.00922074,0.00730059,0.0100183,0.0346316,0.0121592,0.00792996,0.0141458,0.0058454,0.00269126,0.0163047,0.0220043,0.0180978,0.0149812,0.0070954,0.00764294,0.00806827,0.00558866,0.00388867,0.00770142,0.0194627,0.00977319,0.00757931,0.0095299
4,0.0287529,0.0308728,0.0273171,0.010181,0.00701333,0.0148524,0.0112035,0.00665825,0.0210517,0.0116017,0.00699852,0.0218593,0.0162064,0.0184896,0.0138328,0.0100976,0.0212977,0.02001,0.0145646,0.0101388,0.00912116,0.0114062,0.0341249,0.0133986,0.00666619,0.0149842,0.00713177,0.00260576,0.0182939,0.0227272,0.0178143,0.0157602,0.00854833,0.00705079,0.00813234,0.00604182,0.00629474,0.00675613,0.0185877,0.00989322,0.00776328,0.00970195
5,0.0292105,0.0316723,0.0306541,0.00730849,0.00968553,0.0167688,0.0122529,0.00575927,0.0207851,0.0141061,0.00614742,0.0236926,0.0129029,0.0161682,0.0143584,0.0117125,0.0199479,0.0182636,0.014131,0.0115857,0.011839,0.0128433,0.0336959,0.0147845,0.00482089,0.0159593,0.00830825,0.00308294,0.0203409,0.0229373,0.0168806,0.0173401,0.00925339,0.0053155,0.00692804,0.010168,0.0117496,0.0082275,0.0170493,0.0108954,0.00919948,0.00986515
6,0.0298026,0.0321741,0.0334,0.00755822,0.0113163,0.0184184,0.0130426,0.0052356,0.0203495,0.0164813,0.00629205,0.0263344,0.0116101,0.0151792,0.0145901,0.013185,0.017869,0.0168486,0.0153134,0.012383,0.0141539,0.0134643,0.0332117,0.0153438,0.00372008,0.0166803,0.00867654,0.00363659,0.0216302,0.0222906,0.0154147,0.019002,0.00937574,0.00339043,0.00509145,0.0139162,0.0160382,0.0104883,0.0148135,0.0121744,0.0107308,0.00975613
7,0.0301921,0.0321144,0.0350382,0.00991579,0.0110806,0.0192244,0.0131039,0.00487516,0.0197619,0.0181364,0.0070995,0.0279656,0.0119613,0.0149434,0.0144407,0.0139301,0.0161441,0.0164335,0.0163214,0.0121041,0.0155001,0.0130272,0.0325753,0.0142979,0.00327375,0.016963,0.00798277,0.00389531,0.0217229,0.0208907,0.0137922,0.0199145,0.00918183,0.00294509,0.00366217,0.0173093,0.0191816,0.0132033,0.0121992,0.0130436,0.011408,0.00920324
8,0.030176,0.0316012,0.0356298,0.0120025,0.00998186,0.0190017,0.012444,0.00409936,0.0192467,0.0185911,0.0083764,0.0277665,0.0126466,0.0145482,0.0137831,0.0141411,0.0152322,0.0168741,0.0160267,0.0110329,0.0160233,0.0119066,0.0317937,0.0122662,0.00299542,0.0167441,0.00661939,0.00378291,0.0207536,0.0191853,0.0130179,0.0199952,0.00907948,0.00443579,0.00386542,0.0212602,0.0216584,0.0161071,0.010138,0.0130417,0.0115017,0.00813662
9,0.0297581,0.0309856,0.0355622,0.0129484,0.00859137,0.0180746,0.011516,0.00279478,0.0191116,0.0179015,0.00940206,0.0264359,0.0126997,0.0131212,0.0123206,0.0144812,0.014893,0.0175077,0.014414,0.00988615,0.0154702,0.0105567,0.0309133,0.0105226,0.00268699,0.0160255,0.0052079,0.00334905,0.0192614,0.0176988,0.0135262,0.0197267,0.00952676,0.00623128,0.00513469,0.0258401,0.0235188,0.0184254,0.0095655,0.0120166,0.0119883,0.00659406
