time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.05,-0.109965,-0.0568899,0.0290812,0.923525,1.08568,-0.625993,1.06209,-0.0580195,-0.266502,-1.65471,0.378507,0.1,8.4727e-06,-0.129989,-0.107738,-0.387552,-0.543329,0.377877,0.1,-8.60161e-06,-0.189978,0.0785966,-0.336995,-0.878394,-0.29732,-0.26747,1.79852,2.17017,-0.0278763,-0.0186735,-0.0199147,-0.398112,0.0187449,2.23414,1.94917,0.0197158,-0.0137003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.602754,0,-0.67354,-7.9559,-17.3528,-0.449023,211.842,462.055,11.9562,0.00659998,0.105796,0
0.058333,-0.116589,-0.0623263,0.019746,0.927422,1.08966,-0.626509,1.05306,-0.0470446,-0.273389,-1.52323,0.384834,0.1,8.4727e-06,-0.192946,-0.104464,-0.435109,-0.459499,0.217233,0.1,-8.60161e-06,-0.170537,0.0886894,-0.338977,-0.91508,-0.290005,-0.285003,1.81565,2.16418,-0.0278763,-0.0186735,-0.0361379,-0.380124,0.027983,2.26121,1.92588,0.0197158,-0.0137003,-0.794968,-0.652364,-1.12023,0.467692,0.477503,-0.0618828,-1.08368,1.31699,-0.826537,15.7773,0.7592,0,0,-7.55487,0.392937,-5.70689,10.0596,-19.2773,0,0,2.3329,1.21114,-0.237788,-4.40232,0.877876,-2.10401,2.05498,-0.718609,0,0,-1.94678,2.15853,1.10857,3.24766,-2.79444,0,0,-67.0492,205.993,-25.1141,6.21583e-11,1.40517e-10,-8.71072e-11,1.73697,-3.40637,-10.4957,-27.8011,2.0573,-0.452344,0.000161912,-47.5357,-148.84,21.692,-61.6603,-77.699,-29.9908,0.000626183,-24.2001,20.0246,46.7681,12.8092,-6.43548,-1.8791,1.79975,-0.0485154,-0.23862,-0.115901,-5.29876,-0.936791,-0.67912,-2.29594,0.0642671,-0.0266856,0.334074,-5.83885,53.7115,14.2086,-5.67945,-9.88255,3.118,-30.1514,-41.3506,-15.0762,-16.0898,46.9628,0,0,145.008,36.5317,192.821,-288.838,439.378,0,0,-11.3298,-61.5506,-0.140481,82.2937,-0.29798,13.0345,-36.2734,18.6574,0,0,-1.58313,-32.831,-0.330138,-54.6995,2.91211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.57435,0,-0.673344,-5.51972,-10.2223,-0.146923,170.04,314.907,4.5261,0.0062223,0.100474,218.081
0.066667,-0.12362,-0.0640327,0.0113974,0.930925,1.09295,-0.626808,1.04193,-0.0389412,-0.281324,-1.39287,0.394422,0.1,8.4727e-06,-0.245833,-0.0986526,-0.469276,-0.395728,0.0871016,0.1,-8.60161e-06,-0.151883,0.0945079,-0.340968,-0.946051,-0.28271,-0.301631,1.83026,2.15949,-0.0278763,-0.0186735,-0.0524709,-0.364417,0.0371981,2.28447,1.9028,0.0197158,-0.0137003,-0.843625,-0.204768,-1.00183,0.420364,0.395148,-0.0358994,-1.33494,0.972404,-0.952172,15.6432,1.15056,0,0,-6.34646,0.697368,-4.10005,7.65256,-15.6158,0,0,2.23848,0.698213,-0.238959,-3.71654,0.875393,-1.99539,1.7527,-0.563131,0,0,-1.95997,1.88494,1.10582,2.79183,-2.77017,0,0,-43.4464,105.347,-12.0164,1.32871e-11,5.20117e-11,5.41736e-11,-18.2124,3.49907,-7.7157,-33.9682,1.90737,-0.589353,0.000157974,0.181906,-65.8684,10.9062,-47.6634,-45.6417,-18.855,0.000537533,-29.3861,7.31245,40.4256,11.9865,-5.37781,-1.58167,1.53577,-0.0401907,-0.20703,-0.101502,-4.79418,-1.40683,-0.667203,-2.40439,0.0673281,-0.0276784,0.342617,-5.1803,52.5155,14.333,-6.07482,-10.3103,1.26771,-29.6735,-40.7182,-15.9173,-19.7588,45.4967,0,0,144.362,35.1943,191.993,-289.36,438.836,0,0,-12.0196,-60.2925,0.291684,82.5797,-0.576384,13.4951,-36.5604,17.9842,0,0,-1.34138,-32.5441,-0.329451,-55.2866,4.48775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.538666,0,-0.670595,-2.8687,-4.53271,0.00304212,115.399,182.337,-0.122375,0.0059256,0.0985753,114.586
0.075,-0.13101,-0.0620922,0.00404421,0.934006,1.09553,-0.627019,1.02875,-0.0336655,-0.290364,-1.26388,0.407169,0.1,8.4727e-06,-0.288696,-0.0903972,-0.490111,-0.352051,-0.0125551,0.1,-8.60161e-06,-0.134064,0.0961393,-0.342939,-0.971288,-0.275455,-0.317322,1.84232,2.15604,-0.0278763,-0.0186735,-0.0688972,-0.350969,0.0463904,2.3039,1.88003,0.0197158,-0.0137003,-0.886794,0.232861,-0.882385,0.36974,0.309229,-0.0253352,-1.58222,0.633085,-1.08482,15.4786,1.5297,0,0,-5.14345,0.990653,-2.5001,5.24123,-11.9588,0,0,2.13832,0.195776,-0.236528,-3.02837,0.87059,-1.88293,1.44803,-0.413262,0,0,-1.97115,1.61374,1.10307,2.33111,-2.73278,0,0,-18.0225,29.4581,-3.37796,-2.42302e-10,-1.73813e-10,7.61426e-11,-39.3036,7.00867,-3.25454,-42.1277,1.72672,-0.787523,0.000152589,49.3995,-8.37104,4.74916,-31.1948,-22.9847,-10.9788,0.000458052,-32.203,-2.47801,35.6932,11.3723,-4.55929,-1.30596,1.33087,-0.0337455,-0.17754,-0.0924956,-4.41938,-1.74375,-0.650214,-2.48687,0.0710802,-0.0298001,0.35019,-3.07602,48.4535,14.4155,-6.31496,-10.3285,-0.107699,-28.3025,-38.2494,-18.0528,-31.3077,40.0387,0,0,142.311,30.9613,188.108,-290.472,433.441,0,0,-14.3493,-56.0183,1.81482,83.2962,-1.58933,14.8456,-37.2145,15.8343,0,0,-0.543424,-31.5081,-0.366649,-56.8928,9.32319,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.526227,0,-0.656351,-0.479102,-0.713782,0.00195993,61.2948,91.3191,-0.250748,0.00568067,0.0975881,34.6987
0.083333,-0.138613,-0.0567868,-0.00230793,0.936649,1.09739,-0.627238,1.0136,-0.031046,-0.300658,-1.13707,0.422697,0.1,8.4727e-06,-0.321675,-0.0799916,-0.497882,-0.328545,-0.0821118,0.1,-8.60161e-06,-0.117241,0.0938806,-0.344784,-0.99074,-0.26831,-0.331983,1.8518,2.1537,-0.0278763,-0.0186735,-0.0853611,-0.339709,0.0555572,2.31937,1.8579,0.0197158,-0.0137003,-0.912428,0.63664,-0.762256,0.317115,0.223159,-0.0262327,-1.81807,0.314341,-1.23526,15.2177,1.86335,0,0,-3.95753,1.24866,-0.932539,2.82063,-8.3468,0,0,2.01874,-0.271043,-0.221404,-2.33424,0.857345,-1.75921,1.13791,-0.28131,0,0,-1.97568,1.35117,1.10002,1.857,-2.65508,0,0,-5.78503,-16.1111,1.95307,3.26146e-10,1.84293e-10,-5.58842e-11,-60.4006,8.47729,1.56607,-52.0667,1.46705,-1.00999,0.000142907,86.5758,23.6482,1.05092,-18.7585,-11.4419,-7.47495,0.00038799,-35.0601,-5.85951,33.1201,11.0743,-4.11384,-1.05433,1.19638,-0.0294626,-0.149281,-0.0903033,-4.10296,-1.93716,-0.636257,-2.54781,0.0761668,-0.0337008,0.357868,0.952394,40.7918,13.9999,-6.24173,-9.89516,-1.03633,-25.9358,-33.0885,-21.4437,-53.5701,28.713,0,0,137.959,23.1489,178.933,-290.589,414.251,0,0,-19.1102,-47.1419,5.0323,84.3191,-3.79273,17.1978,-37.9324,11.8056,0,0,1.01158,-29.3018,-0.538035,-59.4408,18.0691,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.606723,0,-0.616559,1.04534,1.8893,0.0909665,23.6895,42.8152,2.06148,0.00548277,0.0958255,17.2293
0.091667,-0.146151,-0.0486488,-0.00768785,0.938858,1.09856,-0.627528,0.996647,-0.0307243,-0.312441,-1.01397,0.440219,0.1,8.4727e-06,-0.345074,-0.0679785,-0.493227,-0.32522,-0.122901,0.1,-8.60161e-06,-0.101745,0.0883482,-0.34628,-1.00434,-0.261429,-0.345448,1.85865,2.15218,-0.0278763,-0.0186735,-0.101755,-0.330484,0.0646866,2.33072,1.83703,0.0197158,-0.0137003,-0.904491,0.976571,-0.645591,0.265101,0.140699,-0.0348688,-2.0342,0.0386032,-1.41395,14.7713,2.10263,0,0,-2.80787,1.44157,0.558566,0.399054,-4.89471,0,0,1.85949,-0.663892,-0.179469,-1.63158,0.825739,-1.6159,0.821804,-0.18293,0,0,-1.96725,1.10699,1.09553,1.36166,-2.50451,0,0,-5.92163,-50.8197,4.54713,-2.07535e-10,6.09361e-11,-2.35271e-10,-80.3328,5.98756,6.83868,-62.2545,1.09868,-1.24391,0.000125154,110.412,40.0779,-1.8431,-10.6898,-5.79835,-5.44886,0.000322348,-37.9089,-10.2401,32.2068,10.9821,-3.92323,-0.838856,1.15516,-0.027568,-0.125217,-0.0971052,-3.91586,-2.03591,-0.63993,-2.6002,0.0816811,-0.0418197,0.364549,7.12649,28.3203,12.4746,-5.89124,-9.17514,-1.46853,-22.7404,-24.807,-24.3511,-86.4395,9.7814,0,0,130.797,12.143,160.304,-287.893,372.217,0,0,-26.5341,-33.7335,10.242,85.2397,-7.43621,20.2376,-38.0553,6.42821,0,0,3.25865,-25.7542,-0.99799,-62.3203,29.945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.743164,0,-0.568347,1.12506,3.80755,0.611416,6.10565,20.6634,3.31814,0.00532972,0.0928629,51.3652
0.1,-0.153193,-0.038544,-0.0122015,0.940658,1.0991,-0.627921,0.978116,-0.0321253,-0.325915,-0.896881,0.45842,0.1,8.4727e-06,-0.35939,-0.0551222,-0.47744,-0.341887,-0.137842,0.1,-8.60161e-06,-0.0880923,0.0804732,-0.347064,-1.01201,-0.255064,-0.357509,1.86286,2.1511,-0.0278763,-0.0186735,-0.117922,-0.323048,0.0737467,2.33774,1.81824,0.0197158,-0.0137003,-0.845104,1.21257,-0.541636,0.216007,0.0642394,-0.0471066,-2.22371,-0.168122,-1.61688,14.0509,2.18414,0,0,-1.71789,1.54276,1.89444,-2.00006,-1.7929,0,0,1.63837,-0.945004,-0.0941184,-0.921248,0.763771,-1.44725,0.504677,-0.129362,0,0,-1.94009,0.892374,1.08722,0.842323,-2.25496,0,0,-10.9944,-70.4397,6.59951,6.57052e-11,-3.75167e-11,2.90356e-10,-98.9871,1.94143,11.2312,-71.3262,0.581182,-1.4286,9.66559e-05,126.238,46.0888,-5.17087,-3.12007,1.40323,0.529514,0.000259031,-39.8182,-12.2902,33.2441,11.1133,-4.06189,-0.676025,1.17095,-0.0265327,-0.105325,-0.109445,-3.9202,-1.96763,-0.63623,-2.63428,0.0871207,-0.0506316,0.368658,14.9428,12.4557,9.42611,-5.49382,-8.47739,-1.47607,-19.2882,-13.7329,-24.9091,-126.945,-16.1917,0,0,120.557,-1.14256,130.371,-280.281,303.719,0,0,-36.1447,-16.5063,17.2789,85.398,-12.4483,23.2692,-36.7317,1.09237,0,0,5.84773,-21.021,-1.88251,-64.5898,42.6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521184,0.0931932,71.5973
0.108333,-0.159198,-0.0275742,-0.0160605,0.942077,1.09904,-0.628416,0.958246,-0.03448,-0.341119,-0.788606,0.475497,0.1,8.4727e-06,-0.365333,-0.0423452,-0.4526,-0.378018,-0.131691,0.1,-8.60161e-06,-0.0769492,0.0714519,-0.346648,-1.01376,-0.249564,-0.367953,1.86451,2.1501,-0.0278763,-0.0186735,-0.133684,-0.317071,0.0826761,2.34027,1.80241,0.0197158,-0.0137003,-0.72058,1.31637,-0.463085,0.170225,-0.00640558,-0.0594071,-2.38444,-0.282562,-1.82445,12.9931,2.04921,0,0,-0.713255,1.53324,2.98086,-4.33573,0.738094,0,0,1.33717,-1.08256,0.0498721,-0.209598,0.660035,-1.25334,0.19858,-0.120259,0,0,-1.89136,0.717199,1.07153,0.304075,-1.89974,0,0,-22.3739,-65.1355,0.784105,7.64615e-11,1.64846e-11,-5.94369e-11,-117.114,-1.69786,14.0871,-79.0476,-0.0803372,-1.52691,5.88576e-05,132.414,31.7277,-4.95879,1.6573,1.01328,0.334238,0.000200728,-40.257,-11.4006,35.9604,11.1637,-4.56899,-0.615394,1.27195,-0.0273239,-0.0954317,-0.128115,-4.12507,-1.73985,-0.617994,-2.5768,0.0890923,-0.059191,0.362409,23.4292,-5.00603,4.91592,-5.13715,-7.5395,-1.01565,-16.2642,-1.31974,-22.0695,-170.008,-45.4939,0,0,107.367,-14.9557,91.8302,-265.808,214.168,0,0,-46.7098,2.57893,25.418,83.9958,-18.4049,25.4336,-33.1793,-2.60604,0,0,8.21334,-15.5703,-3.27779,-65.2743,53.1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511018,0.099392,68.8756
0.116667,-0.163576,-0.0169521,-0.0195782,0.943139,1.09847,-0.628982,0.937246,-0.0369263,-0.357855,-0.692136,0.489415,0.1,8.4727e-06,-0.363821,-0.0306068,-0.421382,-0.432608,-0.110667,0.1,-8.60161e-06,-0.0690499,0.0626097,-0.344468,-1.00967,-0.245342,-0.376632,1.86386,2.14891,-0.0278763,-0.0186735,-0.148875,-0.312176,0.0913779,2.33827,1.79026,0.0197158,-0.0137003,-0.525337,1.27465,-0.422119,0.127416,-0.0692347,-0.0678709,-2.51998,-0.29356,-2.00837,11.5763,1.67009,0,0,0.181467,1.40861,3.74611,-6.55079,2.52282,0,0,0.94792,-1.06107,0.261688,0.490368,0.506661,-1.0414,-0.0779145,-0.141976,0,0,-1.82291,0.587447,1.04421,-0.239878,-1.45712,0,0,-32.9934,-44.7386,-6.26859,-5.7673e-11,-1.84968e-10,-9.28101e-11,-134.506,-2.74767,15.2885,-85.1574,-0.828687,-1.52051,1.6217e-05,135.751,9.27658,-3.39793,6.67121,0.729545,0.00873686,0.000152004,-38.9803,-9.00746,39.4478,11.0439,-5.28155,-0.648822,1.43151,-0.0290757,-0.0954815,-0.150241,-4.50214,-1.38976,-0.579408,-2.43712,0.0868551,-0.0653405,0.345788,31.2714,-22.0126,-0.660578,-4.91944,-6.69653,-0.21257,-14.2014,11.3789,-14.2403,-209.163,-73.6423,0,0,91.7786,-28.1327,47.1744,-243.769,116.241,0,0,-56.4859,21.1,33.6972,80.3597,-24.6409,26.0314,-26.9797,-3.60564,0,0,9.73964,-10.0826,-5.20373,-63.6675,58.7789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500352,0.104752,55.9411
0.125,-0.165782,-0.0078586,-0.0231417,0.943859,1.09743,-0.629562,0.91526,-0.0385825,-0.375581,-0.610192,0.498218,0.1,8.4727e-06,-0.355935,-0.020822,-0.386888,-0.504126,-0.0815716,0.1,-8.60161e-06,-0.0650732,0.0552327,-0.339947,-1.00001,-0.242831,-0.383502,1.86134,2.14748,-0.0278763,-0.0186735,-0.163389,-0.30798,0.0997183,2.33185,1.7822,0.0197158,-0.0137003,-0.264742,1.09122,-0.427624,0.0864206,-0.125039,-0.0696423,-2.63832,-0.198736,-2.12704,9.83331,1.0564,0,0,0.946289,1.17417,4.13923,-8.5822,3.4915,0,0,0.477204,-0.885233,0.542498,1.16003,0.30132,-0.824468,-0.302745,-0.172023,0,0,-1.74175,0.503425,1.00085,-0.77044,-0.967293,0,0,-41.8134,-17.142,-10.7016,-1.49081e-11,-3.11502e-11,1.33262e-10,-150.752,0.894744,15.0982,-89.972,-1.57038,-1.41256,-2.43387e-05,138.28,-13.5329,-1.06611,11.1734,0.593786,-0.343205,0.000119098,-36.5838,-6.49557,42.4361,10.634,-6.00113,-0.75194,1.63515,-0.0317449,-0.104359,-0.174213,-4.92889,-1.00338,-0.526077,-2.21901,0.0797411,-0.068262,0.318885,37.0858,-36.6644,-6.71068,-4.79846,-6.02843,0.829408,-13.1518,23.6421,-0.250119,-238.456,-96.3256,0,0,74.6865,-39.9165,-0.148575,-214.394,25.0445,0,0,-63.6936,36.6658,41.1541,74.2536,-30.436,24.8401,-18.3214,-1.70925,0,0,9.95971,-5.31293,-7.59097,-59.5755,58.0928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487451,0.108228,46.4406
