Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
237,0.0370257,0.0200604,0.0206023,0.0202556,0.0158757,0.0104293,0.00552358,0.00537944,0.0104807,0.00377748,0.0434445,0.0234677,0.0139042,0.0100996,0.0193816,0.00602833,0.0193634,0.00990129,0.0138567,0.0544963,0.0108041,0.00759289,0.00825028,0.0267756,0.0122205,0.0130664,0.00959303,0.00825035,0.00518481,0.00543754,0.00614764,0.0104348,0.021796,0.0357711,0.0175469,0.0137123,0.0133923,0.00397593,0.0111115,0.0254224,0.018363,0.0453766,0.0101839,0.00396993,0.00492974
238,0.0361228,0.0200911,0.0203017,0.0191865,0.0143821,0.00976986,0.00462222,0.00545619,0.00996094,0.00307751,0.0523637,0.0231045,0.0143591,0.00865791,0.0191689,0.00777488,0.0231774,0.0110337,0.0160164,0.0659196,0.0105205,0.00673318,0.00704654,0.0263893,0.0128461,0.0170171,0.00880047,0.00762853,0.00425351,0.00533172,0.00584112,0.0101024,0.0246802,0.0434794,0.0168978,0.013902,0.0146412,0.00450596,0.0113778,0.0246865,0.0203798,0.0559314,0.01019,0.00404782,0.00502856
239,0.0350768,0.020102,0.0198842,0.0183442,0.0145988,0.00903162,0.0037858,0.0055426,0.00948169,0.00250957,0.0561062,0.022202,0.014808,0.00735711,0.0199733,0.00890808,0.0252623,0.0135111,0.0162641,0.0707073,0.0100879,0.0060667,0.00600562,0.0262751,0.0136371,0.0212179,0.00786989,0.00693935,0.00315268,0.00508659,0.00522461,0.00978243,0.0277596,0.0501817,0.016199,0.0133553,0.0150842,0.00543009,0.0119957,0.0239299,0.0221947,0.0649453,0.0102666,0.00411096,0.00509215
240,0.0340345,0.020088,0.0194677,0.017643,0.0163836,0.00829616,0.00306885,0.00577569,0.00914099,0.00211252,0.0551217,0.0206122,0.0150116,0.00646568,0.0213825,0.00843075,0.0256388,0.0150937,0.0149277,0.069398,0.00934594,0.00558047,0.00526838,0.026351,0.0143651,0.0252085,0.00758539,0.00618172,0.00216708,0.00498584,0.00443248,0.00954193,0.0308658,0.0556844,0.0154313,0.0123586,0.0148775,0.00691773,0.0124411,0.0229154,0.0234996,0.072753,0.0104557,0.00411616,0.00513083
241,0.0330209,0.020035,0.0191677,0.0169049,0.0194869,0.00767065,0.0025453,0.00608193,0.00900578,0.0018096,0.0507665,0.0183323,0.0149644,0.00594164,0.0227859,0.00584696,0.0244776,0.0144347,0.0126466,0.0635954,0.00825594,0.00524223,0.00479087,0.0265212,0.014859,0.0286018,0.00776194,0.00533751,0.00146299,0.00523571,0.00361477,0.00939244,0.0337253,0.0597544,0.0146119,0.01121,0.014288,0.00874764,0.0123502,0.0214788,0.0240346,0.0792557,0.0106708,0.00402657,0.00511336
242,0.0320148,0.0199162,0.0190488,0.0162168,0.0241571,0.00725805,0.00235351,0.00632249,0.00911679,0.00153892,0.0444881,0.0155003,0.0146993,0.00614967,0.0244388,0.00347411,0.0221642,0.0120521,0.0104546,0.0554509,0.00696229,0.00501901,0.00444011,0.0266562,0.0150034,0.0311269,0.00797917,0.00445838,0.00124935,0.00583233,0.00310751,0.00933226,0.0360362,0.0622934,0.0138006,0.0101564,0.01359,0.0106924,0.0117842,0.0196796,0.0237427,0.0838639,0.0107571,0.00391479,0.00503038
243,0.0310522,0.0197351,0.0190804,0.0159179,0.0298423,0.00713999,0.0026492,0.00637333,0.0094564,0.0013386,0.0369647,0.0123573,0.0141527,0.00786313,0.0270076,0.00810547,0.0190833,0.0104955,0.009202,0.0471969,0.00570576,0.00484977,0.00410585,0.026587,0.0147208,0.0325921,0.00774616,0.00366186,0.00180988,0.00665433,0.00320969,0.0093992,0.0375399,0.0633077,0.0130073,0.00949707,0.0129787,0.0126187,0.011058,0.0176736,0.0227355,0.0858784,0.0105176,0.00388058,0.00491838
244,0.0302057,0.0195455,0.0191859,0.0161276,0.0347324,0.00737937,0.00347151,0.00617263,0.00990543,0.00138345,0.0281297,0.00924492,0.0133286,0.010205,0.030157,0.0130862,0.0158011,0.0115282,0.00877431,0.0398363,0.0047113,0.00462453,0.00377685,0.0262334,0.0140435,0.0328603,0.00696127,0.00307729,0.00286034,0.00760313,0.00370528,0.00969056,0.0380697,0.062864,0.0122195,0.00955689,0.0125447,0.0143963,0.0105385,0.0156941,0.0211692,0.0849868,0.00979289,0.00397851,0.00486468
245,0.0295381,0.0194965,0.0193091,0.0163857,0.0371426,0.00797708,0.00462182,0.00569312,0.0103259,0.00170581,0.0192998,0.00665497,0.0124043,0.0119695,0.0320715,0.0152169,0.0133909,0.0128038,0.00868849,0.0332069,0.00415411,0.00421599,0.00349482,0.0257244,0.01326,0.031991,0.00612602,0.00268056,0.00385742,0.00873392,0.00412348,0.0102771,0.0375917,0.0611143,0.01145,0.0103546,0.0122053,0.0157444,0.0106329,0.0143951,0.0193075,0.0815227,0.00848519,0.00418238,0.00484757
246,0.0290849,0.0197775,0.0195563,0.0160645,0.0361706,0.00889449,0.00576182,0.00483822,0.0106554,0.00201375,0.0143939,0.00531387,0.0116653,0.0131225,0.0306254,0.0147039,0.0126914,0.0123304,0.00884197,0.0283544,0.00437919,0.00357241,0.00337845,0.0253378,0.0128305,0.0303997,0.0058789,0.00242059,0.00442477,0.0102002,0.00423064,0.0110758,0.0362832,0.058354,0.0107833,0.0114732,0.0117394,0.0162887,0.011652,0.0149692,0.0177219,0.076394,0.00674374,0.00451607,0.00466999
247,0.0288817,0.0204591,0.0201779,0.0151546,0.0320098,0.0101267,0.00664388,0.00359002,0.0109206,0.00215802,0.0148993,0.00551081,0.0114007,0.013835,0.0255127,0.0129376,0.0126959,0.0101733,0.00865711,0.0269488,0.00563235,0.00294089,0.00375049,0.0252309,0.0132194,0.0287629,0.00657771,0.00287383,0.00466594,0.0120099,0.0041088,0.0118416,0.0345782,0.0550321,0.0105401,0.012396,0.0109863,0.0158791,0.013414,0.0177074,0.017093,0.0707844,0.00534633,0.00515872,0.00422098
248,0.0288988,0.0213415,0.0212948,0.0142877,0.0265786,0.0115997,0.0071732,0.00270878,0.0111685,0.00248079,0.0174664,0.00669674,0.0116693,0.0141979,0.0190991,0.0110422,0.0117452,0.00677582,0.00763029,0.0286433,0.00735308,0.00295087,0.00477714,0.0252398,0.0145482,0.0276213,0.00838006,0.0044248,0.00521031,0.0138947,0.00389498,0.0123073,0.0329836,0.0516551,0.0109508,0.0127749,0.00995416,0.0147593,0.0151084,0.0208853,0.0172278,0.0657294,0.00539777,0.00620853,0.00395122
249,0.0289563,0.0220357,0.0227076,0.0139277,0.0225538,0.0129865,0.0073034,0.00334645,0.0114545,0.00335645,0.0204299,0.00860523,0.0122635,0.0146987,0.0148199,0.00983397,0.00965774,0.00325374,0.00702268,0.0318093,0.00877035,0.00377695,0.00611848,0.0250431,0.0163684,0.0271182,0.0110918,0.00632578,0.00649881,0.0155392,0.00369206,0.0123776,0.0318465,0.0486502,0.0113632,0.0125453,0.0088218,0.0134343,0.0158611,0.0223985,0.016937,0.0617985,0.0063443,0.00729847,0.00455306
250,0.028896,0.022329,0.023991,0.0138754,0.0214206,0.0137251,0.00696007,0.00422948,0.0117326,0.00446444,0.0230019,0.0107961,0.0131773,0.0153976,0.0144996,0.00945155,0.00768901,0.00434891,0.00809572,0.0346918,0.00965209,0.0047769,0.00731718,0.0245031,0.0182074,0.0270678,0.0139339,0.00793204,0.00820369,0.0167575,0.00367243,0.0121723,0.0312115,0.0462536,0.0110356,0.0118488,0.00787215,0.0123077,0.0154043,0.021554,0.0155001,0.0590207,0.00701688,0.00791436,0.00565422
251,0.0286748,0.0223447,0.0247963,0.0135268,0.0230549,0.013352,0.00609343,0.00401482,0.0117187,0.00513203,0.0246767,0.0123719,0.0145038,0.0160037,0.016901,0.00963114,0.00702268,0.00671104,0.00957339,0.0361862,0.010272,0.00553679,0.0080565,0.0237694,0.019691,0.0271632,0.015788,0.00896004,0.00949435,0.0173624,0.00388643,0.0118933,0.030891,0.0445013,0.0101621,0.0108739,0.00725227,0.0114789,0.0142117,0.0193987,0.0133878,0.0570878,0.00734451,0.00799673,0.00640504
252,0.0283072,0.0223371,0.0250928,0.0125272,0.0262225,0.0118687,0.00477945,0.00242486,0.011138,0.00493292,0.0254616,0.0127618,0.0160286,0.0161465,0.0194496,0.00970782,0.00708709,0.00716658,0.0101531,0.0363129,0.0108713,0.00659255,0.00820071,0.0231095,0.0203917,0.0271838,0.0157591,0.00925224,0.00959986,0.0172301,0.00412725,0.011763,0.0306945,0.0432712,0.00940128,0.00982106,0.00681764,0.0108593,0.0130387,0.0174015,0.0115988,0.0556322,0.00765474,0.007854,0.00636162
253,0.0279255,0.0224372,0.0251628,0.0111381,0.0297961,0.00982437,0.00343405,0.000482189,0.010093,0.00429938,0.0253287,0.0121374,0.0174373,0.0151362,0.0205209,0.00856876,0.00713768,0.00608448,0.00935403,0.0356397,0.0114056,0.0086361,0.00779616,0.0226442,0.0201654,0.0270698,0.0137237,0.00869189,0.00846935,0.0165315,0.00428057,0.0120321,0.0305679,0.042366,0.00900823,0.00893309,0.00645435,0.0103897,0.0122884,0.0158098,0.0106041,0.0543724,0.00778749,0.00757454,0.00556384
254,0.0277042,0.0225568,0.0253488,0.00985029,0.0336497,0.00798906,0.00315663,0.00300513,0.00903038,0.00455403,0.0241412,0.0111037,0.0185262,0.0127954,0.0203577,0.0060248,0.00762325,0.00446609,0.00734453,0.0347332,0.0116675,0.0108944,0.00696808,0.0222831,0.0193516,0.0267869,0.0104607,0.00729151,0.00707329,0.0155701,0.00437625,0.0127063,0.0304603,0.0416108,0.00881125,0.0084365,0.00627716,0.0100234,0.0120017,0.0140354,0.01001,0.0530703,0.00729868,0.00703701,0.00442648
255,0.0277129,0.0224799,0.025762,0.0089568,0.0377521,0.00678679,0.00427523,0.00525388,0.00835527,0.00592074,0.0221357,0.0101729,0.0192484,0.00975011,0.0203403,0.00358695,0.00867129,0.00321407,0.00513693,0.0344401,0.0114991,0.0120679,0.00579494,0.0218811,0.0184047,0.0261408,0.0072005,0.00534046,0.00670271,0.014449,0.00430557,0.013279,0.0301543,0.0408954,0.00861313,0.00845838,0.00637632,0.00955693,0.0121159,0.012011,0.00935219,0.0514369,0.0060291,0.00623946,0.00343983
256,0.0279169,0.022038,0.0262192,0.00876991,0.0410488,0.00603579,0.0056875,0.00664185,0.00811499,0.00748571,0.0203072,0.00952625,0.0197539,0.00679369,0.0209959,0.00434385,0.00982015,0.00334366,0.00492266,0.0359574,0.0109563,0.0116697,0.00437768,0.021373,0.0174481,0.0248066,0.00490991,0.00349625,0.00729704,0.013128,0.00379772,0.0131492,0.0293969,0.0401623,0.00832763,0.00898557,0.00663033,0.00873215,0.0123119,0.0102467,0.00883615,0.0491853,0.00428628,0.00513884,0.00276431
257,0.0282363,0.0212477,0.0264443,0.00974689,0.0417207,0.00537027,0.00687644,0.0072293,0.00809143,0.00891688,0.020654,0.00919926,0.0201991,0.00536159,0.0214392,0.00615892,0.0110315,0.00495648,0.00701805,0.0396424,0.0103332,0.0103478,0.00341792,0.0207543,0.0162809,0.0226038,0.00380198,0.00253645,0.00791608,0.0116534,0.00273766,0.0122393,0.0282044,0.0393854,0.00794459,0.00985879,0.00683483,0.00753347,0.0122273,0.00919372,0.00919075,0.0462435,0.00301209,0.00369208,0.00232168
258,0.0286011,0.0203008,0.0263144,0.0118094,0.0383316,0.00466492,0.00779566,0.00733934,0.00807994,0.0102407,0.0245645,0.00928446,0.0205499,0.00682114,0.0208853,0.00625434,0.0124849,0.00718744,0.00924797,0.0440111,0.0100458,0.00949781,0.00446551,0.0200306,0.0146893,0.019754,0.00348472,0.00247692,0.00818367,0.0101997,0.00190478,0.0110668,0.0269373,0.0385702,0.00746968,0.0107182,0.00696607,0.00636424,0.0118737,0.00889215,0.0107772,0.0429045,0.00347974,0.00230383,0.00232429
259,0.0289909,0.0194179,0.0259543,0.0141578,0.0310579,0.00401042,0.00852363,0.00732078,0.00801213,0.011368,0.0299657,0.00977214,0.0207662,0.00894146,0.0192838,0.00436595,0.013922,0.00932629,0.0109208,0.0465486,0.0103833,0.00995492,0.0069221,0.0192278,0.0127816,0.0168311,0.0036022,0.00270941,0.0081715,0.00899958,0.00320901,0.0102504,0.0260015,0.0377599,0.00696935,0.0111392,0.00741373,0.00603219,0.0116427,0.00918992,0.0131802,0.0396676,0.00493621,0.00192065,0.00286323
260,0.0293939,0.0187221,0.0256429,0.0158209,0.022312,0.00352008,0.00911057,0.00739024,0.007913,0.0120446,0.0334111,0.0103541,0.021049,0.00963197,0.0169734,0.0027928,0.0147634,0.0109207,0.0121508,0.0456263,0.0112181,0.0111044,0.00932321,0.0184298,0.0111237,0.0143527,0.00402671,0.00308469,0.00802291,0.00825979,0.00547243,0.00998647,0.0254407,0.036962,0.00673954,0.0109529,0.00853592,0.00693786,0.012071,0.0100421,0.0157907,0.0368395,0.00636321,0.00237166,0.00346839
261,0.0297501,0.0182482,0.0256272,0.0161626,0.0154846,0.00319684,0.00954612,0.00759271,0.00779052,0.0120809,0.0332926,0.0106483,0.0215762,0.00835724,0.0147406,0.00467137,0.0148292,0.0118911,0.0124106,0.0419641,0.0120333,0.0120533,0.0109092,0.0177639,0.010465,0.0123235,0.00467593,0.00360722,0.00781767,0.00805701,0.00747391,0.0100735,0.0248228,0.035916,0.00709037,0.0103173,0.0098229,0.00829541,0.0133422,0.0112886,0.0181219,0.0342231,0.00747853,0.00271771,0.00380244
262,0.0299597,0.0179708,0.0259824,0.0152169,0.011561,0.00290614,0.00983333,0.00787071,0.00760125,0.0115395,0.0303317,0.0105307,0.0221617,0.00584729,0.0135299,0.0066391,0.01454,0.0124626,0.0109679,0.0376575,0.0123367,0.0123989,0.0114718,0.0173232,0.0112269,0.0102916,0.00542451,0.00418319,0.00754988,0.00827509,0.00859723,0.0102266,0.0235551,0.0339111,0.0077793,0.00952054,0.0103511,0.00906537,0.0150696,0.0125312,0.0196497,0.0311503,0.00818027,0.00284654,0.003877
263,0.0299371,0.0177834,0.0265702,0.0136643,0.00977542,0.00250707,0.0100368,0.00816158,0.0073415,0.0107112,0.0260261,0.0101671,0.022462,0.0036781,0.0132741,0.00722129,0.014103,0.0130979,0.00844872,0.0335977,0.0120264,0.012101,0.0112645,0.0171174,0.0131302,0.00808957,0.00612365,0.0047066,0.007189,0.00868368,0.00857757,0.0102366,0.02135,0.0299661,0.00830793,0.00874805,0.00966119,0.0086168,0.0165485,0.0131732,0.0197515,0.0267964,0.00844487,0.00293,0.00385738
264,0.0296618,0.0175402,0.0271518,0.0123796,0.0115071,0.00204894,0.0102652,0.00845222,0.00712491,0.00996639,0.0209151,0.00979396,0.0222758,0.00308354,0.0130796,0.00641934,0.0132071,0.0140685,0.00681287,0.0290843,0.0114523,0.0113738,0.0108057,0.0170874,0.0152413,0.00651442,0.00661795,0.00510385,0.00678614,0.00907307,0.00786088,0.010052,0.0184173,0.023348,0.00845701,0.00797845,0.00808033,0.00691181,0.0168324,0.0125438,0.0180391,0.0204639,0.00840791,0.0031395,0.0038826
265,0.0291872,0.0171404,0.0275706,0.0117911,0.0147385,0.00176057,0.0105774,0.00870681,0.00711228,0.0095625,0.0145414,0.0095426,0.0215817,0.00348268,0.0123195,0.00524899,0.0118898,0.0148981,0.00654674,0.022621,0.0111193,0.0106254,0.010575,0.0171507,0.0165839,0.00633908,0.00677186,0.00529982,0.00644189,0.00936524,0.00785957,0.00973859,0.0152434,0.014089,0.00822584,0.00717184,0.00680695,0.00479052,0.0152449,0.0104831,0.0146977,0.0119315,0.00831302,0.00353792,0.00397915
266,0.0286066,0.0165727,0.027839,0.0117317,0.0160851,0.00178324,0.0109697,0.00886339,0.00742533,0.00959556,0.00847097,0.00945451,0.020681,0.00440627,0.0106673,0.00632034,0.0104807,0.0149153,0.00611629,0.0136529,0.011313,0.0103396,0.010839,0.0172132,0.0167191,0.00657945,0.00653883,0.00526338,0.00625919,0.00957253,0.00980043,0.00934643,0.0121689,0.00333444,0.00805911,0.00651669,0.00741317,0.00441243,0.0121237,0.00796124,0.0104021,0.00522403,0.00839049,0.00408807,0.00412107
267,0.0279907,0.0159122,0.0280232,0.011908,0.0146993,0.00208015,0.0113809,0.00887778,0.00805941,0.0100322,0.0130143,0.00960068,0.0201579,0.00565935,0.00809955,0.00986085,0.00861883,0.0139601,0.00515061,0.0130609,0.0119329,0.0107497,0.0115658,0.017195,0.0158356,0.00630028,0.00603264,0.00503467,0.00630368,0.00974045,0.013059,0.00891489,0.00930678,0.00806063,0.00886108,0.00618832,0.00963425,0.00628859,0.00873963,0.00696927,0.0060154,0.0142376,0.00873207,0.00474251,0.00427537
268,0.027398,0.0153083,0.0281405,0.0121326,0.0113006,0.00256464,0.0117172,0.00876161,0.00885178,0.0107267,0.0242094,0.0101089,0.0203084,0.006704,0.0056614,0.0135392,0.00573571,0.0123124,0.00459607,0.0272833,0.0127077,0.0116513,0.0124929,0.0170344,0.0144689,0.0056258,0.00546144,0.00470047,0.00657312,0.00990281,0.0165046,0.00854081,0.00694817,0.0173323,0.0108753,0.0063405,0.0121275,0.00844477,0.00648174,0.00829348,0.00370926,0.0248545,0.0092819,0.00548197,0.00443388
269,0.0268979,0.0149186,0.0281972,0.0122682,0.00718832,0.00308543,0.0118833,0.00853693,0.00956222,0.0114428,0.0348673,0.0109859,0.0203639,0.0071694,0.00599784,0.0158685,0.00238047,0.0103741,0.00528403,0.0423621,0.0134275,0.0126491,0.0133239,0.0166867,0.0132115,0.00564342,0.00498945,0.00436186,0.00697651,0.0100669,0.0194078,0.00831156,0.00580991,0.0237008,0.0129734,0.00709837,0.0141222,0.0100434,0.00686568,0.01059,0.00647269,0.0316117,0.00988445,0.00625757,0.00460913
270,0.0265075,0.0148055,0.0282765,0.0122056,0.00512748,0.00348996,0.0117973,0.00817836,0.00998179,0.0119569,0.0430542,0.0119621,0.0191218,0.0070395,0.00864207,0.016398,0.00383935,0.00865114,0.00697303,0.0539509,0.013964,0.0134427,0.0138535,0.0161487,0.0125554,0.00723498,0.00470893,0.00410295,0.00740317,0.0102374,0.0211954,0.00810324,0.00556794,0.0266739,0.0135013,0.00801083,0.0153317,0.0107383,0.00980639,0.0127411,0.0101325,0.0332036,0.0103018,0.00695369,0.00480627
271,0.0261456,0.0148881,0.0285218,0.0118554,0.00791558,0.00371254,0.0114121,0.00766878,0.0100079,0.0121847,0.0484641,0.0126265,0.0168265,0.00655954,0.0112647,0.0156011,0.00807831,0.00786072,0.00910758,0.0613917,0.0142373,0.0139055,0.0139853,0.0154978,0.0127726,0.00880323,0.00463888,0.00397528,0.00781934,0.0104101,0.0212081,0.00764673,0.00464921,0.026651,0.0119558,0.00854672,0.0158502,0.0101657,0.0124215,0.0138214,0.0124506,0.0306834,0.0102947,0.00746453,0.00502896
272,0.0257028,0.0149966,0.0290096,0.0111656,0.0121574,0.00378889,0.0107354,0.00709249,0.00964699,0.0121691,0.0514475,0.0127249,0.0149109,0.0061684,0.0133384,0.0144126,0.0120071,0.00841112,0.0112137,0.0655917,0.0142169,0.0140413,0.0137105,0.0148758,0.0138449,0.00881056,0.00463582,0.00398282,0.00827919,0.0105567,0.019195,0.00702246,0.00479461,0.0241772,0.00958295,0.00881736,0.0160567,0.00845207,0.0126078,0.0131616,0.0128517,0.0263774,0.0097574,0.00777913,0.00526398
273,0.0251217,0.0150226,0.0296387,0.0103069,0.0159404,0.00379346,0.00982142,0.00662466,0.00895155,0.0119674,0.0525134,0.0122847,0.0140451,0.0064309,0.0150774,0.0136146,0.015087,0.00985341,0.0129689,0.0676818,0.0139008,0.0138867,0.0130762,0.0143982,0.0154714,0.00724167,0.00450358,0.0040771,0.00883104,0.0106504,0.0159109,0.00693122,0.00910146,0.0185957,0.00770525,0.0095131,0.0163995,0.00725091,0.0106656,0.0107507,0.0118225,0.0219439,0.00877779,0.0079586,0.00544058
274,0.0244352,0.0150423,0.030223,0.00977593,0.0186831,0.00379898,0.00872633,0.00642682,0.00792627,0.0115657,0.0522071,0.0115259,0.0142185,0.00762418,0.0165709,0.0135474,0.0172286,0.0116609,0.0143465,0.0682665,0.0132136,0.0133782,0.0121088,0.0141215,0.0173384,0.00508562,0.00427633,0.00420516,0.00942378,0.0107489,0.0121924,0.00821014,0.014347,0.0089486,0.00633224,0.0106609,0.0168027,0.00817472,0.00837732,0.00726065,0.0106235,0.0168953,0.00753766,0.00800673,0.00542094
275,0.023788,0.0152705,0.030614,0.0101307,0.0199451,0.00400641,0.00740715,0.00643995,0.00652846,0.0107733,0.0509938,0.0106927,0.0150141,0.00928504,0.0174829,0.0140161,0.0188409,0.0138768,0.0156065,0.067435,0.0118796,0.0122085,0.0106578,0.0141206,0.0193361,0.00454932,0.00412302,0.00425791,0.00982488,0.0110113,0.0081745,0.0106695,0.0182074,0.00525161,0.00530994,0.0107037,0.0161565,0.00920696,0.00640853,0.0047219,0.0100576,0.0101726,0.00610644,0.00771341,0.00490545
276,0.0234068,0.0158991,0.0307793,0.0113479,0.0192975,0.00468818,0.00582357,0.00634828,0.00507092,0.00935219,0.0491695,0.0101192,0.0158135,0.0105784,0.017381,0.0144958,0.0206342,0.0168461,0.0170033,0.0651921,0.00960672,0.00997757,0.00847109,0.0145728,0.0212274,0.0058543,0.00403127,0.00407056,0.00967825,0.011571,0.00578016,0.0128254,0.0192553,0.0158583,0.00504854,0.00816217,0.0133333,0.00805453,0.00477003,0.00517087,0.00893799,0.00299828,0.0046619,0.00684237,0.00355764
277,0.0233682,0.0169262,0.0307157,0.012583,0.0167478,0.00581017,0.00427795,0.00585176,0.0048986,0.00743589,0.0468518,0.0101713,0.0164095,0.0109096,0.016274,0.0145592,0.0228851,0.0203821,0.0183859,0.0617161,0.00660404,0.00669235,0.00570317,0.0155951,0.0223746,0.0067911,0.00413141,0.00369632,0.00883989,0.0124055,0.00754132,0.0132859,0.0172254,0.021357,0.00564215,0.0043952,0.00958769,0.00516563,0.00454606,0.00555221,0.00595305,0.00288181,0.00448892,0.00577728,0.00192785
278,0.0234293,0.0180557,0.0302745,0.0128795,0.0130366,0.00706705,0.00345686,0.00490758,0.00651388,0.00572388,0.0440994,0.0106897,0.0169806,0.0102322,0.0147096,0.0140993,0.0249591,0.0233851,0.0190995,0.0573472,0.00383848,0.00337218,0.00370174,0.0169103,0.0222708,0.00764884,0.00515599,0.00366631,0.00782657,0.0133781,0.0096472,0.0120114,0.0139544,0.0205959,0.00689162,0.00643125,0.00904918,0.0049907,0.00501233,0.00482511,0.00203624,0.00628322,0.00653073,0.00579037,0.003371
279,0.0232677,0.0188169,0.029295,0.0121675,0.00963425,0.00816375,0.00345342,0.00370915,0.00831809,0.00484199,0.0411002,0.0111632,0.0175383,0.00893194,0.0133855,0.0133055,0.0260496,0.0246561,0.0185901,0.0525492,0.00259473,0.00321809,0.00413861,0.0179522,0.0212066,0.00933275,0.00734999,0.00449858,0.00762411,0.0143468,0.0101287,0.0103948,0.0120158,0.0162857,0.00850385,0.0102615,0.010707,0.00695208,0.00506951,0.00510277,0.00164122,0.0100347,0.00905061,0.00699103,0.00604172
280,0.0228193,0.0189667,0.0279482,0.0111491,0.00835858,0.00899022,0.00356962,0.00256863,0.00940401,0.00436611,0.0382551,0.0115568,0.0175562,0.00739582,0.0126924,0.0124812,0.0259826,0.0238361,0.016988,0.047941,0.00279605,0.00522731,0.00506738,0.0183221,0.0201189,0.0115812,0.00978342,0.00596336,0.00838117,0.0150142,0.00961247,0.00971311,0.0123072,0.0122341,0.00958676,0.012029,0.0113966,0.00797349,0.00542511,0.00640502,0.00528325,0.0144676,0.0106337,0.00779391,0.00782275
281,0.0221713,0.0186721,0.0266827,0.0102653,0.00921802,0.00955058,0.00362978,0.00187178,0.00982754,0.00356402,0.0359618,0.0119464,0.0169098,0.00579431,0.0125668,0.0117857,0.0252056,0.0215827,0.0149312,0.044213,0.00339372,0.0066212,0.00514016,0.0181026,0.0195878,0.0137644,0.0112409,0.00724887,0.00905199,0.0148299,0.0090487,0.00948434,0.0138876,0.0107913,0.0094643,0.012625,0.0120332,0.00917679,0.00634308,0.00767246,0.0101083,0.0180374,0.010819,0.00723484,0.00816025
282,0.0214329,0.0182883,0.0258286,0.00965893,0.0103615,0.00972746,0.00393318,0.00187804,0.00995358,0.00239903,0.0343719,0.0118417,0.0163336,0.00425951,0.0127431,0.01125,0.0243922,0.0190536,0.0129934,0.0418796,0.00396305,0.00722705,0.00460798,0.0177602,0.0193808,0.0153969,0.010942,0.00753057,0.00880808,0.0134428,0.00830285,0.00889038,0.0153033,0.0112361,0.00872523,0.0127168,0.012773,0.010212,0.00666094,0.00887712,0.0134549,0.0196108,0.00983318,0.00553169,0.00711922
283,0.0207868,0.0180784,0.0254791,0.00946481,0.0109795,0.00924826,0.00446533,0.00224149,0.0099966,0.0014511,0.0334332,0.0107276,0.0162219,0.00296755,0.0130361,0.0109488,0.0239756,0.0170524,0.0114198,0.0410307,0.00412244,0.00697139,0.0039559,0.0177388,0.0189683,0.0163426,0.0089698,0.00669643,0.00780735,0.0111543,0.00685309,0.00821223,0.0159924,0.0117864,0.0086863,0.0116921,0.0121732,0.0096085,0.00604927,0.00919772,0.0133842,0.0187736,0.00823128,0.00383839,0.00528521
284,0.020438,0.0181175,0.0255565,0.00952503,0.0113112,0.00800112,0.00477908,0.00268323,0.00997185,0.00149028,0.03306,0.00868908,0.0159848,0.00204488,0.0133705,0.0109424,0.0238663,0.0155215,0.010106,0.0413917,0.00390055,0.0057334,0.00340864,0.0181582,0.018119,0.01687,0.0062639,0.00573552,0.00701658,0.00877073,0.00486386,0.00810042,0.0164148,0.011693,0.00962042,0.00955213,0.01006,0.00728666,0.00575623,0.0079406,0.0106788,0.015635,0.00652968,0.0037836,0.00376999
285,0.0205346,0.0183395,0.0258089,0.00971215,0.0117865,0.006325,0.00451193,0.0035065,0.00981505,0.00212887,0.0331854,0.00625445,0.0150291,0.00173263,0.0137746,0.0110493,0.0236917,0.0140176,0.00870772,0.0425874,0.00383298,0.00392159,0.0030712,0.0188648,0.0171504,0.0173356,0.00413232,0.005873,0.00704792,0.00699086,0.00330127,0.00852282,0.0171753,0.0108848,0.0108954,0.00716918,0.00745126,0.00411906,0.00670535,0.00592589,0.00760457,0.0107569,0.00515148,0.00539086,0.00361854
286,0.0210656,0.0186224,0.0259995,0.0102312,0.0126764,0.00498833,0.00366292,0.00483012,0.00945627,0.00288022,0.0337301,0.00400785,0.013489,0.00238766,0.0143903,0.010901,0.023131,0.012351,0.00698138,0.0442337,0.00419786,0.00254662,0.0028854,0.0196968,0.0166025,0.0176482,0.00333537,0.00688719,0.00739548,0.00592698,0.00340359,0.00900416,0.0184294,0.00929972,0.0121418,0.00518093,0.00537286,0.00133006,0.00822471,0.00558921,0.00587019,0.00578754,0.00460927,0.00739621,0.00434396
287,0.0218418,0.0188583,0.0260898,0.0113466,0.0139209,0.00472269,0.00257804,0.00614672,0.00886639,0.00360264,0.0345624,0.00258999,0.0120501,0.00341713,0.0152853,0.0103246,0.02198,0.0105732,0.00499818,0.0458341,0.00476159,0.0022108,0.00254983,0.0205918,0.0167531,0.0170512,0.00322779,0.00800595,0.00751176,0.0052488,0.00415593,0.00927008,0.0195944,0.00672356,0.0132288,0.00374236,0.00434153,0.0020966,0.00977509,0.00785259,0.00589932,0.00784579,0.00512109,0.00898159,0.00519196
