Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
200,0.0386755,0.0215955,0.0280295,0.0147331,0.00890411,0.00351479,0.00872853,0.0068531,0.00674024,0.00752086,0.0276302,0.00824549,0.021703,0.00458529,0.0128116,0.00844604,0.0145744,0.0158558,0.00725838,0.0337397,0.0117738,0.0101742,0.0101403,0.0152691,0.0140658,0.00899427,0.00417998,0.00348923,0.00739527,0.00798959,0.00646908,0.00948538,0.0189448,0.0229234,0.00796151,0.00972888,0.00937369,0.00625753,0.0162878,0.0101276,0.0200592,0.0204128,0.00447779,0.00457953,0.00256882
201,0.0388389,0.021709,0.0289694,0.0137159,0.0114756,0.00313875,0.00886625,0.00694932,0.0064785,0.00681718,0.0203612,0.00795447,0.0215129,0.00437617,0.0133748,0.0070398,0.0131965,0.0181574,0.00705649,0.0263341,0.0112322,0.00930962,0.00974035,0.0152007,0.0153795,0.00841197,0.00470466,0.0034321,0.00719855,0.0085909,0.00735636,0.00965227,0.0163595,0.015644,0.00828671,0.00888128,0.00904396,0.00580288,0.0174846,0.00845697,0.0184117,0.0131948,0.00402218,0.00482965,0.0022824
202,0.039037,0.0215024,0.0298232,0.0135649,0.0153417,0.00301935,0.00918408,0.00710227,0.00641917,0.00653239,0.0124461,0.00770596,0.020984,0.0046154,0.0129832,0.00591045,0.0120188,0.0202908,0.00854663,0.0176493,0.0111079,0.00861472,0.00956187,0.0150039,0.0163776,0.00875962,0.00507621,0.00339134,0.00710847,0.00924086,0.00895709,0.00974083,0.0136399,0.0069539,0.0082104,0.00780958,0.00861867,0.00513359,0.0162225,0.00730763,0.0144279,0.00700711,0.00367095,0.00484951,0.00235768
203,0.0392616,0.0211119,0.0304505,0.0140259,0.0173555,0.00330646,0.00971143,0.00726156,0.00668826,0.00672236,0.00647872,0.00737025,0.0202428,0.00517765,0.0112416,0.00732901,0.0111963,0.0208426,0.00936753,0.00811431,0.0115686,0.00853357,0.0098595,0.0146134,0.0167214,0.00897588,0.00526741,0.0033253,0.00714731,0.00975075,0.0114897,0.00982329,0.0111689,0.00429307,0.00784923,0.0067423,0.00905162,0.0053247,0.0126787,0.00740974,0.00928512,0.00952154,0.00351384,0.00446814,0.00271869
204,0.0393979,0.0206553,0.0308808,0.0146567,0.0165738,0.00412264,0.0103684,0.00752337,0.00732354,0.00733039,0.0117904,0.00704397,0.019381,0.00594004,0.00820778,0.0104587,0.00974314,0.0194467,0.00913925,0.011113,0.0124494,0.00912122,0.0106346,0.0140789,0.0162794,0.00836118,0.00540562,0.00316717,0.0072989,0.0100737,0.0143753,0.0098033,0.00918623,0.0128755,0.00767596,0.00619394,0.0110607,0.00675607,0.00849839,0.00817751,0.00474054,0.0181476,0.00351174,0.00370641,0.00308313
205,0.0393454,0.0202137,0.0311614,0.0151362,0.0135006,0.00529736,0.010983,0.00792956,0.00819478,0.0082177,0.0212906,0.00705132,0.0184145,0.00657707,0.00487257,0.0133756,0.00675238,0.0167825,0.00878721,0.024357,0.013501,0.0101368,0.0116901,0.0135396,0.0151633,0.00695518,0.00565627,0.00288601,0.00754895,0.0102721,0.0171375,0.00937695,0.00776406,0.0210208,0.00789487,0.00654249,0.013966,0.00850407,0.00708599,0.00911351,0.00525671,0.0272695,0.00362422,0.00286238,0.00329706
206,0.03911,0.0198368,0.0312866,0.0152989,0.00919641,0.00635776,0.0113562,0.00825065,0.00900266,0.00912345,0.0298937,0.00754416,0.0174205,0.00689215,0.00449732,0.0151089,0.00254313,0.0137971,0.00925395,0.0368133,0.0144741,0.0112489,0.0127204,0.0131362,0.0138083,0.00568587,0.00599182,0.00250025,0.00791782,0.0104474,0.0196802,0.00840602,0.0068502,0.0277671,0.00803635,0.00774037,0.0164206,0.00977446,0.0102874,0.0103847,0.00995242,0.0343688,0.00383897,0.00236372,0.00334875
207,0.0387513,0.0195154,0.031277,0.0151164,0.0053633,0.00688988,0.0113254,0.00816826,0.00942398,0.00975609,0.036577,0.00825541,0.0166328,0.00680513,0.00731678,0.0154159,0.00340285,0.0111912,0.010718,0.0464942,0.015119,0.0121051,0.0134003,0.0129483,0.0128816,0.0062681,0.00618342,0.00210475,0.00842105,0.010704,0.0217278,0.00729075,0.00592071,0.032521,0.00772538,0.00946654,0.0176023,0.0101404,0.0143664,0.0117536,0.014711,0.0375076,0.00405395,0.00241128,0.00329202
208,0.0383084,0.0191766,0.0312707,0.014628,0.00558901,0.00678557,0.0108121,0.00756062,0.00928054,0.0100001,0.0414626,0.00880739,0.0162609,0.00628269,0.0100958,0.0146581,0.00840127,0.00944057,0.0126888,0.0534302,0.0152621,0.0124429,0.0134835,0.0130022,0.0128333,0.00836669,0.00607215,0.00192354,0.00901631,0.0111102,0.0224422,0.00680534,0.00461638,0.0347493,0.00705604,0.0113567,0.0177987,0.00951629,0.0166891,0.0126328,0.0179511,0.0362763,0.00402403,0.00274472,0.00321103
209,0.0378057,0.0187527,0.0314078,0.013933,0.00899328,0.00626894,0.0098294,0.00654037,0.00859466,0.00990096,0.0450269,0.00898907,0.0162403,0.00536999,0.0121919,0.0135021,0.012767,0.00882897,0.0145411,0.058507,0.0148536,0.0122274,0.0128874,0.0133088,0.0136094,0.0103093,0.00570644,0.00218022,0.0095847,0.0116452,0.0213265,0.00746865,0.00572718,0.0335942,0.00618708,0.0133066,0.0181663,0.00877327,0.0164631,0.0126449,0.0188701,0.0320021,0.00355696,0.00302809,0.00317914
210,0.037241,0.0182586,0.0316698,0.0132764,0.012463,0.00567443,0.0084882,0.00538507,0.0075165,0.00954422,0.0476315,0.0087815,0.016323,0.00448019,0.0138681,0.0126084,0.0158424,0.00923915,0.0158935,0.0624396,0.0139168,0.011645,0.0117321,0.0138846,0.0150511,0.0108319,0.00526026,0.00279263,0.00995724,0.0122184,0.0188701,0.00906216,0.00954068,0.0273495,0.00531842,0.0150979,0.0193817,0.00917363,0.0144685,0.0114393,0.0178916,0.0265915,0.00294815,0.0031315,0.00321367
211,0.0365893,0.017872,0.0318614,0.0130713,0.0152881,0.00522435,0.00690835,0.00441356,0.0061603,0.00892042,0.049393,0.00826709,0.0163767,0.0046431,0.0153843,0.0124334,0.0175917,0.0103665,0.0167759,0.0652474,0.0123817,0.0107949,0.0101672,0.0147004,0.0172688,0.00903989,0.00498774,0.00355503,0.00998154,0.0127994,0.015372,0.0107455,0.0126878,0.0159115,0.00500365,0.0157392,0.0203933,0.0098628,0.0121066,0.00890983,0.0165818,0.0208585,0.00353569,0.00322253,0.00335685
212,0.0358807,0.0178623,0.0318031,0.013564,0.016969,0.00512846,0.00512344,0.00374016,0.00470953,0.00780652,0.0502534,0.00765053,0.0163423,0.00604022,0.016551,0.0129485,0.0186995,0.0123324,0.0175146,0.0665044,0.0100509,0.00940796,0.00812262,0.0157133,0.0202247,0.00583076,0.00519728,0.00442107,0.00954865,0.013519,0.0115506,0.0116315,0.0149436,0.0105489,0.00568266,0.0139519,0.01925,0.00952753,0.0103882,0.00615923,0.0157075,0.0145534,0.00611828,0.00396875,0.00398307
213,0.0352601,0.0183232,0.0314817,0.0143949,0.016865,0.00569992,0.00318317,0.00316928,0.00415345,0.00595761,0.0500771,0.00729006,0.016032,0.00749105,0.0169884,0.013588,0.0201644,0.0154729,0.0184059,0.0658884,0.00690265,0.00711381,0.00539559,0.0169494,0.0231626,0.00447031,0.00614458,0.00543767,0.00863794,0.0145805,0.0105244,0.0113979,0.016586,0.0199253,0.00632852,0.00966755,0.0152085,0.00806334,0.00982463,0.00488615,0.0138671,0.00827969,0.009992,0.00590381,0.0055641
214,0.0348684,0.018999,0.0309615,0.0148143,0.0148995,0.00697528,0.00134288,0.0027803,0.00554507,0.00370309,0.0487612,0.00732879,0.0153909,0.00822018,0.0166697,0.0138009,0.0221901,0.0192365,0.0192683,0.0634674,0.00342962,0.0041371,0.00219203,0.0183748,0.0249504,0.00577392,0.00795313,0.00659228,0.00763611,0.0160584,0.0117379,0.0106151,0.0165217,0.0251545,0.00598292,0.00471239,0.00997537,0.00578302,0.0098109,0.0040525,0.0102788,0.00374479,0.0142371,0.00844715,0.00793135
215,0.0346623,0.0194757,0.0302101,0.0145433,0.0119577,0.00857318,0.000269461,0.00323778,0.00766369,0.00245243,0.0463533,0.00748918,0.0148259,0.00817202,0.0159809,0.0134536,0.0239383,0.0222357,0.0194736,0.0595812,0.000682633,0.00213658,0.00150312,0.019685,0.0251083,0.00800498,0.0103242,0.00770312,0.00747508,0.0176978,0.0111908,0.0104396,0.0153752,0.023719,0.00585672,0.00324801,0.00709065,0.00415985,0.0092216,0.00256705,0.00671249,0.00409976,0.0176237,0.0105707,0.0103643
216,0.0343998,0.0195202,0.029177,0.0140832,0.00962503,0.0100648,0.00130003,0.00423256,0.00941317,0.00263366,0.043163,0.00781371,0.0148921,0.00761383,0.0153227,0.0127432,0.0247029,0.0234269,0.0187071,0.054684,0.00204029,0.00299136,0.00347196,0.020439,0.0242657,0.0111329,0.0125545,0.0085199,0.00840465,0.0189266,0.00868173,0.0113174,0.0154825,0.0192222,0.00735726,0.00468489,0.00729081,0.00478847,0.00801968,0.00272075,0.00515801,0.00900669,0.019004,0.0115628,0.012046
217,0.0338045,0.0192274,0.0279572,0.0139709,0.00933547,0.011169,0.00254132,0.00479445,0.0106099,0.00235472,0.0397852,0.00852352,0.0156539,0.00677661,0.0147422,0.0118632,0.0246213,0.022821,0.0173681,0.0494631,0.00363501,0.00375616,0.00440314,0.0204371,0.0233338,0.0143142,0.0139332,0.00887411,0.00937067,0.0191495,0.00672218,0.0123139,0.0169937,0.0152079,0.00885635,0.00603712,0.00859926,0.00697531,0.00724766,0.00442989,0.00719238,0.0147595,0.0180514,0.0112887,0.0124353
218,0.0327808,0.0188098,0.0267785,0.014174,0.0105268,0.0116096,0.00406277,0.0046339,0.0113606,0.00150744,0.0368626,0.00894015,0.016596,0.00590476,0.0140407,0.0108134,0.0243754,0.0213244,0.0160724,0.0449085,0.00482377,0.00362925,0.00477459,0.0199308,0.0225623,0.0166784,0.0139703,0.00856725,0.00945185,0.018081,0.0072335,0.0123919,0.0182301,0.0128974,0.00903492,0.00830077,0.0108938,0.00986107,0.00743367,0.00668786,0.0118691,0.0194934,0.01554,0.0100191,0.0114665
219,0.031577,0.0183456,0.0259348,0.014369,0.0116208,0.0110871,0.00546001,0.00402704,0.0117326,0.00112095,0.0347271,0.00814613,0.0169154,0.00536387,0.013158,0.00964476,0.0245884,0.0199889,0.0150797,0.0419188,0.00530963,0.0028407,0.00517255,0.0194458,0.0218632,0.0181584,0.0125593,0.00738943,0.00857376,0.0159257,0.0088355,0.0113797,0.0181114,0.0122305,0.00858529,0.00981868,0.0127689,0.0118397,0.007906,0.0089425,0.0151848,0.022225,0.01284,0.00825193,0.00958638
220,0.0306325,0.017831,0.0256302,0.0144954,0.0122549,0.00955704,0.00612147,0.00335246,0.0117724,0.000940835,0.0334131,0.00609783,0.0160891,0.00527243,0.0122727,0.00866322,0.0253171,0.019112,0.0142034,0.0408327,0.00488142,0.00170499,0.00569658,0.0193464,0.0211944,0.0191607,0.0101288,0.00551775,0.00735755,0.01329,0.01001,0.00995405,0.0167225,0.0129081,0.00912377,0.00908468,0.0128457,0.0119675,0.00836679,0.00975396,0.0153241,0.0227008,0.0109553,0.00716832,0.00765001
221,0.0302697,0.0173461,0.0256996,0.0149349,0.0130398,0.00744873,0.00576149,0.00318116,0.011518,0.000839613,0.0329178,0.00353073,0.0144349,0.00515269,0.01166,0.00806927,0.026057,0.018205,0.0130347,0.041426,0.00386506,0.00179969,0.00625192,0.019609,0.0203781,0.0197335,0.00752807,0.00385604,0.00656629,0.0108269,0.0102244,0.00901411,0.0149654,0.0140723,0.0106584,0.0066196,0.0112537,0.0104992,0.00902588,0.00863568,0.0133483,0.0208967,0.0098627,0.00818575,0.00655677
222,0.0305382,0.0170249,0.0257417,0.0159289,0.0144986,0.00559272,0.00466541,0.00391335,0.0109805,0.00194864,0.0332464,0.00138651,0.01281,0.00447887,0.0116542,0.00764652,0.0262147,0.016835,0.0113404,0.0431953,0.00313533,0.00304225,0.00645102,0.0200378,0.0192459,0.0193961,0.00559624,0.00369951,0.00636323,0.00887969,0.00941936,0.00879739,0.0138186,0.0145425,0.0121906,0.00392874,0.00900004,0.00802416,0.00989252,0.00665627,0.0112936,0.0166477,0.00890803,0.0102181,0.00646662
223,0.0312471,0.0169236,0.0255843,0.0172867,0.0166366,0.00481652,0.00342988,0.00488019,0.0101994,0.00317904,0.0342904,0.00159204,0.0117785,0.00329261,0.0125627,0.00706095,0.0254548,0.0149604,0.00928941,0.0455461,0.00344091,0.00386973,0.00588483,0.0205594,0.017955,0.0179524,0.0046237,0.00467896,0.00628685,0.00742618,0.00809827,0.00883766,0.01403,0.0133354,0.0134582,0.00265068,0.00697938,0.0050738,0.0108356,0.00577598,0.0100523,0.0099927,0.00767099,0.0112714,0.00654355
224,0.0321898,0.0169955,0.0253601,0.0186011,0.0189826,0.00513066,0.00250877,0.00545032,0.00927314,0.0040087,0.0358087,0.00324219,0.011287,0.00216556,0.0143378,0.00634676,0.0237294,0.0126238,0.0072607,0.0478425,0.00442589,0.00437953,0.00466398,0.0212049,0.0169566,0.015791,0.00429227,0.00570695,0.00596242,0.00628365,0.00712536,0.00872701,0.0154885,0.00995888,0.0144785,0.00310564,0.00540454,0.00276561,0.0118223,0.00706234,0.0094524,0.00497252,0.00623486,0.010544,0.00598069
225,0.0332862,0.0171629,0.0251707,0.0192552,0.0206994,0.00585206,0.00200225,0.00556012,0.0083111,0.0043761,0.0375041,0.00516957,0.011045,0.00199238,0.016618,0.00605712,0.0210505,0.00978092,0.00558185,0.04947,0.00557614,0.00500061,0.00338618,0.0219124,0.0166675,0.0130965,0.00429247,0.0065535,0.00538336,0.00531724,0.00667301,0.00837451,0.0165766,0.00510886,0.0151201,0.00417803,0.00456998,0.0028382,0.0129123,0.00946421,0.00964906,0.0120271,0.00505455,0.00842693,0.00474627
226,0.0344919,0.0174022,0.0248963,0.0186884,0.0208964,0.00652782,0.0017324,0.00541613,0.00738324,0.00437789,0.0391515,0.00748565,0.0109599,0.00309544,0.0189685,0.00681991,0.0173064,0.00653854,0.00453165,0.0500919,0.00668842,0.00550972,0.00272551,0.0225116,0.0171302,0.00978141,0.00450309,0.00730659,0.00476411,0.00458126,0.00692046,0.00785724,0.0158455,0.00392654,0.0154032,0.00635789,0.00596923,0.00355073,0.0139679,0.0117429,0.0108176,0.019447,0.00498102,0.00612599,0.00381998
