Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0373518,0.0378888,0.0456761,0.0368187,0.0408848,0.0358695,0.0352505,0.0355869,0.0396732,0.0402753,0.0479252,0.0461914,0.0376882,0.0364014,0.0367108,0.0391705,0.0395481,0.0373862,0.0530667,0.0369567,0.0366147,0.0363429,0.0400265,0.0392392,0.0415785,0.036259,0.0355348,0.0362442,0.0385272,0.037987,0.0568984,0.0428464,0.0411716,0.0376814,0.0517587,0.0385062,0.039804,0.0385089,0.0642242,0.0376849,0.0369611,0.036683
0,0.0870694,0.0713231,0.0974048,0.0778391,0.0906565,0.0818692,0.0781902,0.0744983,0.0925802,0.0939156,0.106248,0.0511105,0.0638842,0.0763441,0.0710326,0.0688785,0.0596986,0.0688095,0.0803725,0.0818246,0.0808724,0.0807875,0.0739831,0.0824246,0.0972924,0.080274,0.0727793,0.075267,0.0862681,0.0647008,0.0869183,0.0663889,0.0985423,0.0848056,0.091088,0.0930483,0.0899609,0.0826135,0.0880295,0.0773116,0.0777941,0.0763863
1,0.0871102,0.0706577,0.0964218,0.0773931,0.0894952,0.0823298,0.0777592,0.0750599,0.0921593,0.0939456,0.100993,0.0505977,0.0606943,0.0721396,0.067624,0.0685365,0.0576014,0.067641,0.0755696,0.0806486,0.0797929,0.0804512,0.0731758,0.0802274,0.0872139,0.0806531,0.072629,0.0759878,0.085924,0.0642973,0.0805895,0.0652959,0.0908299,0.0791125,0.0849718,0.0881741,0.0865887,0.0814454,0.0783676,0.0749883,0.0756599,0.0755831
2,0.0868793,0.0699909,0.0950533,0.0766663,0.0873839,0.0817237,0.0768782,0.0745085,0.091361,0.0934754,0.0991311,0.0496664,0.0579641,0.069008,0.0661558,0.0676189,0.0558196,0.065623,0.075031,0.0789972,0.0782128,0.0795242,0.0721856,0.0780596,0.0794156,0.0803121,0.0718512,0.0760304,0.0851144,0.0635038,0.0782706,0.0641369,0.0840932,0.074547,0.0809647,0.0840332,0.0839958,0.0804483,0.0733556,0.0726094,0.0731747,0.0743527
3,0.0864654,0.0694917,0.0933803,0.0755447,0.0847558,0.0804308,0.0757396,0.0732149,0.0902627,0.0925935,0.0981672,0.0483153,0.0552848,0.0664063,0.0658525,0.0658385,0.0537934,0.0623483,0.0758689,0.0769443,0.0762377,0.0780588,0.0711732,0.0761827,0.0738893,0.0794554,0.0706259,0.0755019,0.0840309,0.0625627,0.0791746,0.0629245,0.0784774,0.0712183,0.0788318,0.0812161,0.0825018,0.0797347,0.0723249,0.0703815,0.070568,0.0729625
4,0.0859394,0.0692175,0.0915322,0.0740465,0.0822682,0.0788444,0.07455,0.0716105,0.0890071,0.0914373,0.0964259,0.0465749,0.0529195,0.0644336,0.0660807,0.063303,0.0515982,0.0584341,0.0760194,0.0746496,0.0740469,0.0762762,0.0702813,0.0748131,0.0708605,0.0783211,0.0691122,0.0745114,0.0828736,0.0616693,0.0823669,0.0618009,0.0741997,0.0693221,0.0783846,0.0802036,0.0819595,0.0791682,0.0740579,0.0684841,0.0681734,0.0716503
5,0.0852788,0.0689874,0.089615,0.0723563,0.0802045,0.0771584,0.0733854,0.069939,0.0877074,0.0900934,0.09349,0.0444873,0.0514795,0.063327,0.066281,0.0603279,0.0496149,0.055009,0.0748203,0.0722758,0.0718116,0.0744889,0.0695445,0.0738622,0.0705261,0.0769886,0.067325,0.0731109,0.0816827,0.0607806,0.0871964,0.0608216,0.0714825,0.0689597,0.0794281,0.080716,0.0816238,0.0784838,0.077316,0.066927,0.0662307,0.0704673
6,0.0844003,0.0685232,0.0876894,0.0706725,0.0783653,0.0754288,0.0722037,0.0682728,0.0863777,0.0885569,0.0897585,0.0421141,0.0513003,0.062877,0.0661407,0.05725,0.0481109,0.0528981,0.0726617,0.0699349,0.0696511,0.0729249,0.0689403,0.0730157,0.0723881,0.0754229,0.0652767,0.0714163,0.0804286,0.0597772,0.0931298,0.0598764,0.0704354,0.0699106,0.081554,0.0817041,0.0807951,0.0776548,0.081196,0.0656239,0.0648408,0.0693538
7,0.0832287,0.0676116,0.0858088,0.0690414,0.076648,0.0736848,0.0709297,0.0666182,0.0849556,0.0867923,0.0857576,0.0395777,0.0521841,0.0624266,0.0657324,0.0543533,0.0470179,0.0521248,0.0703896,0.0677053,0.0676356,0.0716119,0.0684085,0.0719336,0.0749983,0.0735906,0.0630759,0.0696285,0.0790956,0.0586122,0.0993547,0.0587778,0.0707943,0.0714652,0.0839763,0.081853,0.0793785,0.0768298,0.0852653,0.0644873,0.0639575,0.0682336
8,0.0817602,0.0662084,0.0840431,0.0673787,0.0750362,0.071987,0.0695278,0.0650064,0.0833819,0.0848331,0.081743,0.0370924,0.0537174,0.0614402,0.0653561,0.0518536,0.0460731,0.052097,0.068809,0.0656671,0.0658017,0.0703975,0.0678741,0.0704615,0.0765437,0.0716101,0.0609504,0.067989,0.0777383,0.0573601,0.104739,0.0574078,0.0718279,0.0726188,0.0856977,0.080337,0.0779458,0.0761107,0.0893986,0.0634957,0.0634499,0.0670915
