time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.08,-0.254091,0.0354865,0.0510913,1.06611,0.919595,-0.410234,0.767564,-0.0893034,-0.0537015,-2.13199,0.358632,0.0350192,0,0.499302,0.00428332,-0.365311,-0.934292,0.660501,0.439267,0,-0.104097,-0.0150042,-0.166245,-0.529371,-0.23376,-0.160837,1.61704,1.71498,0,0,-0.405924,-0.282041,-0.389478,1.98911,1.81233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.948098,0,-0.395878,-1.01247,-18.9235,0.34216,99.2086,1854.26,-33.5273,0.000215206,0.0318399,0
0.09,-0.276563,0.0106624,0.0442057,1.06707,0.923392,-0.409913,0.868051,-0.0626014,-0.0583418,-2.0952,0.375804,-0.00511916,0,0.425325,-0.0191615,-0.379508,-0.853361,0.620884,0.448691,0,-0.0710701,0.0160803,-0.195031,-0.589392,-0.241671,-0.175118,1.66031,1.74111,0,0,-0.382137,-0.273016,-0.382789,2.03606,1.80392,0,0,-2.24714,-2.4824,-0.688553,0.0964538,0.379758,0.0321145,10.0488,2.6702,-0.46403,3.67949,1.71714,-4.01384,0,-7.39771,-2.34448,-1.41961,8.09316,-3.96175,0.942389,0,3.30271,3.10845,-2.8786,-6.00214,-0.791074,-1.42812,4.32662,2.61365,0,0,2.37871,0.902466,0.668861,4.69495,-0.841143,0,0,-22.5483,140.013,54.9811,-147.674,-407.051,-105.142,-68.4102,20.7426,-9.25581,-13.108,0.756238,1.00297,0.117512,14.113,-162.628,44.5546,159.178,-217.453,-52.8075,0.312141,14.0996,33.2164,82.0834,6.72836,12.1682,7.01038,6.92658,-0.115699,0.765557,-0.642146,-22.3225,4.83656,2.19751,2.54009,-0.0185393,0.434707,-0.0647953,-3.57075,1.56224,-12.4145,3.2301,2.57485,-1.28017,-101.439,-7.39886,-32.5586,141.069,-0.139401,97.2394,0,50.9508,6.9501,50.8089,-27.0778,-122.221,-106.302,0,2.87804,11.8543,57.2997,-21.2925,46.5253,-44.0634,3.15494,-65.3639,0,0,-5.8946,-19.0502,75.891,-33.3916,-4.79278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92672,0,-0.39626,-0.471667,-5.25003,0.149323,157.818,1756.64,-49.9631,0.000227485,0.031743,470.838
0.1,-0.299391,-0.0140054,0.0360787,1.06836,0.927448,-0.40972,0.958395,-0.0366393,-0.0662379,-2.0443,0.392961,-0.0355336,0,0.356443,-0.0419112,-0.388623,-0.775137,0.569044,0.447484,0,-0.0377552,0.0483502,-0.218087,-0.651543,-0.244929,-0.193806,1.70389,1.76071,0,0,-0.358939,-0.265897,-0.368512,2.07967,1.79503,0,0,-2.28284,-2.46678,-0.812699,0.128755,0.405506,0.0193128,9.03438,2.59621,-0.789616,5.09018,1.71575,-3.04144,0,-6.8882,-2.27498,-0.911516,7.82238,-5.18396,-0.120634,0,3.33149,3.22699,-2.3056,-6.21507,-0.325821,-1.86875,4.35816,1.96001,0,0,2.31976,0.711964,1.42777,4.36103,-0.889071,0,0,-5.63882,127.573,46.9826,-118.207,-374.576,-107.937,-55.9414,26.0841,-13.9354,-6.57749,1.27157,1.22908,0.127639,13.9935,-133.233,42.2052,104.68,-219.679,-50.8846,0.283518,16.7309,27.9548,82.3323,7.0255,8.07487,5.06512,6.93936,-0.156571,0.552346,-0.661141,-21.0084,3.02685,1.39808,2.38549,-0.0256087,0.337288,-0.0482054,-3.15024,2.66696,-11.6759,3.07945,2.41533,-1.34628,-101.998,-8.52867,-32.1216,140.557,0.347155,98.4541,0,51.9774,8.21975,52.3551,-30.2581,-119.852,-104.841,0,1.95864,10.5614,56.5655,-20.0673,46.4311,-42.7445,2.49331,-66.0446,0,0,-5.80301,-19.3889,74.6782,-33.6987,-3.43827,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.893463,0,-0.394964,0.889571,6.39359,-0.260536,220.924,1587.84,-64.7038,0.000241254,0.031715,429.47
0.11,-0.322534,-0.0384065,0.0267842,1.06995,0.931744,-0.409661,1.03854,-0.01153,-0.0773463,-1.97934,0.410153,-0.0561026,0,0.292759,-0.063839,-0.392502,-0.699939,0.50522,0.435794,0,-0.00424439,0.0816762,-0.235486,-0.7157,-0.243544,-0.216768,1.74772,1.77371,0,0,-0.336322,-0.260716,-0.346766,2.11991,1.7858,0,0,-2.31435,-2.44011,-0.929458,0.159549,0.42966,0.00585003,8.0144,2.51092,-1.11083,6.49575,1.71922,-2.0569,0,-6.36843,-2.19278,-0.387965,7.5198,-6.38248,-1.16905,0,3.35108,3.3326,-1.73995,-6.41574,0.138489,-2.2962,4.3831,1.29956,0,0,2.26173,0.518075,2.17455,4.02405,-0.923453,0,0,6.57262,114.764,44.0804,-87.0157,-301.769,-107.443,-46.7003,30.9072,-18.5065,-1.44099,1.66172,1.46183,0.135319,18.9932,-102.739,39.5317,61.1004,-199.684,-47.6701,0.263376,16.3656,22.8752,83.0395,7.42986,4.28251,3.28165,6.82441,-0.18544,0.364969,-0.653961,-19.9019,1.45317,0.694523,1.92283,-0.0200772,0.247057,0.00504889,-1.53327,6.01707,-9.54266,2.63494,1.95508,-1.5083,-103.943,-11.648,-30.6941,139.053,1.76491,101.664,0,54.641,11.9622,56.5925,-40.1307,-111.121,-99.6738,0,-1.14189,6.45025,54.325,-15.7914,45.6888,-38.4553,0.215846,-67.4046,0,0,-5.72723,-20.3577,70.6974,-34.5657,-0.0284917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.85453,0,-0.392842,2.7743,14.056,-0.747587,268.389,1359.79,-72.3224,0.000236546,0.0330924,354.03
0.12,-0.345831,-0.0622059,0.0165353,1.07181,0.936236,-0.409753,1.10829,0.0124144,-0.091524,-1.90047,0.427522,-0.0665053,0,0.234538,-0.0845706,-0.390723,-0.628754,0.430283,0.414136,0,0.0291522,0.115647,-0.247453,-0.781437,-0.23759,-0.243575,1.79157,1.77997,0,0,-0.314277,-0.257571,-0.317951,2.1567,1.77656,0,0,-2.32968,-2.37994,-1.02488,0.185899,0.44921,-0.00923294,6.97497,2.39444,-1.41777,7.88628,1.73687,-1.04026,0,-5.82202,-2.07316,0.17796,7.11849,-7.49369,-2.16579,0,3.33966,3.3971,-1.1967,-6.57366,0.595377,-2.68075,4.38526,0.625518,0,0,2.20446,0.314498,2.88153,3.67839,-0.923738,0,0,7.95389,99.2382,46.5998,-53.3898,-222.697,-99.1137,-41.8004,35.4416,-23.0166,1.95683,1.91974,1.69559,0.140617,23.1552,-70.3182,34.8733,24.7205,-169.767,-43.6824,0.250264,11.8718,18.1502,83.2741,8.1902,0.788914,1.67877,6.59533,-0.20217,0.204454,-0.629265,-18.907,0.135392,0.0917877,1.07128,-0.000889656,0.16312,0.105873,2.1061,12.1573,-5.86816,1.85651,1.16058,-1.72757,-108.037,-16.7308,-27.8919,136.337,4.35346,106.626,0,58.2549,18.6957,62.837,-58.0293,-93.8146,-88.0009,0,-7.45554,-1.47594,50.2494,-6.81405,43.3691,-30.1002,-4.42946,-68.1765,0,0,-6.06774,-21.9043,62.8379,-36.0569,4.73249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.815266,0,-0.390378,4.48293,16.9817,-1.10542,290.026,1098.64,-71.5155,0.000214317,0.0321982,272.674
0.13,-0.368917,-0.0847896,0.00569965,1.07386,0.940844,-0.410018,1.16723,0.0346858,-0.108491,-1.80798,0.445326,-0.0662453,0,0.182144,-0.103433,-0.382659,-0.563372,0.345964,0.383678,0,0.0618033,0.149471,-0.254395,-0.847855,-0.2273,-0.273393,1.83498,1.7794,0,0,-0.29284,-0.256617,-0.282852,2.18987,1.76779,0,0,-2.30862,-2.25837,-1.08357,0.204464,0.460816,-0.0265086,5.8946,2.22714,-1.69669,9.24965,1.7804,0.0259929,0,-5.23947,-1.8862,0.80633,6.5382,-8.43183,-3.04579,0,3.26511,3.38235,-0.694206,-6.6418,1.02907,-2.98175,4.34096,-0.0562469,0,0,2.14378,0.0954544,3.50991,3.31782,-0.876413,0,0,2.05101,79.9373,52.8424,-16.0662,-157.556,-79.7847,-41.6231,39.0901,-26.7656,3.03965,2.09865,1.85543,0.145598,29.1209,-37.2999,27.673,-2.6188,-136.278,-38.625,0.247694,3.3498,13.4971,81.6385,9.38252,-2.30568,0.302557,6.27922,-0.206701,0.0716461,-0.597837,-17.9279,-0.885668,-0.370068,-0.157294,0.0294823,0.0890479,0.254406,8.19171,20.66,-1.02672,0.828654,0.107633,-1.91173,-114.527,-22.7192,-23.6964,132.324,7.78433,111.757,0,61.5309,27.6538,68.3217,-83.3769,-65.4362,-67.449,0,-17.2125,-13.1362,44.5086,7.71227,38.4546,-17.6408,-11.6687,-66.337,0,0,-7.46977,-23.5028,50.8079,-38.1421,9.38377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.778062,0,-0.38737,5.32369,15.7684,-1.19607,280.723,831.483,-63.0701,0.000186189,0.0315722,201.579
0.14,-0.391184,-0.105307,-0.00523868,1.07598,0.945463,-0.410475,1.21473,0.0546852,-0.127827,-1.70225,0.463909,-0.0548097,0,0.135902,-0.119529,-0.367764,-0.506328,0.255102,0.346475,0,0.0927331,0.181981,-0.256886,-0.913502,-0.213164,-0.304974,1.87723,1.77221,0,0,-0.272149,-0.258012,-0.242672,2.21924,1.75997,0,0,-2.2267,-2.05177,-1.09383,0.21275,0.461892,-0.0456258,4.74933,1.99994,-1.93366,10.5729,1.85824,1.14356,0,-4.62416,-1.60966,1.48955,5.70443,-9.08619,-3.72028,0,3.09298,3.25098,-0.24912,-6.56467,1.41361,-3.15816,4.22427,-0.719617,0,0,2.06908,-0.139573,4.01798,2.9364,-0.782576,0,0,-7.39657,53.1317,58.9251,18.2915,-109.244,-48.3801,-45.8054,40.5326,-28.3156,1.11732,2.30373,1.80834,0.153802,38.214,-3.71117,18.547,-19.517,-102.37,-30.5454,0.259143,-7.41592,7.91926,76.8557,10.945,-4.7912,-0.755137,5.89266,-0.198215,-0.0289885,-0.569151,-16.9241,-1.57302,-0.667387,-1.67015,0.0655561,0.026294,0.440706,16.5875,30.1759,4.27389,-0.266828,-1.05718,-1.95442,-122.951,-27.8455,-18.3634,126.648,10.9943,114.373,0,62.9714,37.2952,69.9785,-113.345,-25.6823,-39.0512,0,-29.7374,-27.2647,37.572,27.4833,30.1689,-2.166,-21.078,-59.8045,0,0,-10.6229,-24.2615,35.077,-40.8614,12.6123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.742423,0,-0.385141,4.99451,11.945,-1.04568,242.753,580.576,-50.8245,0.00016169,0.0310137,144.773
0.15,-0.411793,-0.122807,-0.0157496,1.07809,0.949977,-0.411126,1.24993,0.0719001,-0.149,-1.58386,0.48359,-0.0319368,0,0.0959577,-0.131896,-0.345871,-0.460618,0.161672,0.305367,0,0.120689,0.211764,-0.25562,-0.9764,-0.196011,-0.336773,1.91736,1.75903,0,0,-0.25252,-0.261834,-0.198984,2.24452,1.7534,0,0,-2.06083,-1.75001,-1.05109,0.210082,0.451321,-0.06517,3.51982,1.72149,-2.11729,11.8394,1.96819,2.28729,0,-3.99445,-1.23671,2.18933,4.57099,-9.34302,-4.1108,0,2.79561,2.97834,0.1266,-6.28984,1.7153,-3.17982,4.01349,-1.31766,0,0,1.96285,-0.382188,4.36875,2.52779,-0.656452,0,0,-16.2854,19.8953,59.6285,40.6651,-74.5783,-11.1953,-53.7082,38.0284,-26.0535,-4.38362,2.65174,1.42322,0.168954,50.2805,25.4574,9.11015,-25.5739,-70.3772,-20.0715,0.287028,-17.3968,0.128416,68.4292,12.7558,-6.46777,-1.3951,5.4234,-0.175367,-0.09032,-0.54721,-15.9331,-1.91001,-0.822011,-3.32015,0.100588,-0.0295443,0.646944,26.646,38.8051,9.19361,-1.21068,-2.17081,-1.77234,-132.091,-30.3447,-12.359,118.228,12.6923,112.088,0,61.4721,45.5257,65.2205,-143.897,23.0741,-7.13608,0,-43.6721,-41.6977,30.0093,50.9945,18.2406,14.4301,-31.6474,-47.3942,0,0,-16.0039,-23.2035,16.6206,-44.3626,14.0286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.707117,0,-0.384988,3.67252,7.30383,-0.761961,184.483,366.896,-38.2758,0.000145583,0.030656,107.506
0.16,-0.429736,-0.136427,-0.0253412,1.08007,0.954273,-0.411955,1.27192,0.0860806,-0.171409,-1.45364,0.504542,0.00214486,0,0.0621604,-0.139711,-0.317455,-0.429298,0.0705495,0.263546,0,0.144278,0.237377,-0.251353,-1.0342,-0.177033,-0.367128,1.95433,1.74111,0,0,-0.234492,-0.267976,-0.153635,2.26536,1.74824,0,0,-1.79437,-1.36196,-0.959158,0.197975,0.429613,-0.0828935,2.19891,1.41804,-2.24088,13.0216,2.09511,3.40817,0,-3.37972,-0.781453,2.84154,3.13202,-9.11228,-4.18216,0,2.35889,2.56136,0.426693,-5.77989,1.89771,-3.03552,3.69702,-1.7916,0,0,1.80281,-0.614224,4.53496,2.08416,-0.516167,0,0,-22.935,-12.3907,50.2938,42.3817,-48.7307,19.8015,-65.2608,30.2458,-19.1064,-13.6744,3.19973,0.643737,0.192266,62.8757,41.2818,1.22512,-22.6032,-42.2965,-10.5413,0.329742,-23.5641,-10.4729,57.1148,14.6903,-7.3109,-1.58382,4.84436,-0.137701,-0.108155,-0.529448,-15.0473,-1.90344,-0.888875,-4.93704,0.128344,-0.0865038,0.850812,37.2773,44.695,12.9059,-1.81842,-3.1094,-1.33647,-140.036,-28.9783,-5.9421,105.189,11.3387,102.972,0,56.7044,50.369,53.2607,-170.552,74.6999,19.9924,0,-57.2559,-53.9715,22.4696,75.7221,3.10468,29.9298,-41.994,-29.3311,0,0,-23.6068,-19.6033,-3.20394,-48.8079,13.9335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.671573,0,-0.385959,1.90135,3.25687,-0.422643,119.202,204.185,-26.4971,0.000140444,0.0306033,88.1589
0.17,-0.443952,-0.145577,-0.0336422,1.08186,0.958258,-0.412918,1.2799,0.0973631,-0.194412,-1.3129,0.526626,0.0465238,0,0.0340336,-0.142489,-0.283714,-0.415033,-0.0131033,0.223723,0,0.162141,0.257594,-0.244839,-1.08443,-0.157746,-0.39449,1.9871,1.72026,0,0,-0.218825,-0.276079,-0.108606,2.28132,1.74447,0,0,-1.42159,-0.915009,-0.830099,0.179791,0.398519,-0.0962582,0.798543,1.12826,-2.3003,14.0735,2.2085,4.43789,0,-2.81268,-0.277763,3.37414,1.4265,-8.36528,-3.98223,0,1.78633,2.02164,0.651389,-5.02267,1.92876,-2.73622,3.27708,-2.08491,0,0,1.56674,-0.810257,4.50292,1.59608,-0.376832,0,0,-29.7265,-37.1319,30.0096,18.3946,-29.3554,33.9909,-81.7157,17.5292,-8.26696,-26.5095,3.87616,-0.450374,0.219505,72.4596,39.8551,-3.98195,-15.3334,-20.3035,-3.73077,0.379741,-24.2472,-22.8765,44.9804,16.6243,-7.55205,-1.40714,4.15621,-0.0877643,-0.0875003,-0.510323,-14.3624,-1.58648,-0.922488,-6.36272,0.144873,-0.150396,1.0304,47.0018,46.4834,14.7014,-1.99758,-3.84213,-0.687589,-144.335,-23.3691,0.949854,85.1638,5.11894,85.3612,0,49.4564,49.799,32.4592,-190.008,120.652,38.2284,0,-68.538,-61.8157,15.8209,98.4139,-13.96,42.2061,-50.6149,-7.28177,0,0,-32.6962,-13.2591,-22.6149,-54.247,12.7355,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.633423,0,-0.390253,0.308618,0.470595,-0.0831021,62.2082,94.858,-16.7509,0.000146371,0.0308258,74.2867
