time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.016667,-0.34702,0.203109,0.27709,0.999874,0.919541,-0.354436,0.432696,-0.501673,-0.186902,-2.33818,0.227726,0.1,-0.000124659,0.821336,0.447002,-0.14156,-0.810157,0.414278,0.1,-0.0014551,0.0581742,-0.273633,-0.334027,-0.585051,-0.341908,-0.00127609,1.25398,2.08254,-0.00103888,0.000440825,-0.618815,-0.335203,-0.120795,1.91273,2.02871,0.0018568,-0.00311435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04448,0,-0.341138,-2.20529,19.3337,-3.06944,-170.136,1491.58,-236.804,0.00075751,0.092149,0
0.025,-0.273715,0.187453,0.221678,0.998884,0.921585,-0.3465,0.46895,-0.435488,-0.138404,-2.37018,0.232222,0.1,-0.000124659,0.709863,0.37982,-0.154062,-0.8336,0.453791,0.1,-0.0014551,-0.0147991,-0.241037,-0.318223,-0.568386,-0.332982,-0.00693424,1.1862,2.10056,-0.00103888,0.000440825,-0.570691,-0.34611,-0.114508,1.91468,2.01968,0.0018568,-0.00311435,8.79665,-1.87879,-6.6494,-0.118847,0.245247,0.952296,4.35047,7.94223,5.81965,-3.83988,0.539558,0,0,-13.3768,-8.06195,-1.50029,-2.81321,4.74149,0,0,-8.75681,3.91153,1.89647,1.99986,1.0712,-0.678978,-8.13404,2.16261,0,0,5.77489,-1.30881,0.754456,0.234093,-1.084,0,0,-65.8263,487.316,45.3073,-0.176879,-0.400189,-0.132353,-11.5015,13.8163,2.2575,5.42044,0.893817,-0.0399688,0.00287371,-69.065,-129.186,8.92789,191.979,-96.4035,29.654,0.00734413,140.842,404.398,-31.1162,-8.19255,2.56257,2.58184,0.3536,-0.0546788,0.086396,-0.0855921,-5.51424,0.966684,0.151476,4.73545,-0.0814294,-0.010881,-0.111984,-248.529,22.2922,124.69,-4.09977,-1.66519,-30.9607,132.149,-128.828,-86.4307,169.395,44.3791,0,0,176.968,175.654,35.0993,181.391,-48.0828,0,0,268.768,-66.4136,-57.5123,-123.047,-45.6044,-16.7392,189.381,-41.1068,0,0,-87.2226,42.9565,2.02935,53.9609,65.5928,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1.01395,0,-0.319732,3.07549,-35.5376,3.28167,-142.836,1650.48,-152.411,0.000490872,0.0660597,493.825
0.033333,-0.217668,0.173344,0.174925,0.997609,0.923513,-0.340715,0.514381,-0.378249,-0.0959095,-2.39041,0.2398,0.1,-0.000124659,0.610679,0.324835,-0.164127,-0.844447,0.489964,0.1,-0.0014551,-0.0691081,-0.213053,-0.306413,-0.560265,-0.327222,-0.0137548,1.13157,2.11573,-0.00103888,0.000440825,-0.528624,-0.354034,-0.10808,1.92038,2.0152,0.0018568,-0.00311435,6.72558,-1.69302,-5.61032,-0.153012,0.23137,0.69429,5.45171,6.86866,5.09939,-2.42825,0.909384,0,0,-11.902,-6.59816,-1.2078,-1.30162,4.3408,0,0,-6.51707,3.35808,1.4172,0.974465,0.69116,-0.818471,-6.55586,1.82006,0,0,5.04803,-0.95084,0.771367,0.683767,-0.537392,0,0,-60.1779,268.389,53.9388,0.144823,-0.0604897,-1.25512,-24.3526,-15.1559,8.38506,4.28077,0.808956,-0.182735,0.00250995,-54.4418,-164.949,1.51125,212.649,-117.173,-5.38569,0.00634291,97.1553,237.646,-1.70033,-7.20563,-0.826444,1.45473,1.37427,-0.0622504,0.0437587,-0.0967413,-7.53348,2.00275,0.615022,4.08221,-0.0825703,-0.00148073,-0.101799,-240.043,19.615,119.411,0.694672,-3.03448,-24.6567,123.934,-120.93,-86.2419,170.284,42.2743,0,0,169.022,167.829,32.6986,179.499,-52.7295,0,0,260.83,-61.5054,-54.3415,-120.463,-44.5452,-16.0638,187.06,-41.5311,0,0,-85.7958,42.2297,2.08511,52.5708,64.0252,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.987334,0,-0.311256,3.15445,-55.0467,2.74836,-101.169,1765.46,-88.1453,0.000418856,0.0658712,280.295
0.041667,-0.178291,0.160598,0.136465,0.996382,0.92523,-0.336641,0.568419,-0.329408,-0.0594036,-2.39882,0.250314,0.1,-0.000124659,0.523233,0.281505,-0.171922,-0.842828,0.522475,0.1,-0.0014551,-0.105304,-0.18934,-0.298376,-0.56051,-0.324556,-0.021691,1.08993,2.12801,-0.00103888,0.000440825,-0.492515,-0.359025,-0.101507,1.92973,2.01517,0.0018568,-0.00311435,4.72522,-1.52956,-4.61523,-0.147223,0.206083,0.488817,6.48449,5.86091,4.38071,-1.00922,1.26167,0,0,-10.4935,-5.19959,-0.93531,0.194207,3.90139,0,0,-4.34348,2.84554,0.964351,-0.0293944,0.31995,-0.952336,-4.99703,1.47397,0,0,4.33307,-0.598926,0.788743,1.12186,-0.0038488,0,0,-79.369,56.309,21.2865,-1.47448,-0.228256,0.526069,-31.0218,-30.6176,10.8632,3.67389,0.732116,-0.245057,0.00224186,-49.3684,-133.119,7.37578,205.699,-147.901,-6.06037,0.0049555,57.393,97.4865,11.5248,-7.1584,-2.56365,0.683421,1.94532,-0.0654629,0.0109972,-0.0977258,-8.57036,1.74403,0.785551,3.47873,-0.0806276,0.00277424,-0.0897932,-215.403,11.8886,105.528,4.83255,-2.20223,-18.6547,98.85,-99.6036,-86.7753,172.582,35.9803,0,0,145.778,145.963,25.0455,174.009,-66.3121,0,0,237.448,-48.3408,-45.8761,-113.218,-41.344,-14.3567,180.078,-42.5192,0,0,-82.0577,39.8844,2.24999,48.6541,59.1334,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.961551,0,-0.311897,1.11155,-38.2439,1.22241,-52.5274,1807.26,-57.7663,0.000415006,0.0645973,99.6281
0.05,-0.153873,0.148677,0.105333,0.995491,0.926795,-0.333863,0.629321,-0.287484,-0.0289238,-2.39525,0.263327,0.1,-0.000124659,0.44591,0.248311,-0.177976,-0.829126,0.550382,0.1,-0.0014551,-0.12501,-0.168984,-0.293526,-0.568618,-0.32476,-0.0306241,1.06079,2.13734,-0.00103888,0.000440825,-0.462104,-0.361246,-0.0947782,1.94246,2.01924,0.0018568,-0.00311435,2.9302,-1.43049,-3.73583,-0.106952,0.187731,0.333361,7.30824,5.03088,3.65758,0.428963,1.56151,0,0,-9.2787,-3.98323,-0.726598,1.64428,3.34879,0,0,-2.36475,2.4427,0.58205,-0.972879,-0.0245831,-1.07198,-3.49638,1.11964,0,0,3.64926,-0.266556,0.807493,1.52731,0.488929,0,0,-94.1683,-90.4208,-11.9906,0.704781,-2.56078,5.74726,-31.9805,-33.3318,10.4342,3.56814,0.68916,-0.248122,0.00209879,-45.2116,-87.6314,18.8756,183.543,-177.565,5.28038,0.00344985,30.9778,5.36302,15.4799,-7.32804,-2.9625,0.276144,2.15029,-0.0653062,-0.00842173,-0.0930509,-8.99745,0.878682,0.754432,2.97563,-0.0768003,0.00334492,-0.0775106,-174.301,-0.520001,84.1949,7.91291,0.31081,-13.1014,55.2381,-66.7035,-88.6378,175.35,25.9696,0,0,106.794,110.327,9.92154,163.975,-90.3456,0,0,197.372,-27.6524,-33.0528,-101.17,-35.6259,-11.9996,167.569,-43.2154,0,0,-76.167,35.4593,2.6847,41.9438,50.1715,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.936389,0,-0.314563,0.035503,-10.4297,0.271395,-6.10057,1792.15,-46.6344,0.000426813,0.0630525,131.253
0.058333,-0.141559,0.136721,0.0800481,0.995149,0.928381,-0.331995,0.694059,-0.250192,-0.00459934,-2.3795,0.278143,0.1,-0.000124659,0.376004,0.222779,-0.183342,-0.804037,0.572014,0.1,-0.0014551,-0.13101,-0.150548,-0.290971,-0.583751,-0.327439,-0.0403905,1.04329,2.14367,-0.00103888,0.000440825,-0.436983,-0.361005,-0.0878627,1.9581,2.0268,0.0018568,-0.00311435,1.47769,-1.43482,-3.0342,-0.0410107,0.190321,0.224183,7.76856,4.47502,2.91893,1.89021,1.77792,0,0,-8.38875,-3.06384,-0.643918,3.01074,2.59591,0,0,-0.719981,2.21226,0.30661,-1.81597,-0.321465,-1.17197,-2.09997,0.75951,0,0,3.01453,0.0289381,0.829865,1.87684,0.907025,0,0,-84.7073,-150.473,-19.5336,-0.200138,-1.27274,4.6118,-28.4006,-27.2842,8.44573,3.64657,0.698793,-0.227404,0.00208853,-36.8522,-67.2957,22.1464,158.335,-198.683,7.59492,0.00203908,22.4175,-40.655,15.3984,-7.40023,-2.49916,0.143539,2.11542,-0.0628744,-0.0163079,-0.0861693,-9.19458,-0.0592974,0.633883,2.58344,-0.0722974,0.00238005,-0.0661719,-123.508,-15.0229,60.0546,9.74716,3.81229,-8.20532,0.276089,-30.0984,-90.4682,176.396,14.2409,0,0,59.5876,68.3983,-10.7192,149.45,-123.816,0,0,146.687,-4.10348,-19.3963,-85.9206,-27.912,-9.77634,150.425,-42.5679,0,0,-69.0046,29.1558,3.62384,33.0618,37.6355,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.911854,0,-0.315506,0.0601286,3.17173,-0.0650701,33.0958,1745.77,-35.8158,0.00044115,0.0617047,173.845
0.066667,-0.137822,0.12372,0.0589335,0.995484,0.930232,-0.330697,0.758816,-0.21499,0.0134426,-2.3515,0.293947,0.1,-0.000124659,0.310236,0.201997,-0.189453,-0.768569,0.585049,0.1,-0.0014551,-0.126823,-0.132398,-0.289763,-0.60485,-0.332057,-0.0508359,1.03624,2.14704,-0.00103888,0.000440825,-0.416654,-0.358739,-0.0806955,1.97603,2.03697,0.0018568,-0.00311435,0.448457,-1.56001,-2.53375,0.0402157,0.22209,0.155805,7.77086,4.2242,2.16503,3.36018,1.89659,0,0,-7.89219,-2.49385,-0.733245,4.25616,1.5641,0,0,0.502412,2.17807,0.144974,-2.53197,-0.554065,-1.25344,-0.84643,0.404778,0,0,2.43949,0.271903,0.860064,2.15235,1.22065,0,0,-52.9735,-138.368,-2.17469,-1.21503,-0.462697,3.16831,-21.9819,-16.4342,5.88701,3.89273,0.759491,-0.203486,0.00217658,-25.2556,-71.8062,13.0726,131.753,-211.293,-0.603487,0.000811307,27.4341,-50.097,14.9588,-7.03076,-1.75024,0.154526,1.96442,-0.0589697,-0.017112,-0.0789864,-9.27853,-0.711846,0.511968,2.2781,-0.0676221,0.00163451,-0.0561043,-72.9511,-27.3077,38.5204,10.5622,7.13484,-4.16461,-54.222,1.43794,-89.4518,173.517,2.86564,0,0,15.3229,29.4631,-32.8189,130.727,-162.813,0,0,94.918,16.9432,-8.70078,-69.6855,-19.2894,-8.33888,130.607,-39.5815,0,0,-61.6403,21.6215,5.15174,23.2263,22.9293,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.887779,0,-0.315371,-0.0423588,-1.04446,0.014408,67.8603,1673.26,-23.0822,0.000442354,0.0607215,148.217
0.075,-0.139151,0.108824,0.040494,0.996553,0.932578,-0.329687,0.819808,-0.179689,0.0252726,-2.31144,0.309951,0.1,-0.000124659,0.245532,0.183261,-0.197842,-0.724022,0.586776,0.1,-0.0014551,-0.116045,-0.113071,-0.289159,-0.630789,-0.338013,-0.0618603,1.03825,2.14767,-0.00103888,0.000440825,-0.400606,-0.354972,-0.0731705,1.99558,2.04874,0.0018568,-0.00311435,-0.159469,-1.78757,-2.21275,0.128234,0.281547,0.1211,7.31901,4.23618,1.4196,4.80616,1.92047,0,0,-7.7645,-2.24833,-1.00674,5.34555,0.207331,0,0,1.29339,2.31926,0.0724675,-3.11268,-0.714811,-1.32293,0.241961,0.074932,0,0,1.92582,0.452083,0.902995,2.34591,1.41173,0,0,-12.92,-93.5378,19.7079,-1.45628,0.0913277,2.48137,-15.2851,-4.20527,3.23001,4.32488,0.838313,-0.176208,0.00228058,-12.7888,-78.9255,1.07171,101.209,-217.552,-7.11227,-0.000196555,37.9826,-39.2829,15.1472,-6.15635,-1.03407,0.209473,1.77915,-0.0539965,-0.0149228,-0.0720215,-9.20801,-1.04966,0.423462,2.00663,-0.0624288,0.00197814,-0.0467911,-31.0753,-34.362,23.0538,10.5875,9.28345,-1.2155,-97.662,22.2677,-83.1152,165.635,-6.87575,0,0,-16.5128,0.0627306,-52.5959,107.956,-201.185,0,0,50.3847,31.3357,-3.19955,-54.1921,-10.928,-7.77686,110.137,-33.6766,0,0,-54.9125,13.5871,7.01198,13.7945,7.78899,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.863621,0,-0.316219,-0.596407,-9.16271,0.109407,101.924,1565.88,-18.6974,0.000425693,0.0600443,96.5035
0.083333,-0.142638,0.0915413,0.0236554,0.998357,0.935569,-0.328763,0.874017,-0.142841,0.0313307,-2.25989,0.325478,0.1,-0.000124659,0.179681,0.164529,-0.209884,-0.671979,0.574533,0.1,-0.0014551,-0.101768,-0.0915674,-0.288777,-0.660492,-0.344729,-0.0734248,1.04792,2.14595,-0.00103888,0.000440825,-0.388371,-0.350261,-0.0651586,2.01609,2.06104,0.0018568,-0.00311435,-0.41843,-2.07393,-2.02063,0.216463,0.358909,0.110971,6.50516,4.42174,0.726973,6.18645,1.86318,0,0,-7.9021,-2.2478,-1.44504,6.24518,-1.46921,0,0,1.71327,2.58039,0.0458046,-3.56428,-0.805877,-1.38774,1.15977,-0.205706,0,0,1.46822,0.565309,0.961428,2.46086,1.47664,0,0,23.8838,-43.3425,29.9524,-0.741435,0.211344,1.91551,-10.5389,6.44446,0.633449,4.77237,0.897164,-0.137141,0.00233166,0.445672,-78.2581,-2.99201,68.5904,-216.969,-4.9266,-0.000936526,47.429,-21.3918,15.5377,-4.91436,-0.511235,0.247395,1.59551,-0.0480044,-0.0124261,-0.0650495,-8.90552,-1.15063,0.374448,1.73214,-0.0562629,0.00362457,-0.0378686,-2.33563,-35.13,14.4315,9.9443,9.82759,0.664532,-124.113,30.8367,-70.8259,153.117,-13.9315,0,0,-31.0696,-17.9642,-68.4139,81.189,-232.196,0,0,17.8107,37.1433,-3.03129,-40.1883,-3.74658,-7.59556,90.4368,-24.7566,0,0,-49.2646,5.65891,8.60576,5.86683,-5.80257,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.838336,0,-0.318137,-0.913434,-9.6632,0.183767,134.456,1422.41,-27.0502,0.000401414,0.059526,57.8828
0.091667,-0.146287,0.071819,0.00781897,1.00085,0.939242,-0.327792,0.919608,-0.103852,0.0324704,-2.1977,0.340037,0.1,-0.000124659,0.111673,0.14455,-0.226677,-0.614298,0.546165,0.1,-0.0014551,-0.0862535,-0.0674848,-0.288606,-0.692985,-0.351705,-0.0855168,1.06386,2.14252,-0.00103888,0.000440825,-0.379557,-0.345157,-0.0565491,2.037,2.07294,0.0018568,-0.00311435,-0.437893,-2.36667,-1.90037,0.299332,0.440806,0.116509,5.47089,4.67872,0.136758,7.46242,1.74708,0,0,-8.16101,-2.39751,-2.01515,6.92175,-3.40418,0,0,1.86169,2.88992,0.0205438,-3.89919,-0.837099,-1.45104,1.91341,-0.412011,0,0,1.05768,0.612466,1.03314,2.50975,1.42829,0,0,52.0733,5.77943,27.2755,2.719,1.18128,0.124697,-8.55397,13.3613,-1.71222,4.9296,0.918299,-0.0864386,0.00230996,14.3403,-77.5458,1.31691,39.0479,-207.15,0.481873,-0.00132299,52.3981,-4.14825,15.6256,-3.48424,-0.276593,0.234088,1.42959,-0.0412546,-0.0111908,-0.0579068,-8.33953,-1.07574,0.358967,1.44493,-0.0491659,0.00625898,-0.0293832,12.7063,-29.9807,11.61,8.71934,8.86773,1.752,-132.545,28.4962,-53.5565,137.447,-17.971,0,0,-27.9441,-25.4067,-77.5428,50.7507,-249.677,0,0,-1.54185,34.2782,-6.92331,-27.5788,1.70711,-6.9614,72.1528,-13.6884,0,0,-44.7543,-1.7076,9.26706,0.0210245,-16.5421,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.811677,0,-0.31897,-0.509083,-3.93538,0.126382,161.781,1250.62,-40.1627,0.000379352,0.0590359,59.142
