Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
188,0.0229739,0.00861751,0.0105231,0.0155944,0.00341538,0.00464042,0.00467513,0.00427572,0.00960864,0.0141933,0.0123217,0.0223333,0.0137238,0.0116705,0.0215284,0.0109779,0.0145846,0.0139757,0.0187515,0.0239419,0.0127112,0.0153943,0.0112586,0.00201548,0.00411916,0.00688303,0.00957277,0.0227034,0.0215157,0.00681745,0.00419453,0.00485505,0.013739,0.0054126,0.0261065,0.0202904,0.00958649,0.00434093,0.0106157,0.0117132,0.0126772
189,0.0231403,0.00825376,0.0108622,0.0174355,0.00479759,0.00352844,0.00288332,0.00531008,0.00688632,0.0134875,0.0106254,0.0188661,0.0121973,0.0109634,0.0197085,0.0120019,0.0107762,0.0148292,0.0198177,0.0219222,0.00979938,0.0143752,0.0108061,0.00302829,0.00359935,0.00548372,0.0098049,0.0214184,0.0192905,0.00727519,0.0042594,0.0058966,0.0152739,0.00593435,0.0276938,0.0191562,0.0093852,0.00472165,0.00914434,0.0111642,0.0110427
190,0.023511,0.00805502,0.0106076,0.0173092,0.00572961,0.00335549,0.00230061,0.00604855,0.00513126,0.0137411,0.0090783,0.0143768,0.0105423,0.0101899,0.0184847,0.0124608,0.00726001,0.014629,0.0210333,0.0203032,0.00714426,0.0134577,0.0101869,0.00428604,0.00267982,0.00396646,0.00954674,0.0202981,0.0175519,0.00773653,0.00646475,0.00641686,0.0169827,0.00554597,0.0274487,0.0173558,0.00909407,0.00471095,0.0079358,0.010298,0.00926033
191,0.0238602,0.00783771,0.0100322,0.0160752,0.00515815,0.00362559,0.00235501,0.00623041,0.00420751,0.0143252,0.00816696,0.00942359,0.00920734,0.00912609,0.0180779,0.0123192,0.00574828,0.0134233,0.0209967,0.019045,0.0049901,0.0126004,0.00948646,0.00541071,0.00179221,0.00282065,0.00935838,0.0191835,0.01592,0.00810859,0.00961336,0.00645474,0.0185336,0.00432548,0.0258973,0.0152309,0.00857543,0.00441467,0.00737896,0.00938742,0.00719171
192,0.0240372,0.00727445,0.0095316,0.0143256,0.00360126,0.00384953,0.00283073,0.00601346,0.00380287,0.0148336,0.0078648,0.00488917,0.00832372,0.00751343,0.0182317,0.0121935,0.00804919,0.0121884,0.0196757,0.0180983,0.00352793,0.0118562,0.00829353,0.00604747,0.00203928,0.00288707,0.00933997,0.0178353,0.0139653,0.00825201,0.0125338,0.00619655,0.0196471,0.00305861,0.0234783,0.0126549,0.0080919,0.00375206,0.00812841,0.00910309,0.00484419
193,0.0240736,0.00627287,0.00960722,0.0122118,0.00393323,0.0040468,0.00374042,0.00568142,0.00368447,0.015138,0.00803049,0.00524862,0.00863842,0.00549247,0.0181873,0.0123442,0.0113026,0.0115998,0.0181908,0.0173602,0.00310244,0.0114621,0.00631648,0.00567936,0.00299786,0.00374994,0.00923327,0.0161256,0.0118894,0.00816773,0.0150948,0.00607076,0.0201632,0.00294981,0.0201404,0.00960944,0.00844449,0.00269212,0.0101823,0.0100377,0.00330956
194,0.0241695,0.00506673,0.0106641,0.0101769,0.00577983,0.00459535,0.00504298,0.00557373,0.00380658,0.0152742,0.00861941,0.00959298,0.0105141,0.0042802,0.0172608,0.0122849,0.0130682,0.010978,0.017842,0.0168132,0.00415936,0.0118578,0.00394881,0.00402207,0.00375201,0.00454621,0.00882769,0.014166,0.0103131,0.00792928,0.0174174,0.00642183,0.0200501,0.00413033,0.0157487,0.00730235,0.00981622,0.00151459,0.0129278,0.0121214,0.00478885
195,0.0245672,0.00387984,0.0124673,0.00888101,0.00699433,0.00579099,0.00667376,0.0060956,0.00424927,0.0153567,0.00949017,0.0129006,0.0124499,0.00509621,0.0153609,0.0114101,0.0125475,0.0103481,0.019104,0.0167665,0.00633789,0.0131246,0.00209791,0.00201857,0.00420426,0.00538273,0.00818603,0.0123344,0.00964947,0.00774328,0.0194414,0.00722174,0.0194155,0.00607894,0.010946,0.00795548,0.0113165,0.0015171,0.0156994,0.0147931,0.00778118
196,0.0253974,0.00278173,0.0140231,0.00859251,0.00796805,0.00748975,0.00848465,0.00734885,0.00495096,0.0154996,0.0103959,0.0138726,0.0129474,0.00650478,0.0131658,0.00985423,0.0111118,0.0119081,0.0212844,0.0175101,0.00894889,0.0147208,0.00172697,0.00368825,0.00459664,0.00659756,0.00750293,0.0110906,0.00980381,0.00822113,0.0209771,0.00828903,0.0184439,0.00850259,0.00738413,0.0101741,0.0120568,0.00352721,0.0178683,0.0174014,0.0108025
197,0.0265616,0.00213387,0.0144132,0.00878932,0.00849113,0.00934837,0.0101881,0.0088842,0.00564484,0.0157354,0.0110956,0.0126209,0.0119712,0.00734235,0.0116987,0.00860908,0.0110183,0.0152306,0.023232,0.0188659,0.0113832,0.0160328,0.00299086,0.0064973,0.00508339,0.0078644,0.00681581,0.0105588,0.0103498,0.0104998,0.0219641,0.00949204,0.0172163,0.0107953,0.00619472,0.0112347,0.0116147,0.00682479,0.018941,0.01933,0.013254
