Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0235558,0.00601882,0.0101693,0.0123307,0.00675834,0.00620133,0.00645106,0.00599229,0.00840446,0.0135304,0.0102782,0.012353,0.0110471,0.00803299,0.0175266,0.0125554,0.0131577,0.0149093,0.0163221,0.013928,0.0100653,0.0133273,0.00956863,0.0065946,0.00645638,0.00717019,0.00697499,0.015412,0.0163649,0.0134773,0.0134848,0.00955218,0.0117721,0.00770047,0.0139144,0.0133342,0.01362,0.0107356,0.0123705,0.0119241,0.0110342
0,0.0249399,0.00884808,0.00836854,0.0132381,0.008229,0.00221364,0.00520784,0.0076995,0.00871846,0.0158905,0.0154743,0.0188013,0.0133371,0.0107253,0.0164295,0.00713027,0.0156803,0.012066,0.00803462,0.0178375,0.00920159,0.0170728,0.0122444,0.000554166,0.00678434,0.00773924,0.011266,0.0205152,0.0197942,0.0067455,0.00671482,0.00714467,0.0139247,0.00434994,0.021887,0.0196118,0.00954746,0.00782453,0.0120344,0.00785877,0.0115797
1,0.0262473,0.00975631,0.00675342,0.0138029,0.00268045,0.00357485,0.00369541,0.0043887,0.00901987,0.0149331,0.0132689,0.0164504,0.0126942,0.00965407,0.0159551,0.0096811,0.0106298,0.0151543,0.00973371,0.017043,0.00911963,0.0185204,0.0131056,0.00202677,0.00490203,0.00529295,0.00794447,0.0220957,0.019929,0.00841664,0.00198605,0.00592886,0.0140311,0.00469603,0.0267226,0.0213053,0.0116992,0.00698173,0.0126346,0.00935316,0.0132588
2,0.0272416,0.0104707,0.0056817,0.0146869,0.00550075,0.00612574,0.00352814,0.00363445,0.0090174,0.0143035,0.0121289,0.0138941,0.0128863,0.00964082,0.015727,0.0126341,0.00871037,0.0170651,0.0109579,0.0165291,0.00880363,0.018745,0.0144399,0.00296956,0.00495383,0.00409469,0.0061125,0.0231513,0.0199232,0.0101992,0.00391614,0.00577278,0.0151805,0.00484967,0.0295872,0.0218649,0.0125955,0.00661214,0.011732,0.00999722,0.0138961
3,0.0276956,0.0103264,0.00512097,0.0153422,0.00601934,0.00716165,0.00336918,0.00378133,0.00826812,0.0139693,0.0115216,0.0107471,0.0121465,0.00939009,0.0164351,0.0139712,0.00769357,0.0172377,0.0112287,0.0160793,0.00786846,0.0178206,0.0149918,0.0037641,0.00502492,0.00290386,0.00529723,0.0231568,0.019252,0.0109826,0.00741748,0.0063087,0.0169122,0.00344792,0.0300587,0.0209092,0.0121688,0.00584577,0.00936897,0.00940099,0.0131807
4,0.0275754,0.00925143,0.00503151,0.0152126,0.00453127,0.00689762,0.0029326,0.00361147,0.00673306,0.0138748,0.010913,0.00712578,0.0102111,0.00874171,0.0179333,0.0140798,0.00776594,0.0164896,0.0105163,0.0155752,0.00629602,0.0162694,0.01393,0.0047951,0.00459887,0.00131844,0.00567574,0.0221028,0.0177065,0.0109049,0.0100771,0.00719966,0.0186904,0.0019123,0.0282847,0.0184889,0.0107803,0.00491794,0.00615088,0.00786004,0.0111281
5,0.0271324,0.00761171,0.00534503,0.0140934,0.0034442,0.00612356,0.00320769,0.00369104,0.00486083,0.0139502,0.0103137,0.00462313,0.00793158,0.00756457,0.0192189,0.0137291,0.00948798,0.0153701,0.00956565,0.0148443,0.00454564,0.0148955,0.0110683,0.00537736,0.00413043,0.00068994,0.00686664,0.020398,0.015729,0.0102316,0.0122119,0.00798623,0.0199821,0.0017084,0.0248189,0.0149292,0.0092222,0.00432351,0.00381679,0.00641996,0.00820054
6,0.026731,0.00587372,0.00593939,0.0123837,0.00478221,0.00548581,0.00437035,0.00418724,0.00331986,0.014152,0.0100059,0.00657088,0.00749928,0.00594091,0.0193617,0.0133438,0.0112178,0.0133993,0.00938971,0.0138013,0.00351967,0.0142758,0.00731783,0.00467347,0.00394159,0.00205983,0.00807363,0.018466,0.01405,0.00896587,0.014139,0.00844508,0.0205241,0.0029338,0.0201622,0.0108406,0.00847695,0.00353689,0.00484863,0.00640161,0.00511846
7,0.0266411,0.00440547,0.0068536,0.0108809,0.00585535,0.00528852,0.00583366,0.00497531,0.00293681,0.0144731,0.0100725,0.0100786,0.00932336,0.00443847,0.0180993,0.0128805,0.0116757,0.00987161,0.0103863,0.012763,0.00429986,0.0144939,0.00436638,0.0025574,0.003954,0.00343798,0.0088858,0.016534,0.013139,0.00713312,0.0157985,0.00876801,0.0204099,0.00493686,0.0148321,0.00813535,0.00898947,0.00204233,0.00735021,0.00788899,0.00301275
8,0.0269476,0.00344704,0.0082167,0.0100512,0.00602642,0.00558327,0.00725172,0.00602435,0.00362455,0.0147396,0.0103511,0.0124961,0.0108085,0.00401444,0.0159171,0.0122362,0.0114515,0.00594179,0.0121195,0.0122743,0.00626004,0.0152988,0.00320901,0.000849646,0.0040938,0.0051372,0.00917347,0.0146907,0.0128914,0.00547447,0.0169668,0.00928851,0.0199144,0.00724627,0.00974036,0.00956447,0.0100142,0.00209728,0.00955509,0.00985861,0.0036173
9,0.0275791,0.00317573,0.00994864,0.00961399,0.00703857,0.00629082,0.00836301,0.00719697,0.00432677,0.0145574,0.0106401,0.013161,0.0106676,0.0048782,0.0138751,0.0116851,0.0124008,0.00659596,0.013936,0.0124263,0.00824114,0.0163783,0.00258415,0.00418617,0.0043803,0.00724101,0.00892816,0.0130326,0.0128765,0.00650404,0.0176604,0.0100663,0.0192279,0.00966025,0.00604478,0.0123705,0.0106356,0.00527127,0.0110202,0.0115698,0.00559416
10,0.0283601,0.00357228,0.0117944,0.00905083,0.00800198,0.00719051,0.00896094,0.0081743,0.00451371,0.013689,0.0108069,0.0120243,0.00959658,0.00583398,0.0127958,0.0116767,0.0138941,0.0095131,0.0153234,0.0126804,0.00957426,0.0174368,0.00143235,0.00717124,0.00474876,0.00928272,0.00825907,0.0117312,0.0128014,0.0103625,0.0181853,0.0107974,0.0182597,0.0117273,0.00407767,0.0129963,0.0105975,0.00909787,0.0115766,0.0125884,0.00741489
11,0.0290448,0.00415397,0.013526,0.00822055,0.00686649,0.00791629,0.00900244,0.00866737,0.00418996,0.0124715,0.0107937,0.00938237,0.00899786,0.00615757,0.0122929,0.0122694,0.0132098,0.00966,0.0159523,0.0125263,0.00999422,0.0181763,0.00141052,0.0087945,0.00511642,0.0105069,0.00733273,0.0109376,0.0125732,0.0144186,0.0188123,0.0110766,0.0166575,0.0127632,0.00343353,0.0108019,0.0101617,0.0127043,0.0112411,0.0126327,0.00847242
12,0.0293886,0.00440098,0.0150033,0.00749512,0.0058275,0.00824543,0.00860732,0.00860944,0.00367751,0.0116573,0.010614,0.00623714,0.00913823,0.00626283,0.0114281,0.0133717,0.00994085,0.0064254,0.0157217,0.0118828,0.00962519,0.0183958,0.0033366,0.00844348,0.00551783,0.010368,0.00628115,0.0107524,0.0120896,0.0168034,0.0195472,0.0107225,0.0141637,0.0122436,0.00499319,0.00722907,0.0098978,0.0148819,0.0102885,0.0116715,0.00832497
13,0.0292571,0.00416107,0.0161357,0.0073852,0.00773663,0.00830952,0.00793906,0.0081286,0.0033705,0.0116762,0.0103308,0.00476472,0.00925746,0.0065236,0.00990103,0.0149115,0.00842349,0.00156604,0.0148284,0.0109857,0.00883511,0.0181201,0.00550835,0.0061847,0.00603827,0.00900933,0.00522287,0.0112841,0.0112444,0.0163359,0.020181,0.0100038,0.0111486,0.0100739,0.0074523,0.0058988,0.0101597,0.0142483,0.00917727,0.0100278,0.00690375
14,0.0286746,0.00361143,0.0168494,0.00781491,0.00838398,0.00839858,0.00711757,0.00743071,0.00343648,0.0122168,0.00996035,0.0057427,0.00866769,0.00640367,0.00816334,0.0161657,0.0114948,0.00382169,0.0136963,0.010131,0.00800168,0.0175788,0.00757239,0.00305516,0.00665222,0.00726413,0.00431499,0.0123242,0.0101158,0.0128966,0.0204806,0.00932955,0.0086589,0.00663021,0.00896757,0.00910681,0.0101252,0.0102817,0.00831392,0.00827567,0.00473463
15,0.0277661,0.00306032,0.0170845,0.00814901,0.00585692,0.00860461,0.00622324,0.00665302,0.00373255,0.0124926,0.0093941,0.00713045,0.00714687,0.00586982,0.00695953,0.0158902,0.0139235,0.0075091,0.0127257,0.00946809,0.00736999,0.0170382,0.00905825,0.00338347,0.00718284,0.00591407,0.00374109,0.0132312,0.00897417,0.00884358,0.0203354,0.00831769,0.00762847,0.00289251,0.0099477,0.0126851,0.00951799,0.00478073,0.00790094,0.00695406,0.00272316
16,0.0266711,0.00283025,0.016803,0.00801438,0.00191132,0.00860589,0.00529132,0.00582674,0.00401829,0.0120844,0.00847602,0.00858236,0.00551279,0.00606263,0.00662047,0.0133753,0.013361,0.00985708,0.012079,0.00900611,0.00703064,0.0166149,0.00956621,0.00695116,0.00739637,0.00497413,0.00365115,0.0134845,0.00810982,0.0103006,0.0196784,0.00621545,0.0083705,0.00350757,0.0120875,0.0143561,0.0116216,0.00701581,0.00798395,0.00628395,0.0016407
17,0.0255036,0.00308015,0.0159972,0.00760773,0.00365536,0.00786671,0.00432282,0.00504723,0.0041257,0.0115461,0.00714962,0.0101706,0.00533105,0.00726991,0.00669069,0.00920967,0.0105961,0.0108969,0.011709,0.00872825,0.00692667,0.0162102,0.00912186,0.00957855,0.00709952,0.00429047,0.00411367,0.0130352,0.00774597,0.0157432,0.0183765,0.00342174,0.0100573,0.00680099,0.0147014,0.0144283,0.0168345,0.0135518,0.00845972,0.00613805,0.00176398
18,0.0243601,0.00361755,0.0146958,0.00743855,0.00662223,0.00622804,0.00348974,0.00463188,0.00398379,0.0116443,0.0055767,0.0112477,0.00619417,0.00827092,0.00661983,0.00566053,0.00774179,0.0105542,0.0114937,0.00852295,0.00688141,0.0156367,0.00807574,0.0101212,0.00620139,0.00422219,0.00515869,0.0121525,0.00798301,0.0196602,0.0163695,0.00180036,0.010785,0.00865458,0.0159597,0.0147854,0.0204609,0.0185894,0.00902222,0.00628105,0.00270584
19,0.0233537,0.00413668,0.0129671,0.00809129,0.00812299,0.00411778,0.00333188,0.00492603,0.0035572,0.0123738,0.00434142,0.0112712,0.00659579,0.00827138,0.00627044,0.00565222,0.00700708,0.00901755,0.0112886,0.00813169,0.0066481,0.0148342,0.00676324,0.00861986,0.00477528,0.00499165,0.00674109,0.0111492,0.00870304,0.019822,0.0138639,0.00283826,0.00931822,0.00872225,0.0157694,0.0160726,0.0197326,0.0209764,0.00930477,0.00651127,0.0038856
20,0.0226622,0.00441563,0.0109083,0.00984915,0.00824501,0.00227786,0.0039824,0.00578764,0.00286293,0.0131741,0.00436928,0.010389,0.00628133,0.00742215,0.00577593,0.00671195,0.0082187,0.00731723,0.0109066,0.00729039,0.00592634,0.0139436,0.00558154,0.00540622,0.00318121,0.00633213,0.00863156,0.0102865,0.00976667,0.0162307,0.0113399,0.006253,0.00703179,0.00839078,0.0151127,0.016387,0.0150676,0.0201466,0.00909675,0.00656377,0.00488907
21,0.0225242,0.00431689,0.00863452,0.0121156,0.00738408,0.00189922,0.00466035,0.00661895,0.00237434,0.013682,0.00545028,0.00938129,0.00600801,0.00653507,0.00533546,0.00650355,0.00952548,0.00657324,0.0101541,0.00580819,0.00436166,0.0131196,0.00515579,0.00176392,0.0023543,0.00795487,0.0104069,0.00985681,0.0111791,0.0121281,0.00928416,0.0103953,0.00794711,0.00881324,0.0139859,0.0139783,0.0091844,0.0165194,0.00837819,0.00600422,0.00537452
22,0.0230514,0.00387851,0.00632092,0.0137748,0.00614979,0.00282897,0.0047113,0.00680441,0.00338154,0.0140511,0.00650252,0.009098,0.00657668,0.00641846,0.00521774,0.00599819,0.0103417,0.00619403,0.00907878,0.00363778,0.00176511,0.0123433,0.00559444,0.00619049,0.00285769,0.00950825,0.011537,0.010227,0.0127918,0.0117098,0.00795507,0.0123357,0.0093332,0.00844053,0.0116856,0.00931601,0.00653263,0.0120763,0.0073252,0.00443466,0.00486164
23,0.0239187,0.00353049,0.00439992,0.0141902,0.00496599,0.00373976,0.00422988,0.00601264,0.00593136,0.0146026,0.00700883,0.00944056,0.00767742,0.00699892,0.00583732,0.00739443,0.0112118,0.00523487,0.00834002,0.00230096,0.00290898,0.0115854,0.00643708,0.011011,0.00349092,0.0104915,0.0115578,0.0116255,0.0140666,0.012207,0.00750668,0.0107781,0.00680901,0.00622174,0.00833942,0.00475339,0.00725914,0.00837973,0.0068206,0.00290139,0.0033733
24,0.0244531,0.00377554,0.00389784,0.0137589,0.00374223,0.00455339,0.0042692,0.0045146,0.00936436,0.0155555,0.00697864,0.00956713,0.00845964,0.00755742,0.00740755,0.0105427,0.0127153,0.00456773,0.0088675,0.00528155,0.00774737,0.0110578,0.0074106,0.0129795,0.00394429,0.0103927,0.0102949,0.0139786,0.0145515,0.0137768,0.0080278,0.0091021,0.00235379,0.00557747,0.00527781,0.00206911,0.00707595,0.00544795,0.00859661,0.00581743,0.00482424
25,0.024344,0.00427711,0.00524772,0.0135944,0.00290507,0.00561028,0.00523362,0.00361127,0.0130589,0.0169428,0.00666415,0.00904658,0.00842463,0.00748168,0.00954654,0.0136067,0.0144721,0.00568638,0.0105217,0.00923595,0.0125388,0.0109342,0.00824657,0.0116793,0.00503886,0.00891895,0.00805029,0.0170933,0.0148278,0.0191564,0.0092026,0.0126065,0.00700304,0.00844508,0.00577737,0.00324123,0.00793213,0.00603789,0.0124205,0.0106236,0.00959628
26,0.0240244,0.0044895,0.0073459,0.014631,0.00386439,0.00692112,0.00597869,0.00435815,0.0161026,0.0183353,0.00661166,0.00802831,0.00748895,0.00652533,0.0116676,0.0156057,0.0154721,0.00744853,0.0123848,0.0125145,0.0160276,0.0108627,0.00923087,0.00837229,0.0069426,0.0067962,0.00566576,0.0205485,0.0162668,0.0238806,0.0101358,0.0173321,0.0105808,0.0102161,0.00892943,0.007482,0.0108947,0.00892484,0.0161613,0.0143846,0.01373
27,0.0239328,0.00447187,0.00925591,0.0166362,0.00550934,0.00799501,0.00588195,0.00517254,0.0176151,0.0190165,0.00731832,0.00688824,0.00603294,0.00490947,0.0135918,0.0167826,0.0151812,0.0085198,0.0137526,0.0146272,0.0174194,0.0103412,0.0111,0.00480069,0.00863785,0.00661961,0.00414896,0.0233223,0.0187486,0.0247975,0.0101017,0.019622,0.0109296,0.00999887,0.0114271,0.0110587,0.0132854,0.010336,0.0179865,0.0156871,0.0154659
28,0.0238887,0.00465069,0.0102943,0.0182618,0.00626432,0.00825103,0.00522281,0.00477517,0.0173551,0.0186657,0.00821714,0.00609589,0.00505382,0.00318938,0.0158445,0.0178856,0.0140177,0.00876715,0.0141335,0.0156884,0.0167624,0.00936031,0.0129318,0.0023504,0.00911653,0.00809303,0.0034566,0.0241592,0.0205324,0.0227631,0.00913748,0.0195716,0.0103486,0.00969702,0.0125878,0.0119124,0.0149014,0.0100528,0.0172239,0.014487,0.0147402
29,0.0236684,0.00522799,0.0101391,0.0183971,0.00566555,0.00747692,0.00464438,0.00317422,0.0159196,0.0176978,0.00830035,0.00590426,0.00538819,0.00201012,0.019265,0.0190854,0.0128893,0.00880518,0.0133595,0.0160325,0.0148952,0.00824444,0.0132667,0.0024963,0.00805314,0.00802998,0.00322228,0.0225822,0.0204264,0.0200051,0.0077127,0.0187704,0.0109464,0.010536,0.0124646,0.00977916,0.0162224,0.00930038,0.0145447,0.0118853,0.0125672
30,0.0233767,0.00594615,0.00902423,0.0171279,0.00407911,0.00609169,0.00459605,0.00214574,0.0142657,0.0169417,0.00729772,0.0059558,0.0065323,0.00199194,0.0239382,0.0198479,0.0122468,0.00928648,0.0118926,0.015871,0.0128605,0.00727126,0.0122172,0.00351424,0.00591146,0.00601003,0.00459895,0.0193626,0.0186032,0.0180095,0.00618434,0.0181972,0.0118391,0.0116224,0.0109807,0.00648559,0.0165401,0.00887446,0.0112828,0.00901968,0.0100334
31,0.0231208,0.00642541,0.00756181,0.0155034,0.00252128,0.0049975,0.00466984,0.00373148,0.0129959,0.0168873,0.00578046,0.00568982,0.00796798,0.00265142,0.0286996,0.0196849,0.0117193,0.0101235,0.0107052,0.0151877,0.0112617,0.00666489,0.0110146,0.00354486,0.00365449,0.00392665,0.0069647,0.0158533,0.016172,0.0170663,0.00488789,0.0175,0.0117133,0.0118985,0.00867862,0.00515772,0.0155409,0.00863361,0.00844595,0.00623005,0.00770858
32,0.022951,0.00648012,0.00636643,0.0145045,0.00265639,0.00469977,0.0042531,0.00534573,0.0120906,0.0172158,0.00462943,0.005087,0.00979328,0.00319808,0.0319937,0.0186439,0.0108045,0.0107042,0.010549,0.0138728,0.0100984,0.00642349,0.0105636,0.0021185,0.00249605,0.00365795,0.00876119,0.0128752,0.0143122,0.0168678,0.00445066,0.0158085,0.0104748,0.0110606,0.00694245,0.00606952,0.0137434,0.00833799,0.00636093,0.00341472,0.00582595
33,0.0229376,0.00614145,0.00582381,0.0140889,0.00417851,0.00466696,0.00354573,0.00611174,0.0111907,0.0171973,0.00445667,0.00455874,0.0119756,0.00331427,0.0330517,0.0171907,0.00944075,0.0107013,0.011307,0.0120044,0.00895548,0.00637901,0.0105883,0.000741193,0.00270155,0.00448754,0.00937325,0.0104636,0.0135749,0.0170113,0.0051114,0.0126721,0.00867998,0.00951845,0.00677159,0.00658826,0.0114288,0.00791808,0.00501626,0.000855259,0.00484539
34,0.0230346,0.0055481,0.0059695,0.0134783,0.00576935,0.0043378,0.00337989,0.00632492,0.00997543,0.0163052,0.00525343,0.00411033,0.0140486,0.00293538,0.032232,0.0157337,0.00788344,0.010305,0.0124221,0.00999857,0.00731766,0.00659787,0.0103106,0.00374155,0.00305206,0.00532324,0.00901627,0.00852326,0.0137377,0.0170782,0.00632385,0.00849097,0.00702366,0.00807263,0.00786198,0.00563387,0.00825164,0.00748673,0.00435658,0.00183373,0.00506823
35,0.0230907,0.00486603,0.00653762,0.0123707,0.00682096,0.00371208,0.00391612,0.00641593,0.00835434,0.0145131,0.00661006,0.00360513,0.0155319,0.00233902,0.0303676,0.0142397,0.00641457,0.00987892,0.0135374,0.00851,0.00497354,0.00713369,0.00958722,0.00609399,0.00344381,0.00577007,0.00822097,0.00714617,0.014133,0.0166597,0.00765215,0.00456312,0.00621203,0.00736032,0.00952501,0.00510081,0.00448912,0.00764338,0.00431094,0.00333725,0.00577839
36,0.0230129,0.00427485,0.00738137,0.0112781,0.00682493,0.00314883,0.00453041,0.00646709,0.00648626,0.012311,0.00808528,0.00329455,0.016253,0.00202265,0.0278569,0.0123176,0.00565531,0.00965298,0.0146091,0.0081269,0.00221789,0.00780371,0.00877914,0.00694804,0.00424357,0.00597792,0.00734344,0.006399,0.0143145,0.0153341,0.00893384,0.00368446,0.00657668,0.00729326,0.011654,0.00853346,0.00512662,0.00869117,0.00480067,0.0044944,0.00634586
37,0.0228255,0.00397782,0.00866748,0.010654,0.00543482,0.00304926,0.00490393,0.00635417,0.00471502,0.0104035,0.00932467,0.00332309,0.0162703,0.00215776,0.0243913,0.00971097,0.00674848,0.00975093,0.0159136,0.00891796,0.000735157,0.00849368,0.0080293,0.00635651,0.00528688,0.00648883,0.0064573,0.00618161,0.0144388,0.0126873,0.0100959,0.00568504,0.00764075,0.00719071,0.0141285,0.0128814,0.00952396,0.00966558,0.00574332,0.00597496,0.00681107
38,0.022643,0.00414161,0.0105514,0.01047,0.00286094,0.00345561,0.00505254,0.00599087,0.00352906,0.00922806,0.0102205,0.00363314,0.0156979,0.00277256,0.0195699,0.00696692,0.00924863,0.0101598,0.0179239,0.0105296,0.0026584,0.00926769,0.00716257,0.00503075,0.006357,0.00765815,0.00560697,0.00632261,0.0148928,0.00880293,0.0110424,0.00726193,0.00859141,0.00641563,0.0160703,0.015512,0.0123663,0.00996066,0.00708007,0.00793043,0.00755536
39,0.0226194,0.00475183,0.0129102,0.0106342,0.00238423,0.00411788,0.00515783,0.00535979,0.00351071,0.00875209,0.0108561,0.00431701,0.0147,0.00419852,0.0137201,0.00614931,0.0118244,0.0106583,0.0207797,0.0126696,0.00429719,0.0102017,0.00616691,0.00437974,0.00758743,0.00937496,0.00504372,0.00671685,0.0156958,0.00597981,0.0116484,0.0075166,0.00888212,0.00519277,0.0166755,0.0159223,0.0124854,0.0112526,0.00878998,0.0101392,0.00891182
40,0.0228693,0.00557811,0.0154124,0.0110537,0.00561878,0.00485199,0.00557482,0.00454999,0.0047034,0.00875675,0.0112101,0.00554337,0.0135588,0.00636534,0.00806008,0.00797951,0.0136727,0.0110722,0.0238879,0.0150665,0.00615165,0.0112583,0.00538972,0.00640235,0.00911754,0.0111998,0.00504852,0.00730826,0.0163959,0.00929347,0.0118433,0.00639505,0.00895203,0.00573619,0.0161214,0.0148019,0.0107089,0.0152287,0.0107754,0.012282,0.0108829
41,0.0233934,0.0063057,0.0176314,0.0116767,0.00815144,0.00554058,0.00662003,0.00382819,0.00650615,0.00909522,0.0111822,0.00736588,0.0125532,0.00864576,0.00404323,0.00970438,0.0139973,0.0115541,0.0262266,0.017255,0.00858612,0.0122524,0.00519753,0.00912178,0.0107114,0.012659,0.00548763,0.00794321,0.0165281,0.0148975,0.0116686,0.00444295,0.0101585,0.00861438,0.0152352,0.013289,0.00883843,0.0197811,0.0127661,0.014041,0.0131483
42,0.0240637,0.00670603,0.0191301,0.0125433,0.00891036,0.00604859,0.00809049,0.00350664,0.00832798,0.00963913,0.0108875,0.00951867,0.0117346,0.0102459,0.00240927,0.00981981,0.0121945,0.0120289,0.0269977,0.0186427,0.0111242,0.0128736,0.00561988,0.00931273,0.011957,0.0134744,0.00593029,0.00837087,0.0161254,0.0177653,0.0113456,0.00359591,0.012489,0.0111703,0.0144377,0.0123496,0.00804085,0.0216252,0.0144276,0.0153985,0.0152338
43,0.0246974,0.00676803,0.0195772,0.0135218,0.00780798,0.00627347,0.00935674,0.00363224,0.00968266,0.0101428,0.0106949,0.011459,0.0111145,0.0106414,0.00247245,0.00852763,0.00895814,0.011425,0.0260438,0.018777,0.0127754,0.0128303,0.00637508,0.00632193,0.012651,0.0135751,0.0061359,0.00842313,0.0156878,0.0156019,0.0113287,0.00546922,0.0143343,0.0119302,0.0134205,0.0122536,0.00884657,0.0189998,0.0155328,0.0164491,0.0166806
44,0.0251278,0.00667765,0.0189172,0.0142202,0.00542075,0.00625203,0.00985249,0.00408243,0.0102181,0.01025,0.0109312,0.0128698,0.0110222,0.00989365,0.00295576,0.00662458,0.00717375,0.00844909,0.0237752,0.017551,0.0127336,0.0120846,0.00707186,0.00565303,0.0128766,0.0130194,0.00621222,0.00812685,0.0156801,0.0100384,0.0120024,0.00777843,0.0146236,0.0111566,0.0119442,0.0127149,0.0115801,0.0126947,0.015994,0.0170654,0.017221
45,0.0252291,0.00660496,0.0175108,0.0142791,0.00277337,0.00616815,0.00936935,0.00482281,0.00979923,0.00968313,0.0116203,0.013755,0.0114803,0.0084228,0.00349718,0.00474389,0.00954078,0.00359596,0.0207792,0.0152072,0.0109553,0.0110189,0.00736698,0.00935805,0.0127905,0.0119632,0.00637421,0.00766094,0.0161917,0.00690805,0.0132015,0.0093711,0.013353,0.00985868,0.0103802,0.0134397,0.0149661,0.00581615,0.0158046,0.0171191,0.0168932
46,0.0249466,0.00651036,0.0160303,0.0137031,0.00333408,0.00620144,0.00811775,0.00577446,0.0085828,0.00846447,0.0125115,0.0139786,0.0117185,0.00663197,0.0055233,0.00359376,0.0142779,0.00680579,0.0175584,0.0122036,0.0082097,0.0102893,0.00711804,0.0107067,0.0123955,0.0106173,0.00659733,0.00724723,0.017035,0.00747493,0.0143604,0.0104181,0.0111586,0.0085982,0.00925191,0.013935,0.0171667,0.00445978,0.0150595,0.0167269,0.0159847
47,0.0243369,0.00624531,0.015018,0.0128738,0.00649172,0.00633731,0.00661188,0.0067103,0.0069936,0.00696829,0.0132,0.0134618,0.0112972,0.00577135,0.00949932,0.00432546,0.0191735,0.0151802,0.0145471,0.00907657,0.0055911,0.0102848,0.00654969,0.00883034,0.0115482,0.00915036,0.00669254,0.0070522,0.0179585,0.00681168,0.0150459,0.0114675,0.00904504,0.0077646,0.00848398,0.0133991,0.017127,0.00733143,0.0140022,0.0160607,0.014819
48,0.0235496,0.00577241,0.0144358,0.012188,0.0089601,0.00636084,0.00538858,0.00738885,0.00553075,0.00576742,0.0132707,0.0126748,0.0107889,0.00745918,0.0142005,0.00754888,0.0219226,0.0238455,0.0121268,0.00635896,0.0040616,0.0107548,0.00613459,0.00608369,0.0101723,0.00764274,0.00668111,0.00713686,0.0187247,0.00587176,0.0151574,0.0126274,0.00814347,0.00770241,0.00757511,0.0114436,0.0148722,0.0092454,0.0128678,0.0150953,0.0135506
49,0.0227447,0.0051715,0.0137617,0.0117053,0.00986633,0.00602483,0.00469306,0.00771936,0.00449854,0.0053513,0.0125452,0.0121693,0.0108836,0.0100851,0.0185245,0.0116653,0.0212363,0.0315391,0.0104716,0.0045367,0.00397903,0.0111634,0.00609496,0.00498594,0.00841326,0.00615271,0.00685595,0.00747933,0.0191555,0.00658257,0.0147533,0.0134496,0.00841042,0.00807701,0.00636333,0.00872503,0.011391,0.010603,0.0116238,0.0136788,0.0121266
50,0.0220369,0.00449811,0.0126097,0.0112277,0.0088551,0.00519384,0.00453459,0.00780561,0.00401999,0.00582165,0.0111942,0.01178,0.0110672,0.011454,0.0218232,0.0142325,0.0183183,0.0361102,0.00944895,0.00386764,0.00450458,0.0111927,0.0063339,0.0047802,0.00657071,0.00479238,0.00737846,0.00805067,0.0192479,0.00771786,0.0138628,0.0133916,0.00848464,0.00838709,0.00531008,0.00701268,0.00844245,0.0118432,0.0100916,0.0117919,0.0103724
51,0.0215092,0.00378767,0.0110891,0.0107085,0.00613389,0.00389524,0.00494382,0.0078285,0.00431931,0.00695438,0.00951848,0.0109572,0.0101562,0.0106556,0.0238732,0.013964,0.0153733,0.0352213,0.00879773,0.00401808,0.00479346,0.0108857,0.00694561,0.00435352,0.00492981,0.00368622,0.00800511,0.00889066,0.0192044,0.00798747,0.0125349,0.0122934,0.00752783,0.00838188,0.00506193,0.00759702,0.00817452,0.0125114,0.00832789,0.00964476,0.00809664
52,0.0212607,0.00323183,0.00953391,0.0105046,0.00541438,0.00234407,0.00587727,0.00783779,0.00549738,0.00848088,0.00769532,0.00975525,0.00792741,0.00831351,0.024837,0.01249,0.0127434,0.0289665,0.00830156,0.00451668,0.00460434,0.0104949,0.00818722,0.0047704,0.00368822,0.00282759,0.00830701,0.0101284,0.0191903,0.00725379,0.0109998,0.0107148,0.00588628,0.00810202,0.00562456,0.00936981,0.0107516,0.0119737,0.00662594,0.00749099,0.00527848
53,0.0213519,0.00313824,0.00817324,0.0109137,0.00920652,0.00121487,0.00718781,0.00763125,0.00725985,0.0100499,0.00582064,0.00851194,0.00507094,0.00599489,0.0250118,0.0124897,0.00971603,0.0210627,0.00793557,0.00562896,0.00417184,0.0102236,0.00986389,0.00614311,0.00297163,0.00201137,0.00796512,0.0119421,0.0190642,0.00699713,0.00960703,0.00957922,0.00466488,0.00774827,0.00677096,0.0116819,0.0144881,0.0100023,0.00518145,0.00541915,0.00283362
54,0.0216385,0.00355335,0.00729643,0.0114634,0.0121887,0.00189994,0.00863147,0.00684599,0.00913567,0.0111809,0.00424779,0.00774104,0.00223442,0.00604088,0.0243768,0.012733,0.00655788,0.015895,0.00843647,0.00823458,0.00500728,0.0101025,0.0112795,0.00711755,0.00302566,0.00122937,0.00699266,0.0144715,0.0186061,0.00888479,0.00843782,0.00906995,0.00465629,0.00731233,0.00857267,0.0147744,0.0181645,0.00692328,0.00417325,0.00374629,0.0044411
