time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.11,-0.348779,-0.0351168,0.105612,0.755706,0.984536,-0.325165,0.211408,-0.124571,-0.330678,-1.67314,0.202486,0.0999995,0.0182342,0.830586,0.0435442,-0.345456,-0.358819,0.186273,0.0999997,0.0688765,0.228187,0.0069291,-0.0124856,-0.139786,-0.319912,0.0881124,1.33863,1.53732,0.0999999,0.0289822,-0.826701,-0.643242,0.237221,1.57748,1.23199,0.0999997,-0.0276507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.919967,0,-0.381314,-1.35137,5.75308,0.861017,-32.4119,137.985,20.6511,0.000266321,0.0358126,0
0.12,-0.356523,-0.0360759,0.113082,0.752351,0.976444,-0.326512,0.286561,-0.147934,-0.318828,-1.8058,0.207035,0.0999995,0.0182342,0.852192,0.041914,-0.315862,-0.477569,0.275334,0.0999997,0.0688765,0.230417,0.00183975,-0.0342335,-0.153761,-0.320937,0.0921215,1.2855,1.52953,0.0999999,0.0289822,-0.763192,-0.659976,0.260085,1.58714,1.23019,0.0999997,-0.0276507,-0.774357,-0.0959066,0.746989,-0.335562,-0.809155,-0.134712,7.5153,-2.33635,1.18504,-13.2662,0.454895,0,0,2.16056,-0.163025,2.95939,-11.875,8.9061,0,0,0.222977,-0.508935,-2.17479,-1.39749,-0.102495,0.400918,-5.31282,-0.778724,0,0,6.35098,-1.67333,2.2864,0.965975,-0.179344,0,0,21.3217,205.637,77.2528,-3.28275,-1.31683,0.551662,135.858,19.49,-35.698,72.5812,6.88031,1.67058,0.297896,-92.2527,-148.966,29.7028,42.5206,-13.7121,11.4414,0.388942,-4.75988,59.1864,-29.74,-11.8128,-8.12786,-2.19219,3.23231,-0.144922,0.198838,-0.478696,7.02324,4.06635,-0.933951,14.2045,-0.0995562,1.04882,-1.80515,-15.7032,-5.75086,-16.5887,-2.38658,-3.22946,5.17495,69.9341,46.9398,25.5031,158.733,4.8735,0,0,-65.7984,-14.0891,-30.4128,140.233,-40.625,0,0,11.4094,12.1504,1.63345,-8.14139,0.656997,-18.0278,23.188,23.6255,0,0,15.6174,19.9947,-30.157,9.08158,63.0543,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.929209,0,-0.379932,0.611138,-2.21553,-0.212044,-147.775,535.72,51.2728,0.000247473,0.0356789,220.731
0.13,-0.365837,-0.0376101,0.118893,0.748757,0.96803,-0.327342,0.368707,-0.166604,-0.304427,-1.92259,0.212071,0.0999995,0.0182342,0.867218,0.0388748,-0.28931,-0.582295,0.360333,0.0999997,0.0688765,0.233788,-0.00203457,-0.0558181,-0.16855,-0.321896,0.0943279,1.23469,1.52411,0.0999999,0.0289822,-0.69812,-0.67471,0.279933,1.5977,1.2347,0.0999997,-0.0276507,-0.931389,-0.153415,0.581103,-0.359428,-0.84145,-0.0829626,8.21464,-1.86695,1.44007,-11.6789,0.50363,0,0,1.50257,-0.303916,2.65526,-10.4727,8.49985,0,0,0.337071,-0.387432,-2.15845,-1.47891,-0.0959254,0.220639,-5.08094,-0.542469,0,0,6.50715,-1.47338,1.98483,1.05679,0.4512,0,0,-34.2186,168.908,70.2953,-1.35246,-0.174346,0.872816,89.3857,15.3848,-23.2787,59.7363,5.44288,1.14474,0.249988,-122.013,-167.792,34.7143,70.0674,-57.3859,8.39551,0.337148,4.27303,56.8876,-28.3241,-11.9717,-7.55134,-1.55524,5.2333,-0.181561,0.435652,-0.709761,4.66277,3.24252,-0.540256,16.5465,-0.116143,1.33625,-2.06938,-14.2695,-5.70666,-16.9706,-2.57704,2.32115,4.7976,66.6714,47.5078,24.8533,160.84,5.52705,0,0,-68.7678,-14.821,-32.081,143.427,-45.3516,0,0,10.5532,12.4271,2.18079,-8.30027,0.39792,-17.2559,23.6431,22.403,0,0,14.2074,20.4986,-31.1009,9.60271,61.5596,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.912409,0,-0.369273,1.63809,-7.86942,-0.62117,-207.817,998.355,78.8048,0.000247343,0.0352044,186.131
0.14,-0.376578,-0.0397149,0.123007,0.744905,0.959847,-0.327692,0.457521,-0.180522,-0.287541,-2.02329,0.21766,0.0999995,0.0182342,0.875367,0.0343536,-0.265965,-0.672679,0.440796,0.0999997,0.0688765,0.238214,-0.00466617,-0.0771845,-0.184169,-0.322816,0.0948087,1.18625,1.52092,0.0999999,0.0289822,-0.631628,-0.687394,0.296672,1.60923,1.24537,0.0999997,-0.0276507,-1.07408,-0.210482,0.411397,-0.385199,-0.818239,-0.0349866,8.88136,-1.39188,1.6886,-10.0705,0.5589,0,0,0.814896,-0.452125,2.33445,-9.03839,8.04633,0,0,0.442603,-0.263161,-2.13665,-1.56191,-0.0919462,0.04808,-4.84451,-0.31844,0,0,6.64923,-1.2684,1.67382,1.15282,1.0668,0,0,-93.8891,117.415,50.1444,-1.01238,-0.283881,1.55641,57.4746,12.8731,-14.881,48.5617,4.30844,0.792063,0.216739,-167.401,-165.47,39.052,93.9898,-107.38,5.45159,0.272782,10.4702,52.8717,-25.7106,-11.3205,-6.43119,-0.810915,7.34891,-0.219013,0.697062,-0.960301,3.07909,2.20558,-0.439271,19.0679,-0.170693,1.57633,-2.39337,-9.9346,-5.52559,-18.0558,-1.58205,7.5699,4.11496,56.2586,48.8083,22.6936,166.66,7.15389,0,0,-77.2652,-16.8279,-36.6206,151.668,-58.2968,0,0,7.82335,13.2986,3.85043,-8.76029,-0.620386,-14.7374,25.229,18.1592,0,0,9.70758,22.0612,-33.9162,11.3433,56.5648,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.879539,0,-0.361612,1.53853,-10.185,-0.53353,-214.119,1417.46,74.2518,0.000246048,0.0346316,158.491
0.15,-0.388312,-0.0423723,0.125315,0.740894,0.952422,-0.32763,0.55196,-0.18956,-0.268386,-2.10733,0.223965,0.0999995,0.0182342,0.875789,0.0281495,-0.246283,-0.747896,0.51543,0.0999997,0.0688765,0.243422,-0.00596792,-0.0981659,-0.200664,-0.323797,0.0938158,1.14033,1.51955,0.0999999,0.0289822,-0.564165,-0.697871,0.310018,1.62189,1.2617,0.0999997,-0.0276507,-1.17343,-0.265738,0.230839,-0.401019,-0.74254,0.006163,9.44394,-0.903793,1.91554,-8.40387,0.630439,0,0,0.0422442,-0.620405,1.96824,-7.52171,7.46337,0,0,0.520836,-0.130175,-2.09814,-1.64951,-0.09815,-0.0992938,-4.59222,-0.136848,0,0,6.7463,-1.04778,1.33465,1.26625,1.63244,0,0,-91.6544,38.7022,6.84841,-0.53895,-0.303686,2.23691,36.316,11.6434,-10.2313,40.7257,3.45271,0.619932,0.193312,-169.836,-118.882,30.1193,130.367,-154.751,13.585,0.185525,19.9488,44.8531,-21.373,-10.4278,-4.30692,0.257026,9.25622,-0.240728,0.994899,-1.18597,1.41783,1.37631,-0.228214,21.1367,-0.240128,1.76269,-2.67739,-1.98159,-5.15239,-19.7295,0.0767246,11.6304,2.9486,36.242,50.0113,18.1085,176.064,9.5625,0,0,-91.5509,-19.6643,-43.3625,163.921,-79.8284,0,0,2.61731,14.912,6.64302,-9.50936,-2.97257,-9.82557,28.6267,9.46165,0,0,1.07248,24.9616,-38.777,14.8257,46.4981,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.841883,0,-0.360387,1.21817,-9.39136,-0.174501,-221.769,1709.71,31.7681,0.000249888,0.0341249,99.7531
0.16,-0.400245,-0.0455449,0.125651,0.736892,0.94616,-0.327274,0.650024,-0.193597,-0.24742,-2.17376,0.231225,0.0999995,0.0182342,0.867056,0.0199791,-0.230936,-0.806721,0.58208,0.0999997,0.0688765,0.248892,-0.00577846,-0.118483,-0.21811,-0.325076,0.0918403,1.09727,1.51913,0.0999999,0.0289822,-0.496594,-0.705853,0.319487,1.63604,1.28267,0.0999997,-0.0276507,-1.19325,-0.317262,0.0335435,-0.400252,-0.626236,0.035649,9.80636,-0.40368,2.09662,-6.64322,0.726064,0,0,-0.873265,-0.817047,1.53462,-5.8825,6.66508,0,0,0.547009,0.0189457,-2.03171,-1.74461,-0.127876,-0.19755,-4.30595,-0.0422314,0,0,6.75703,-0.798168,0.946885,1.41451,2.09742,0,0,-43.5482,-30.929,-32.9071,-1.08431,0.127672,2.70293,22.3098,9.61481,-7.82182,35.7374,2.8754,0.556309,0.177627,-138.249,-67.2158,15.8291,171.547,-199.732,24.4747,0.0872516,33.9512,38.3426,-14.8496,-9.1158,-2.05267,1.25341,10.9825,-0.263135,1.27369,-1.40905,-0.988423,1.11053,0.482811,22.8909,-0.306103,1.95904,-2.90821,9.01087,-4.5851,-21.2723,2.13637,14.732,1.65477,6.86714,49.7217,10.5392,187.215,11.7363,0,0,-109.032,-22.2663,-50.9094,176.476,-107.321,0,0,-4.78958,17.2964,9.83279,-10.4087,-6.98215,-2.77309,34.2607,-3.47939,0,0,-11.553,28.8983,-44.6802,20.1888,31.097,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.806005,0,-0.361494,0.906855,-7.26282,0.0375113,-237.053,1898.51,-9.8055,0.000265383,0.0336959,62.8047
0.17,-0.411276,-0.049176,0.123859,0.733103,0.941371,-0.326752,0.748774,-0.192662,-0.225399,-2.22148,0.23966,0.0999995,0.0182342,0.847421,0.00958194,-0.220681,-0.847899,0.637999,0.0999997,0.0688765,0.253884,-0.00385936,-0.137817,-0.236597,-0.327053,0.0895875,1.05763,1.51836,0.0999999,0.0289822,-0.430179,-0.710945,0.324488,1.6522,1.30676,0.0999997,-0.0276507,-1.10314,-0.363113,-0.179179,-0.378888,-0.478916,0.0521967,9.87504,0.0935378,2.20201,-4.77108,0.843427,0,0,-1.96358,-1.03971,1.02553,-4.11774,5.59187,0,0,0.499114,0.19191,-1.93338,-1.84869,-0.197697,-0.22528,-3.96334,-0.0770253,0,0,6.6415,-0.509186,0.500082,1.6164,2.40839,0,0,-3.5896,-58.296,-44.3129,-0.918167,-0.425735,2.43438,14.1595,4.8174,-6.10915,31.5534,2.58443,0.503622,0.170154,-112.762,-54.9224,11.905,204.502,-243.587,25.2308,-0.00217479,47.3843,36.9752,-6.59555,-6.64356,-0.963067,1.58592,12.8432,-0.317245,1.45526,-1.69237,-3.88131,1.20102,1.65809,24.7988,-0.371315,2.21141,-3.13903,21.147,-4.24248,-21.7766,4.66949,17.6945,0.635098,-28.7887,46.5575,0.146031,197.349,12.332,0,0,-125.203,-23.1559,-57.466,185.099,-138.052,0,0,-13.1579,20.0469,12.2925,-11.3188,-12.3772,4.98518,42.0007,-17.9658,0,0,-26.7286,32.8338,-49.4531,27.0936,11.223,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.770971,0,-0.360322,0.619319,-5.70919,0.0402065,-224.243,2067.19,-14.558,0.000283716,0.0334,73.3614
0.18,-0.420193,-0.0532314,0.11989,0.729781,0.938351,-0.326166,0.844646,-0.187071,-0.203365,-2.24945,0.249327,0.0999995,0.0182342,0.815265,-0.00313076,-0.216172,-0.870566,0.680113,0.0999997,0.0688765,0.257559,6.44265e-05,-0.155921,-0.256216,-0.330268,0.0878332,1.0222,1.51579,0.0999999,0.0289822,-0.366437,-0.712753,0.324543,1.67108,1.33196,0.0999997,-0.0276507,-0.891667,-0.405537,-0.396945,-0.332193,-0.301971,0.0585476,9.58715,0.559113,2.20347,-2.79759,0.966747,0,0,-3.21562,-1.27127,0.450867,-2.26675,4.21134,0,0,0.367535,0.392379,-1.81046,-1.96188,-0.321469,-0.175429,-3.54333,-0.256683,0,0,6.37421,-0.180848,0.00555137,1.88733,2.52062,0,0,8.64952,-53.7919,-32.9609,-0.263827,-0.516936,2.41834,12.1329,-1.4684,-4.98361,27.6827,2.59886,0.441252,0.171359,-109.506,-71.0886,16.0227,216.191,-285.318,18.7226,-0.0732556,57.287,40.0667,2.66315,-2.73178,-1.13637,1.19085,14.8263,-0.40195,1.51232,-2.03459,-6.70975,1.23135,3.03608,26.6598,-0.433327,2.48581,-3.35329,32.0357,-4.23777,-20.4467,7.53299,20.2727,-0.183663,-65.6082,39.7925,-12.0996,203.797,10.8179,0,0,-134.965,-21.2886,-61.4085,186.548,-169.674,0,0,-20.3288,22.4913,13.1986,-12.2072,-18.1856,11.2033,50.9895,-29.5773,0,0,-42.2123,35.1997,-50.4364,34.7477,-11.1292,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.734283,0,-0.359069,0.396558,-5.56797,-0.0137191,-157.642,2213.41,5.45368,0.000292666,0.0350382,63.7259
0.19,-0.425906,-0.0577105,0.113875,0.727212,0.937358,-0.325599,0.933957,-0.1775,-0.18254,-2.25705,0.260076,0.0999995,0.0182342,0.769612,-0.0179723,-0.217805,-0.874579,0.705259,0.0999997,0.0688765,0.259201,0.00623735,-0.172706,-0.277056,-0.335301,0.0871992,0.991865,1.51027,0.0999999,0.0289822,-0.306917,-0.711042,0.319555,1.69342,1.35605,0.0999997,-0.0276507,-0.57131,-0.447915,-0.601412,-0.256863,-0.0992439,0.056711,8.93107,0.957038,2.08248,-0.759621,1.07493,0,0,-4.56526,-1.48416,-0.163219,-0.401271,2.51461,0,0,0.164246,0.617292,-1.67847,-2.08395,-0.503324,-0.063396,-3.03344,-0.552456,0,0,5.95209,0.171148,-0.498813,2.23481,2.40933,0,0,14.0081,-43.7335,-17.6777,-0.227964,-0.193348,2.14098,13.1763,-6.41865,-4.77446,24.8991,2.82405,0.395253,0.176307,-108.409,-81.0631,17.0144,205.345,-319.417,15.2883,-0.123212,63.3366,44.1667,12.1747,1.79058,-1.72899,0.475898,16.4363,-0.480171,1.47195,-2.34378,-9.61861,0.995902,4.62314,27.6574,-0.459016,2.74337,-3.43242,38.8668,-4.38744,-17.139,9.9521,21.4512,-1.01006,-98.0196,29.9221,-24.432,204.831,7.54664,0,0,-134.181,-16.7154,-61.9615,178.776,-198.76,0,0,-24.1047,23.8016,12.4678,-13.1671,-22.9857,13.6064,59.758,-33.6239,0,0,-55.748,34.4257,-45.5973,42.0392,-32.506,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.696358,0,-0.360723,0.179199,-6.44327,-0.0534896,-63.2584,2274.51,18.8822,0.00029089,0.0356298,49.2546
0.2,-0.427732,-0.0626284,0.106147,0.725639,0.938511,-0.325133,1.01347,-0.164938,-0.164158,-2.24416,0.27158,0.0999995,0.0182342,0.710541,-0.0344854,-0.225633,-0.860714,0.710529,0.0999997,0.0688765,0.258433,0.0147904,-0.188244,-0.299212,-0.342633,0.0879259,0.967507,1.50138,0.0999999,0.0289822,-0.25297,-0.705888,0.310007,1.71998,1.3769,0.0999997,-0.0276507,-0.182643,-0.49179,-0.772802,-0.157342,0.115268,0.0466105,7.95087,1.25626,1.83816,1.28869,1.15039,0,0,-5.90708,-1.65131,-0.782833,1.38649,0.527003,0,0,-0.0768011,0.855308,-1.5538,-2.21563,-0.733181,0.072668,-2.43586,-0.888695,0,0,5.39461,0.515405,-0.954785,2.6552,2.08427,0,0,30.6717,-29.3289,-2.83918,-0.436813,-0.219484,1.74576,13.6411,-9.28492,-5.20055,23.354,3.11683,0.363219,0.179571,-90.9384,-81.9207,14.4998,181.194,-338.202,13.8635,-0.145566,66.9963,46.6448,21.3703,5.95951,-2.33011,-0.308278,17.2889,-0.526005,1.35694,-2.54667,-12.9995,0.569565,6.54215,27.2645,-0.412102,2.98331,-3.2874,39.6451,-4.43102,-12.4611,11.2412,20.7898,-1.66142,-121.48,18.3988,-34.7554,200.063,3.46355,0,0,-120.559,-10.4914,-59.4739,160.639,-220.194,0,0,-22.8562,23.0607,10.6793,-14.2854,-25.4088,10.7537,66.6453,-27.3237,0,0,-65.7381,29.5621,-34.4696,47.7321,-48.2064,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.658476,0,-0.363194,-0.0804849,-7.27416,-0.0652019,24.6596,2228.72,19.9771,0.000283413,0.0355622,42.571
