Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
427,0.0337742,0.0143947,0.0286616,0.0232203,0.0256292,0.0249229,0.0196248,0.0177476,0.0350452,0.0280592,0.0309638,0.00910941,0.0233627,0.00851677,0.0220579,0.036489,0.0360964,0.0253697,0.0274829,0.020531,0.0294402,0.0200432,0.0106726,0.0284442,0.0421136,0.0212433,0.018992,0.0131355,0.0355013,0.0185663,0.0577936,0.0142828,0.0164915,0.024716,0.0163493,0.0165946,0.0113527,0.0190811,0.0518261,0.0174665,0.0119987,0.0182349
428,0.035121,0.0150054,0.0287565,0.0217678,0.0222976,0.0248768,0.0193804,0.0175366,0.0336663,0.0263133,0.0295399,0.00943492,0.0226317,0.00707804,0.0194897,0.0337175,0.0333452,0.0237298,0.0262761,0.0184922,0.0264294,0.0198377,0.0125015,0.0285799,0.0414599,0.0214682,0.0189343,0.0135235,0.0347639,0.0178066,0.0637572,0.0154047,0.0154377,0.0246575,0.0170387,0.019748,0.0115582,0.0191419,0.0583299,0.0178436,0.0106969,0.0182426
429,0.0366056,0.0159453,0.0292838,0.0202722,0.0184765,0.0250276,0.0187508,0.017186,0.0324323,0.0241309,0.0265925,0.00965068,0.0221769,0.00854938,0.0173276,0.0293719,0.0301713,0.0209576,0.0268559,0.0167986,0.0232641,0.019672,0.0143931,0.0286925,0.0399234,0.0218582,0.0191466,0.0142061,0.0341151,0.0171397,0.069055,0.016141,0.0137279,0.0231589,0.0175058,0.022818,0.0118116,0.0184792,0.064565,0.017956,0.00949864,0.018379
430,0.0381399,0.0172305,0.0301807,0.019087,0.0146012,0.0252081,0.0176889,0.0167467,0.0313484,0.0217243,0.0232221,0.00962483,0.0221922,0.0104292,0.0164855,0.0242193,0.0271336,0.017665,0.0296715,0.015789,0.0208825,0.0190936,0.0161661,0.0287634,0.0375828,0.0222321,0.0195491,0.0150317,0.0337197,0.0167081,0.0723375,0.0162674,0.0118159,0.0210587,0.0180359,0.0251006,0.011669,0.0179337,0.0684985,0.0179533,0.00858605,0.0186471
431,0.0395557,0.0186249,0.0312726,0.0181464,0.0114669,0.0253323,0.0165129,0.0163928,0.030552,0.0195898,0.0203515,0.00918984,0.0229952,0.0129297,0.0175791,0.0194312,0.0244887,0.0153091,0.0336443,0.0155204,0.0198813,0.0180597,0.0176192,0.028729,0.0344879,0.0224426,0.0200324,0.0158471,0.033659,0.0166646,0.0724625,0.01603,0.0104829,0.0197148,0.0196594,0.0259238,0.0108891,0.0178005,0.0682155,0.0179379,0.00811085,0.0188932
432,0.0406714,0.0197675,0.0323691,0.0173022,0.0117492,0.0254439,0.0156402,0.0162889,0.0301805,0.0181513,0.0175115,0.008497,0.0251185,0.01767,0.0205238,0.0162566,0.0224597,0.0152598,0.0372833,0.0157349,0.0200697,0.016904,0.0186338,0.0286103,0.031826,0.0224324,0.0204911,0.016451,0.0339086,0.0170686,0.0690078,0.0159006,0.0108581,0.0202088,0.0227303,0.0249839,0.00986593,0.0175507,0.063119,0.01792,0.0082044,0.018916
433,0.0413383,0.0203742,0.0332639,0.0165263,0.0171866,0.0256174,0.0151708,0.0164868,0.03012,0.0174817,0.0142125,0.0081473,0.0287171,0.0243567,0.0246227,0.0153,0.0215022,0.0171669,0.0397513,0.0161554,0.0208719,0.0160011,0.0191909,0.0284642,0.0310124,0.0222281,0.0208314,0.0166218,0.0343183,0.0177678,0.0625123,0.0162594,0.0134358,0.0225803,0.0262256,0.0222415,0.00925225,0.0166218,0.0544593,0.0179328,0.00905705,0.0185839
434,0.0416435,0.0205096,0.0339255,0.01608,0.0247445,0.0260314,0.0151056,0.0170584,0.0302687,0.0175676,0.0118902,0.00862926,0.0328228,0.0309048,0.028626,0.0156987,0.0218492,0.0196787,0.040935,0.0167793,0.0218748,0.0157401,0.0194893,0.0283171,0.031674,0.0220152,0.0210853,0.0163913,0.0348076,0.0186365,0.0545189,0.0170463,0.0173472,0.0256701,0.0288808,0.0184421,0.00951623,0.0153997,0.0446983,0.0181811,0.0107423,0.01802
435,0.0417785,0.0204394,0.0344352,0.0161214,0.031448,0.0267914,0.0155169,0.0180297,0.0305713,0.0183462,0.0128978,0.00957646,0.0357224,0.0352153,0.030996,0.0167178,0.0234924,0.023317,0.0408866,0.0176255,0.0228124,0.0164957,0.0197572,0.0280094,0.0326321,0.0219745,0.0213555,0.0160705,0.0353352,0.0195241,0.0470102,0.0179099,0.0213354,0.0279286,0.0299958,0.0158433,0.0110026,0.015373,0.0364154,0.0187758,0.0128707,0.0175222
436,0.0419104,0.0204464,0.0349654,0.0165124,0.0358714,0.027887,0.0165161,0.0193517,0.0310561,0.0196348,0.016436,0.0100884,0.0364771,0.0367551,0.0311091,0.0188661,0.0272061,0.0293676,0.039871,0.0186836,0.0236083,0.0183503,0.0201639,0.0273638,0.0331312,0.0222142,0.0217801,0.0161209,0.0359195,0.0203344,0.0412505,0.0185045,0.0248686,0.0286406,0.0297429,0.016501,0.0138556,0.0177517,0.031658,0.0195486,0.0148567,0.0173617
437,0.0420757,0.0206901,0.0356865,0.0169378,0.0377521,0.0291876,0.0180072,0.0208828,0.0317572,0.0211463,0.0201538,0.00962429,0.035613,0.0365249,0.0297653,0.0222811,0.0329841,0.0357244,0.0383515,0.0199992,0.0244353,0.0207325,0.0208095,0.0264945,0.0315015,0.0227602,0.022454,0.016864,0.0366078,0.0210675,0.0365284,0.0186413,0.0282432,0.0281655,0.0291004,0.0188323,0.0175887,0.0217172,0.0307944,0.0202195,0.0162763,0.0176122
438,0.0421824,0.0211735,0.0366638,0.0172503,0.0373417,0.0304795,0.0196523,0.0224226,0.0327093,0.0226747,0.0225164,0.00859819,0.0343719,0.0357196,0.0283331,0.0259993,0.0378173,0.0385923,0.0367413,0.0216082,0.025553,0.0228274,0.0217446,0.0259015,0.0260936,0.0235861,0.0233679,0.0182522,0.0374512,0.0218142,0.0311316,0.0182593,0.0318908,0.0274472,0.0293285,0.0208372,0.0211788,0.0256841,0.0319668,0.0207553,0.0169933,0.0182262
