Peak Residual Moment,Solver,Axis,Subject
52.32706642943194,RRA,MX,subject01
85.46241781736863,RRA,MX,subject02
74.32525777069368,RRA,MX,subject03
61.30596332861192,RRA,MX,subject04
82.89717337041151,RRA,MX,subject08
123.08771463982767,RRA,MX,subject10
84.4000295327559,RRA,MX,subject11
87.02501731104913,RRA,MX,subject17
94.69375805530397,RRA,MX,subject19
84.66203965805424,RRA,MX,subject20
72.00731073592021,RRA,MY,subject01
59.21572062773077,RRA,MY,subject02
61.19761450139663,RRA,MY,subject03
62.79999904338526,RRA,MY,subject04
66.10692047093562,RRA,MY,subject08
72.41824313626633,RRA,MY,subject10
63.995832247022804,RRA,MY,subject11
78.16620315711901,RRA,MY,subject17
95.48129969936183,RRA,MY,subject19
77.00643213912075,RRA,MY,subject20
99.43905054308738,RRA,MZ,subject01
137.77097306004043,RRA,MZ,subject02
134.68624414692752,RRA,MZ,subject03
154.44624485141892,RRA,MZ,subject04
104.6835217368426,RRA,MZ,subject08
155.65541282950295,RRA,MZ,subject10
134.3867654290801,RRA,MZ,subject11
149.22775859170963,RRA,MZ,subject17
113.96805410639467,RRA,MZ,subject19
113.1906547470108,RRA,MZ,subject20
40.37273410369463,RRA3,MX,subject01
50.868252870158386,RRA3,MX,subject02
29.40315299871544,RRA3,MX,subject03
58.3477711097035,RRA3,MX,subject04
25.874615140561797,RRA3,MX,subject08
54.29733487377114,RRA3,MX,subject10
37.032130725752225,RRA3,MX,subject11
52.28498596756534,RRA3,MX,subject17
54.61871221939237,RRA3,MX,subject19
44.55174490523123,RRA3,MX,subject20
55.4323572283758,RRA3,MY,subject01
44.55851595217734,RRA3,MY,subject02
47.17062692993478,RRA3,MY,subject03
100.7641609400193,RRA3,MY,subject04
41.879534169666584,RRA3,MY,subject08
45.53645366292182,RRA3,MY,subject10
50.171445964473996,RRA3,MY,subject11
61.083284517857216,RRA3,MY,subject17
78.55657465016542,RRA3,MY,subject19
54.43910280914574,RRA3,MY,subject20
70.20752182777936,RRA3,MZ,subject01
56.9268275546701,RRA3,MZ,subject02
70.85759211614317,RRA3,MZ,subject03
85.65484143392105,RRA3,MZ,subject04
65.85425140415988,RRA3,MZ,subject08
99.22161181178889,RRA3,MZ,subject10
63.59890200219245,RRA3,MZ,subject11
81.28111475501397,RRA3,MZ,subject17
76.0145069115635,RRA3,MZ,subject19
76.64913429674323,RRA3,MZ,subject20
0.476100865774481,Moco,MX,subject01
0.6100818969133872,Moco,MX,subject02
1.2600558337830912,Moco,MX,subject03
0.9539447732989456,Moco,MX,subject04
1.4936761657871191,Moco,MX,subject08
7.177982499174505,Moco,MX,subject10
0.4441952729810965,Moco,MX,subject11
1.2840692143039931,Moco,MX,subject17
2.148575530876411,Moco,MX,subject19
1.40726074069001,Moco,MX,subject20
1.2830732551975836,Moco,MY,subject01
3.194641383288316,Moco,MY,subject02
2.4192380669541933,Moco,MY,subject03
2.4045064923761164,Moco,MY,subject04
1.4238807190011051,Moco,MY,subject08
11.065619862281727,Moco,MY,subject10
1.7974918075110136,Moco,MY,subject11
3.166274739120176,Moco,MY,subject17
8.732280622636772,Moco,MY,subject19
3.082767683646804,Moco,MY,subject20
0.3466681342040638,Moco,MZ,subject01
0.5947139157431772,Moco,MZ,subject02
0.6467314086361767,Moco,MZ,subject03
1.1520070346775366,Moco,MZ,subject04
0.40645392399233177,Moco,MZ,subject08
16.876452475617814,Moco,MZ,subject10
0.2840258703396876,Moco,MZ,subject11
1.6473443544151074,Moco,MZ,subject17
6.7788333938231125,Moco,MZ,subject19
2.3540837605417018,Moco,MZ,subject20
55.809793333333296,AddBiomechanics,MX,subject01
93.8986648043326,AddBiomechanics,MX,subject02
67.15848733333331,AddBiomechanics,MX,subject03
89.32832600000002,AddBiomechanics,MX,subject04
99.47154433333333,AddBiomechanics,MX,subject08
102.64825166666617,AddBiomechanics,MX,subject10
78.80573000000004,AddBiomechanics,MX,subject11
67.72381774697084,AddBiomechanics,MX,subject17
73.72275154134165,AddBiomechanics,MX,subject19
70.78454549930179,AddBiomechanics,MX,subject20
30.326820999999985,AddBiomechanics,MY,subject01
41.61718816268283,AddBiomechanics,MY,subject02
32.202966666666676,AddBiomechanics,MY,subject03
56.30382500000002,AddBiomechanics,MY,subject04
61.8925253333332,AddBiomechanics,MY,subject08
56.54040433333373,AddBiomechanics,MY,subject10
30.181122666666653,AddBiomechanics,MY,subject11
34.98799374274486,AddBiomechanics,MY,subject17
41.37060947444197,AddBiomechanics,MY,subject19
44.612525881986016,AddBiomechanics,MY,subject20
73.2623893333331,AddBiomechanics,MZ,subject01
74.5400302802558,AddBiomechanics,MZ,subject02
87.50660800000027,AddBiomechanics,MZ,subject03
134.0303499999999,AddBiomechanics,MZ,subject04
104.66304999999996,AddBiomechanics,MZ,subject08
96.46919633333333,AddBiomechanics,MZ,subject10
106.08665833333282,AddBiomechanics,MZ,subject11
60.91468123281768,AddBiomechanics,MZ,subject17
81.57458491260566,AddBiomechanics,MZ,subject19
86.50635759443831,AddBiomechanics,MZ,subject20
