Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0261006,0.0139124,0.0468662,0.0174469,0.0221806,0.00918538,0.0086917,0.0117549,0.0123315,0.0171563,0.0366091,0.020114,0.012005,0.0129591,0.0103474,0.0176115,0.0159396,0.0150349,0.0336884,0.0126034,0.013061,0.0124245,0.0404435,0.0145377,0.0149728,0.00772446,0.00825039,0.0099407,0.0124437,0.0183886,0.0333603,0.0208132,0.0101422,0.0142726,0.00948833,0.0188247,0.0158247,0.0148669,0.0307127,0.0102936,0.0102097,0.0106537
0,0.0264623,0.0171526,0.055212,0.0208544,0.0344432,0.00946937,0.00528968,0.00795926,0.00581482,0.0153119,0.0614131,0.0194811,0.014367,0.00976275,0.0119104,0.00657449,0.00448531,0.00500045,0.0549814,0.00597266,0.00995634,0.00499692,0.035519,0.0217604,0.0125068,0.00611493,0.0056888,0.00756155,0.0102635,0.0169564,0.0330645,0.023336,0.00785334,0.0088228,0.00932571,0.0254766,0.0161929,0.0085251,0.0350238,0.00664005,0.00789512,0.00650036
1,0.025564,0.0157373,0.0553472,0.0180997,0.0395745,0.00936347,0.00561625,0.00835011,0.00538237,0.0146065,0.0562201,0.0200499,0.0102853,0.00429558,0.00848703,0.00733536,0.00861245,0.00463699,0.0537791,0.00612703,0.0109559,0.00614435,0.0343031,0.0211024,0.0107884,0.00456133,0.0068529,0.0091531,0.00936088,0.0168885,0.0309014,0.0240505,0.00707673,0.00967851,0.00742896,0.0229649,0.0140092,0.00795915,0.030389,0.00438884,0.00643359,0.00488172
2,0.0251835,0.0146492,0.0551701,0.0164654,0.0416072,0.00948445,0.00659177,0.00952491,0.00512128,0.0142961,0.0520613,0.0204694,0.00920886,0.00460631,0.00793988,0.0106954,0.0122511,0.00705825,0.0526863,0.00710968,0.0124481,0.00768804,0.0332736,0.0202629,0.00999996,0.0038611,0.00779071,0.0100138,0.00893488,0.0168289,0.0274913,0.0249539,0.0079848,0.0107449,0.00624961,0.0205981,0.0122752,0.00835762,0.026353,0.0030586,0.00603175,0.00352021
3,0.0251777,0.0138431,0.054638,0.0155957,0.0410468,0.00973769,0.00791542,0.0109104,0.00493116,0.0145124,0.048825,0.0203806,0.0108476,0.00749084,0.00767801,0.0141794,0.0145642,0.00981026,0.0509774,0.00872573,0.0144042,0.00961375,0.0323984,0.0189946,0.00959644,0.00346378,0.00844647,0.0103646,0.00870874,0.0170627,0.022803,0.0256677,0.00930852,0.0115191,0.0055298,0.0180021,0.0113707,0.00924133,0.0222497,0.00326464,0.00654474,0.00233638
4,0.0254879,0.0133056,0.0537405,0.0153897,0.0385234,0.00987301,0.00948782,0.012134,0.00507856,0.0152161,0.0465271,0.0197591,0.0139218,0.0102385,0.00688886,0.0171301,0.015761,0.0126309,0.0484286,0.0108407,0.0166913,0.011962,0.0316846,0.0173526,0.00925492,0.00313741,0.00883946,0.0104214,0.00853435,0.0177509,0.017052,0.0259211,0.00989609,0.0116072,0.00521439,0.0148751,0.0113776,0.0100198,0.0175975,0.00464573,0.00755628,0.00165045
5,0.0260775,0.0129263,0.052547,0.0158834,0.0350353,0.00982427,0.0113012,0.0132888,0.00563228,0.0160316,0.0448144,0.018918,0.0170767,0.012183,0.00613722,0.0192592,0.0160209,0.0150038,0.0450642,0.0131828,0.0187986,0.0145259,0.0311429,0.0156665,0.00865076,0.00299637,0.00903199,0.0102982,0.00845581,0.0187505,0.0107622,0.0256874,0.00968036,0.010885,0.00522014,0.0115729,0.0117774,0.0103355,0.0121374,0.00639605,0.00866061,0.00189584
6,0.0268473,0.0124828,0.0512307,0.0169131,0.0317824,0.00968263,0.013168,0.0145456,0.006271,0.0166057,0.0430767,0.018296,0.0193403,0.0131266,0.00607962,0.0205357,0.0155173,0.016738,0.0411153,0.0154225,0.0202182,0.0170117,0.030759,0.0142684,0.00766325,0.00307133,0.00908768,0.010068,0.00854523,0.0198111,0.00523545,0.0251919,0.00962593,0.00966983,0.00538721,0.00994283,0.0119111,0.0102043,0.00592832,0.0081824,0.00962854,0.00260445
7,0.0276003,0.0118056,0.0500555,0.0181004,0.0296469,0.00945988,0.0147933,0.0158828,0.00670093,0.0168697,0.040861,0.0182649,0.020127,0.0132889,0.00652857,0.0211152,0.0146912,0.0183997,0.0370015,0.0173081,0.0208024,0.0192438,0.0305116,0.013276,0.00683921,0.00327884,0.00904669,0.00981129,0.00880632,0.0208153,0.00605121,0.0248142,0.0101951,0.00891857,0.00553786,0.0115778,0.0115012,0.0100474,0.00178486,0.00984828,0.0103646,0.00346548
8,0.0280976,0.0109161,0.0493079,0.0191242,0.0289923,0.00905715,0.0159533,0.0171484,0.00684211,0.016963,0.0380875,0.0189784,0.0192847,0.0132127,0.00698784,0.0211543,0.0145342,0.0202356,0.033154,0.0186946,0.0207035,0.021208,0.0303943,0.0125658,0.0074772,0.00358694,0.00896588,0.00957561,0.00920517,0.0217761,0.0122868,0.024876,0.0106097,0.00982563,0.00548488,0.0144242,0.0108389,0.0100452,0.00769159,0.0112644,0.0108281,0.00449658
