Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0252371,0.0324845,0.051589,0.0192849,0.0214731,0.0079791,0.00794654,0.00961133,0.0103749,0.0177494,0.0290578,0.0178938,0.0104238,0.00995499,0.00935205,0.0140591,0.0141725,0.0114622,0.0256921,0.0127551,0.0138603,0.00910947,0.0456831,0.0178838,0.0165499,0.0120306,0.00970616,0.00879066,0.0130657,0.0152715,0.0206197,0.0194102,0.010878,0.0094922,0.00978073,0.0142447,0.0145505,0.0116142,0.0206631,0.0106426,0.0113654,0.00992957
0,0.0221901,0.0246447,0.0585211,0.0274004,0.0306697,0.00535822,0.00133822,0.00896829,0.00717358,0.0164504,0.0539071,0.0125896,0.0155162,0.00889042,0.00694271,0.00803971,0.0105541,0.00940244,0.0476844,0.00170824,0.00837838,0.00657461,0.0390341,0.0260479,0.0264211,0.0115009,0.00533641,0.00532284,0.0102397,0.0103762,0.00855719,0.0176767,0.00829723,0.00856637,0.00962481,0.0179437,0.0166902,0.00825196,0.0167252,0.00618764,0.00418794,0.00597219
1,0.0216957,0.0237346,0.0578992,0.0278459,0.0241402,0.00596975,0.00168835,0.00857599,0.00820993,0.0164787,0.0522792,0.0126894,0.01252,0.00665225,0.00338439,0.00814036,0.0102576,0.00997284,0.0417569,0.00338703,0.00890412,0.00684585,0.0396021,0.0252685,0.022221,0.0114043,0.00528989,0.00506941,0.0104229,0.011136,0.0109398,0.0174114,0.00511008,0.00588254,0.00482232,0.0151794,0.0149026,0.00565556,0.0147186,0.00633061,0.00393225,0.00490267
2,0.0212272,0.0233629,0.056996,0.0274551,0.0207592,0.00594727,0.00265485,0.00809528,0.00875625,0.0162697,0.0505462,0.0127036,0.010233,0.00579448,0.00288771,0.00925825,0.0109193,0.0101515,0.0368492,0.00499271,0.00926229,0.00678827,0.0401767,0.0246151,0.0201368,0.0111395,0.00563943,0.00525208,0.0102119,0.012443,0.0140544,0.0168837,0.0067605,0.00713162,0.00555851,0.0133875,0.0127901,0.00361517,0.0145977,0.00659029,0.00386206,0.00348483
3,0.0207657,0.0234198,0.0559882,0.0263235,0.0204862,0.00562825,0.0037762,0.00786557,0.00899763,0.0159626,0.0490153,0.0127836,0.00840228,0.00591593,0.00406528,0.010647,0.0118705,0.00941245,0.0344274,0.00627976,0.00952293,0.00660559,0.0406806,0.024027,0.0181698,0.0107901,0.0061943,0.00566529,0.00983351,0.0140274,0.0149315,0.0162602,0.00929205,0.00836192,0.00677989,0.0119709,0.010819,0.00463789,0.0137712,0.00682466,0.00379514,0.00186268
4,0.0202977,0.0237252,0.0549967,0.0247803,0.0229954,0.00517763,0.00474232,0.00799671,0.00909327,0.0156598,0.0482596,0.0131166,0.00683479,0.0063047,0.00479884,0.0116488,0.012797,0.0079595,0.0354176,0.00720257,0.00963476,0.00652158,0.0410074,0.023483,0.0154261,0.0103891,0.00674702,0.00608537,0.00944978,0.0155561,0.0130297,0.0157585,0.0108686,0.00798473,0.00637753,0.0104766,0.00951835,0.00726698,0.0113543,0.00701401,0.00371486,0.000772958
5,0.0198015,0.0240832,0.0540253,0.0231808,0.0271062,0.0046295,0.00548831,0.00833762,0.00913794,0.0153409,0.0490283,0.0137937,0.00557233,0.00649471,0.00524004,0.0121078,0.0138963,0.00716887,0.0393894,0.00777892,0.00945398,0.00663012,0.0410827,0.0230433,0.0120281,0.00989431,0.00716766,0.00646939,0.00903845,0.016844,0.00841143,0.0155679,0.011966,0.0064785,0.00461893,0.00911746,0.00947072,0.0096431,0.00717352,0.00733155,0.00377771,0.00212023
6,0.019311,0.0243736,0.0530133,0.0216459,0.0310655,0.00404616,0.00610791,0.00872892,0.00919411,0.0149692,0.0513907,0.0147532,0.00467161,0.00627282,0.00568678,0.0121521,0.0150524,0.00794532,0.0446864,0.00814396,0.00895954,0.00692781,0.0409235,0.0228098,0.00865373,0.00929127,0.00739519,0.00689678,0.00854463,0.01783,0.00374321,0.0157241,0.0131848,0.00540867,0.00295107,0.00833029,0.0107083,0.0112002,0.00269455,0.00793353,0.00413425,0.00386333
7,0.0189367,0.0245871,0.0519325,0.0202547,0.0333682,0.00355684,0.00665018,0.00905374,0.00923664,0.0145854,0.0544753,0.0158385,0.00402199,0.00556028,0.00593585,0.0119818,0.0156561,0.0091502,0.0493931,0.00846506,0.00830776,0.00734272,0.0406112,0.0227833,0.00599718,0.0086297,0.00743531,0.00743875,0.00799732,0.0185063,0.00857293,0.0160586,0.0142233,0.00584765,0.00349391,0.00853387,0.0122921,0.011852,0.00672162,0.0087741,0.00476729,0.0055267
8,0.0187657,0.0247876,0.050824,0.0192177,0.033349,0.00332955,0.00709395,0.00923429,0.00916795,0.0142743,0.0569812,0.0168767,0.00338063,0.00445722,0.00574913,0.0117952,0.0152391,0.00944259,0.0520918,0.00882542,0.00772611,0.00778487,0.0402629,0.0227736,0.00427635,0.00804377,0.00738861,0.00806746,0.00753104,0.0188762,0.0150562,0.0163563,0.0144172,0.00697913,0.00459984,0.0100278,0.0133727,0.0120276,0.0124965,0.00960614,0.00547404,0.00694757
