Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0243905,0.0181896,0.0277101,0.0214908,0.0261158,0.0092277,0.00782872,0.00711938,0.0111052,0.0110203,0.0328341,0.0196839,0.0134313,0.0138311,0.0112236,0.0201646,0.0135499,0.0141242,0.0237551,0.0126514,0.00820712,0.00877677,0.0199587,0.0166249,0.0208695,0.00912524,0.00804374,0.00902282,0.0169009,0.0116613,0.0271357,0.0168511,0.0125385,0.0139726,0.0110263,0.0186273,0.0136524,0.0137894,0.0287837,0.010833,0.00726257,0.00837404
0,0.0269666,0.0200419,0.0116264,0.00667191,0.0322579,0.00804526,0.00725482,0.00533581,0.00689084,0.00506538,0.0161748,0.0184506,0.0168792,0.0148651,0.0149305,0.0201186,0.014872,0.0100433,0.0216655,0.0115014,0.00967985,0.0120547,0.0212489,0.00920176,0.0077273,0.0131835,0.0100444,0.00831653,0.0170267,0.00715871,0.0262494,0.0216213,0.00781142,0.00672149,0.00466646,0.0237029,0.0154406,0.0153772,0.026286,0.00986461,0.00635633,0.0110359
1,0.0267615,0.0195191,0.0121699,0.00739411,0.0171289,0.00848148,0.00785052,0.00542227,0.00740731,0.00542208,0.0151469,0.0177353,0.0149935,0.0105772,0.0107625,0.0175758,0.0119438,0.00986632,0.0141742,0.0101235,0.00989442,0.012959,0.0212423,0.00768769,0.00903988,0.0114819,0.00801842,0.00615938,0.0143768,0.00860542,0.0203107,0.0219566,0.00803905,0.00784827,0.00464562,0.0253018,0.0149386,0.0139042,0.019634,0.00890723,0.0058304,0.00931528
2,0.0267368,0.0192274,0.0125506,0.00814584,0.00607758,0.00881617,0.00847445,0.00572681,0.00798262,0.00564775,0.0210678,0.0172665,0.01278,0.0105294,0.00746014,0.0132886,0.00954932,0.00806218,0.0125632,0.00939785,0.0102993,0.0138915,0.0212001,0.0068411,0.0102533,0.0107198,0.00671498,0.00510697,0.0126466,0.00962863,0.0183937,0.0222937,0.00848337,0.00841358,0.00595252,0.0263548,0.0147018,0.0131302,0.0174113,0.00854566,0.00550446,0.00826958
3,0.0268566,0.0190143,0.0127862,0.00912694,0.010876,0.00888241,0.00857463,0.00592761,0.00807893,0.00550536,0.0285714,0.0169815,0.0104872,0.0121678,0.00588748,0.00804313,0.00735876,0.00477377,0.0192061,0.009198,0.0105638,0.0142919,0.0213357,0.00678318,0.00997746,0.011158,0.00546033,0.0054797,0.0120237,0.00981106,0.0185745,0.0223835,0.00780975,0.00852777,0.00605585,0.0265558,0.0143615,0.0124843,0.016768,0.00846392,0.0051935,0.00747363
4,0.0271023,0.0188215,0.0128698,0.0107368,0.016583,0.00872283,0.0079234,0.00600394,0.00757771,0.004928,0.0358929,0.0168898,0.00870995,0.0128956,0.00537931,0.00411905,0.0051543,0.00308395,0.0269056,0.00926886,0.0104172,0.0138144,0.0219833,0.00763462,0.0081911,0.0124609,0.00405241,0.00684344,0.012341,0.00937287,0.0199356,0.0222029,0.00641124,0.00845472,0.0050985,0.025696,0.0135892,0.0116556,0.0172147,0.00808838,0.004471,0.00645869
5,0.0274211,0.018657,0.0128799,0.0128073,0.0169685,0.00853879,0.00678309,0.00605596,0.00695183,0.00411656,0.041933,0.0170088,0.00792509,0.0122905,0.00444762,0.00431114,0.00322897,0.00599709,0.0315621,0.00934521,0.00978789,0.0125593,0.023236,0.00908204,0.00609625,0.0138796,0.00318951,0.00820861,0.0131217,0.0089349,0.0219717,0.0219818,0.00529236,0.00861454,0.0042638,0.0237909,0.0120889,0.0105968,0.0187668,0.00706394,0.00307702,0.00513252
6,0.0277712,0.018581,0.0128966,0.014748,0.0138117,0.00841151,0.00550713,0.00596263,0.00673049,0.0032542,0.0444576,0.017232,0.00774033,0.0106899,0.00323074,0.00544338,0.00266484,0.00837764,0.0322429,0.00920685,0.00870475,0.0108026,0.0249039,0.0104175,0.00488219,0.0150719,0.00326612,0.0089617,0.0139243,0.00900009,0.0240619,0.0218332,0.00506506,0.00912958,0.00472643,0.0211705,0.00986258,0.00941924,0.0205511,0.00554112,0.001092,0.00369813
7,0.0281243,0.0186474,0.0130194,0.0160934,0.0114609,0.00841012,0.00442147,0.00566871,0.00711441,0.00268279,0.041672,0.0173393,0.00754961,0.00880296,0.0025724,0.00566608,0.00309628,0.00870068,0.0299153,0.00876812,0.00726938,0.00882691,0.026644,0.0109267,0.00471194,0.0158574,0.00364987,0.00922154,0.0146047,0.00962028,0.0255558,0.0216607,0.00553689,0.00994696,0.00590984,0.0184971,0.00781915,0.00832602,0.0215971,0.00417762,0.0013202,0.00282252
8,0.0284407,0.0187958,0.0134157,0.0168428,0.0119198,0.00861965,0.00391864,0.00533768,0.00794521,0.0028876,0.0343025,0.0170448,0.00748607,0.00791871,0.00172197,0.00570526,0.00322335,0.007248,0.0256475,0.00819904,0.00573327,0.00690264,0.0281121,0.0102792,0.00513225,0.0159429,0.00392687,0.00933618,0.0151898,0.0104513,0.0259588,0.0214048,0.00616705,0.0110609,0.0069358,0.0163978,0.00752783,0.00746999,0.0216989,0.00376563,0.00350239,0.00326596
