Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
146,0.0114138,0.0253942,0.042376,0.0184355,0.032168,0.00135893,0.00634037,0.00576846,0.00873956,0.010457,0.0710332,0.0183867,0.0135511,0.00488757,0.0075034,0.00872846,0.0130812,0.00758521,0.0564083,0.00936044,0.01143,0.00794089,0.0541908,0.0173085,0.0108737,0.0060347,0.00378387,0.00566118,0.0081828,0.00544857,0.0104931,0.0277557,0.0122573,0.0106136,0.0125082,0.01832,0.0182429,0.00780923,0.00956574,0.00865255,0.0133555
147,0.0117721,0.025342,0.0426605,0.0189788,0.0295457,0.00106043,0.00577916,0.00568186,0.00910122,0.0103272,0.0648105,0.0180561,0.0137329,0.00456163,0.00851336,0.00855887,0.0132063,0.0066808,0.0521713,0.00910656,0.0107313,0.00728624,0.0538594,0.0174797,0.00781073,0.0064335,0.0035226,0.00560102,0.00786216,0.00532554,0.00944825,0.0263672,0.0121108,0.00938751,0.0115325,0.0168263,0.0170381,0.00822617,0.00958238,0.00861094,0.0124322
148,0.0120197,0.025211,0.0430813,0.0189233,0.0273722,0.000932347,0.00501022,0.00551562,0.00965362,0.0102174,0.0569807,0.0175205,0.0142252,0.0045914,0.0091577,0.00767468,0.0118195,0.00591132,0.0468815,0.00885204,0.00972213,0.00640809,0.0536468,0.0178369,0.00546792,0.00664148,0.00329586,0.00541624,0.00751934,0.00539704,0.00766589,0.0247797,0.0119246,0.00838819,0.0109157,0.01545,0.0152976,0.00955008,0.0092663,0.0087334,0.0113583
149,0.0121681,0.025137,0.043599,0.0181304,0.0261175,0.00117012,0.00406218,0.00532374,0.0103381,0.0101006,0.0490538,0.0166073,0.0150914,0.0053418,0.00937872,0.00645697,0.00911595,0.00559246,0.0417438,0.00860531,0.00853037,0.0054004,0.0536361,0.0181296,0.00401434,0.00662208,0.00311913,0.00517034,0.00713294,0.00566594,0.00664888,0.0231737,0.011807,0.00767225,0.0106721,0.0138933,0.0132474,0.0121644,0.00856583,0.00884895,0.0101063
150,0.0121927,0.025181,0.0441746,0.0167319,0.0249234,0.00164488,0.00303381,0.00515547,0.0110917,0.00997885,0.0421651,0.015167,0.0161526,0.00815417,0.00954872,0.00533846,0.00610217,0.00626018,0.0369466,0.00831157,0.00728083,0.00438286,0.0538685,0.0181456,0.00338339,0.00647739,0.00302463,0.00497189,0.00665944,0.00615338,0.00753847,0.0216384,0.0116238,0.00694038,0.0105643,0.0123252,0.0111834,0.0154464,0.00747972,0.00884349,0.00865853
151,0.0120363,0.0253274,0.0448222,0.0153744,0.0228083,0.00223508,0.00221809,0.00503072,0.011898,0.00989417,0.0368303,0.0132865,0.0170051,0.0123717,0.0100899,0.00458222,0.00438689,0.00820183,0.032315,0.0078669,0.00603202,0.00354004,0.0543875,0.0178734,0.00374433,0.00635095,0.00296837,0.00488111,0.00608541,0.00690976,0.00933314,0.0201532,0.0112191,0.00596984,0.0103606,0.011379,0.00946132,0.0183443,0.0059977,0.00869446,0.00704714
152,0.0116693,0.0255204,0.0456517,0.0150084,0.0196469,0.00296199,0.00232186,0.00492637,0.0128462,0.00992395,0.032833,0.0114773,0.0168152,0.0152531,0.010796,0.00426486,0.00460862,0.0108117,0.028515,0.00715887,0.00477707,0.00338493,0.0552658,0.0174601,0.00521981,0.00630932,0.00276825,0.0047786,0.00554892,0.0080758,0.0107393,0.0186039,0.0105906,0.00471454,0.00997109,0.0115415,0.00823112,0.0199995,0.00411666,0.00847216,0.00553189
153,0.0112108,0.0257345,0.0468386,0.0160217,0.0159503,0.00384713,0.00353601,0.00480977,0.0141024,0.0101947,0.0297016,0.0106671,0.0147271,0.0147599,0.0110028,0.00460634,0.00637603,0.0130565,0.0264936,0.00626668,0.00377824,0.00466331,0.0565596,0.0170787,0.00721914,0.00630833,0.00223473,0.00442857,0.00556622,0.00983613,0.0113108,0.0170307,0.00991462,0.00321091,0.00946753,0.012597,0.0071708,0.0200688,0.00231146,0.00839653,0.00505902
154,0.0109478,0.0260289,0.0485243,0.0178676,0.0122554,0.00485166,0.0052299,0.00469367,0.0157845,0.0108747,0.0277875,0.0115283,0.0110634,0.011673,0.0104535,0.00540061,0.00920783,0.0137677,0.0261936,0.0059351,0.00434448,0.00724574,0.058208,0.0169075,0.00916106,0.00626257,0.00181367,0.00379877,0.00684354,0.0122242,0.0111848,0.0158115,0.00947907,0.00214772,0.0090635,0.0140519,0.00588891,0.0188071,0.00305881,0.00884165,0.00654996
155,0.0111752,0.0265308,0.0506578,0.0197924,0.00896286,0.00589279,0.00691811,0.00464934,0.0177846,0.0120405,0.0277528,0.0136247,0.00852473,0.00986685,0.00974142,0.00585186,0.011517,0.012322,0.0270088,0.00719667,0.00696953,0.0103972,0.0599752,0.0171485,0.0106992,0.00623152,0.00298928,0.0034235,0.00930364,0.015008,0.0107476,0.0151922,0.00949293,0.00323239,0.0089517,0.0156468,0.0045518,0.0168424,0.00565441,0.0100317,0.0091244
156,0.0119433,0.027295,0.0529623,0.0212698,0.00682464,0.00687538,0.00826032,0.00471813,0.019769,0.0135037,0.028768,0.0159056,0.00934322,0.0103582,0.00943626,0.00576511,0.0121746,0.00945564,0.0282606,0.00956829,0.0102952,0.0132901,0.0615034,0.017967,0.0116158,0.0064309,0.00513314,0.00401816,0.0121785,0.0177389,0.0102842,0.0147585,0.00997752,0.00514817,0.00913139,0.0173045,0.00417975,0.0148656,0.00810214,0.0116166,0.0116007
157,0.0130267,0.0282019,0.055052,0.021876,0.0069222,0.00768193,0.00908525,0.00482462,0.0213354,0.0149131,0.0293062,0.017528,0.0105234,0.00951988,0.0091973,0.0059794,0.0117365,0.00711336,0.0291774,0.0117901,0.0131441,0.0152178,0.0624738,0.0193,0.0118215,0.00693599,0.00716961,0.00528656,0.0147054,0.0198926,0.00978737,0.0142225,0.0108113,0.00661624,0.00945096,0.0189122,0.00545496,0.0133299,0.00991082,0.0129007,0.0133456
158,0.0140622,0.0290213,0.0566127,0.0212927,0.00869819,0.00818242,0.0094061,0.00480482,0.0221935,0.0159995,0.0290281,0.018161,0.0104947,0.00733204,0.009019,0.00719454,0.0116646,0.0070525,0.0294785,0.0130502,0.0147692,0.0158479,0.0627712,0.0206935,0.0114263,0.00753777,0.0085565,0.00656122,0.0163938,0.0210708,0.00920499,0.0141657,0.0118527,0.00749703,0.00983536,0.0202458,0.00750346,0.0123106,0.0111045,0.0133905,0.0141563
159,0.0147752,0.0295688,0.0575258,0.0196035,0.0107062,0.00830113,0.00932935,0.00451593,0.0222549,0.0166344,0.0286524,0.0179869,0.0107567,0.00807346,0.00975243,0.00888519,0.0120733,0.0091306,0.02955,0.0130642,0.0149485,0.0153018,0.0625313,0.0214701,0.0106772,0.00796489,0.00909781,0.00749899,0.0171069,0.0211804,0.00882236,0.0149524,0.0129371,0.00818136,0.010264,0.0210739,0.00955181,0.0116616,0.0119056,0.0130914,0.014147
160,0.015161,0.0298184,0.0578918,0.0174504,0.0123603,0.00808716,0.0089309,0.0039181,0.0216205,0.0167568,0.0288589,0.017406,0.0121676,0.0114726,0.0111011,0.0101535,0.011835,0.0118289,0.0298682,0.0119814,0.0139923,0.0139837,0.0620289,0.0211962,0.00981824,0.00806116,0.0088748,0.00798103,0.0170171,0.0204767,0.00900287,0.0158074,0.0137284,0.00895277,0.0105881,0.0213901,0.0112564,0.0112541,0.0124379,0.0124127,0.0136016
161,0.0154124,0.0298918,0.0579242,0.0157576,0.0137887,0.00769268,0.00821731,0.00309392,0.0205014,0.0163804,0.0297718,0.0166995,0.0133034,0.0140555,0.0117075,0.0104508,0.0107027,0.0136114,0.0305525,0.0102769,0.0124966,0.0122973,0.0615318,0.0200271,0.00906892,0.00780061,0.00815464,0.00803108,0.0164723,0.0194659,0.0094672,0.0159658,0.0137989,0.00963203,0.0106856,0.0215545,0.0124482,0.0110095,0.0126452,0.0117896,0.0128125
162,0.0157175,0.0299704,0.0578137,0.0151689,0.0153496,0.00723257,0.00721149,0.00221191,0.0191403,0.0156366,0.0311929,0.0159606,0.0129527,0.0148818,0.0109354,0.00994964,0.00966046,0.0137385,0.0314845,0.00856217,0.0110036,0.0104864,0.0611755,0.0185998,0.00864406,0.00724726,0.00724466,0.0077678,0.0157979,0.0186507,0.00949502,0.0154847,0.0129815,0.00989028,0.0106973,0.0220148,0.0130725,0.0108441,0.0124235,0.0113528,0.0119738
163,0.0161118,0.0301792,0.0576466,0.0156826,0.017217,0.00670149,0.00604744,0.00144432,0.0177606,0.0147296,0.032892,0.0152397,0.0111196,0.0142949,0.00912208,0.00959489,0.00968053,0.012526,0.0325406,0.00724921,0.00978188,0.00868296,0.0609333,0.0175962,0.00868053,0.006529,0.00636897,0.00733581,0.01518,0.0182648,0.00867059,0.0148088,0.011582,0.00962815,0.0108838,0.0228041,0.0131969,0.0106554,0.0117812,0.0110304,0.0112254
164,0.0164873,0.0305264,0.0573995,0.0168008,0.0193039,0.00606157,0.00494305,0.00100319,0.0165234,0.0138504,0.0346629,0.014659,0.00851645,0.0130317,0.00703403,0.0101704,0.0107838,0.0109118,0.0336622,0.00629793,0.0088126,0.00701692,0.0606847,0.0173075,0.00915115,0.00579011,0.00560227,0.00681523,0.014654,0.0181775,0.00712766,0.014268,0.0102087,0.00899685,0.0112065,0.0235494,0.0129804,0.0103401,0.0108498,0.0107514,0.0106755
165,0.0167237,0.0309324,0.0569866,0.0178727,0.0214373,0.00534649,0.00408132,0.00120383,0.0154979,0.0131444,0.0362181,0.0143597,0.00589597,0.0117386,0.00524279,0.0115221,0.0123437,0.00975874,0.0347713,0.00542355,0.00794815,0.0056268,0.0603291,0.0175222,0.00994446,0.00515595,0.00490818,0.00620684,0.0141587,0.0180339,0.00534295,0.0140699,0.00942907,0.00823348,0.0112651,0.0239946,0.0125911,0.0098244,0.00977817,0.0104035,0.010325
166,0.0168154,0.0313112,0.0563579,0.0183445,0.023502,0.00466236,0.0035275,0.00174761,0.0146847,0.0126867,0.0371555,0.0143525,0.00363479,0.0106182,0.00368575,0.0132228,0.0135401,0.00933481,0.0356907,0.00448902,0.00711556,0.0045707,0.0598343,0.0178247,0.010959,0.00474522,0.00423068,0.00550707,0.0136066,0.0174986,0.00381394,0.0142987,0.00949799,0.00750096,0.0107702,0.0242307,0.012139,0.00911266,0.00863306,0.00979405,0.0100379
167,0.0168586,0.0316253,0.0555417,0.0179383,0.0255941,0.00411203,0.00321845,0.00223636,0.0140547,0.0124411,0.0371194,0.0144589,0.00186655,0.00944983,0.0022017,0.0148108,0.0140516,0.00936579,0.0361603,0.00356648,0.00638267,0.00376615,0.0592301,0.0179977,0.0120843,0.00464862,0.00356715,0.00478145,0.0129567,0.0164491,0.0027968,0.0147916,0.0101784,0.00676747,0.00985823,0.0244325,0.011653,0.00829151,0.00740767,0.00880472,0.00963425
168,0.0169651,0.031888,0.0546142,0.0167414,0.0279634,0.00372425,0.00303602,0.00257338,0.0135769,0.0122817,0.0360981,0.0144236,0.00239323,0.00811532,0.00292073,0.0157491,0.0144723,0.00958936,0.0360401,0.0027795,0.00587376,0.0030875,0.0585563,0.0181171,0.0131526,0.00482563,0.0029637,0.00413182,0.0122274,0.014988,0.00227058,0.0152893,0.0109005,0.00582157,0.00879449,0.0245476,0.011104,0.00752018,0.00608998,0.0075084,0.00897378
169,0.0171907,0.0321194,0.0536388,0.0151456,0.0306129,0.00346288,0.002907,0.00280602,0.0132234,0.0120678,0.0346723,0.0140966,0.00555597,0.00744945,0.00587779,0.0160258,0.0155218,0.0101846,0.0355639,0.00219118,0.00561893,0.00252714,0.057823,0.0183201,0.013967,0.00510169,0.00247134,0.0036179,0.0114645,0.0133253,0.0022141,0.0156734,0.011248,0.00454855,0.00760613,0.024265,0.0104507,0.00707499,0.00478253,0.00611756,0.00799953
170,0.0175264,0.0323109,0.0526421,0.0136058,0.0330543,0.00329302,0.00283896,0.0030287,0.0129473,0.0116969,0.0339678,0.0135476,0.00984132,0.00906032,0.00907494,0.0164057,0.0170484,0.0116922,0.0352906,0.00181536,0.00547281,0.00224463,0.057002,0.0185553,0.0143594,0.00530509,0.00208355,0.00320216,0.0106982,0.0116537,0.00268156,0.0159818,0.0112394,0.00322741,0.00625057,0.0231539,0.00965271,0.00725305,0.00391027,0.00483348,0.00673612
171,0.0179192,0.0324055,0.0516361,0.0124182,0.034697,0.00321361,0.0029145,0.00333852,0.0126788,0.0111264,0.0351015,0.0130048,0.0145477,0.0127773,0.0119739,0.0175097,0.0184294,0.0142299,0.0355864,0.0016973,0.00522002,0.00244672,0.0560534,0.0185936,0.0142088,0.00536107,0.00174103,0.0027785,0.00994551,0.0101051,0.00356779,0.0162881,0.0111934,0.00258474,0.00492482,0.0208188,0.00865127,0.00803184,0.00420699,0.00378316,0.00528477
172,0.0182937,0.0323052,0.0506459,0.0117418,0.0353844,0.00325846,0.00324097,0.00380112,0.012352,0.0103895,0.0382809,0.0126534,0.0188739,0.0172157,0.0145908,0.0190063,0.0193553,0.0171389,0.0361601,0.00192633,0.00476853,0.00315086,0.0549532,0.0182509,0.0134352,0.00527197,0.00142849,0.00225792,0.00924486,0.0087743,0.004729,0.0166154,0.0113298,0.00289387,0.00403163,0.0170138,0.00737529,0.00905443,0.00560352,0.0031424,0.00384069
173,0.0185661,0.0319077,0.0497066,0.0116818,0.0354747,0.00347384,0.00384917,0.00443197,0.0119384,0.00960922,0.0424312,0.0125228,0.0220951,0.0212725,0.0169432,0.0202819,0.0199036,0.0196908,0.0363277,0.00254621,0.00429888,0.00422909,0.0537156,0.0175769,0.0120254,0.00508062,0.00128112,0.00164774,0.00867303,0.00775664,0.00603294,0.0169394,0.0115683,0.00341128,0.0039084,0.0117777,0.00580553,0.0100007,0.00732822,0.00325446,0.00277778
174,0.01867,0.0311631,0.0488436,0.0121672,0.0354885,0.00384848,0.00464808,0.00519174,0.011465,0.0089741,0.0457708,0.0125985,0.0238155,0.0239974,0.0186383,0.0211995,0.0203068,0.0216352,0.0355972,0.00353246,0.00429369,0.00554769,0.0524074,0.0168437,0.0100918,0.00487483,0.00148347,0.00111455,0.00831427,0.00714413,0.00716921,0.0172558,0.0117315,0.00384631,0.00448491,0.00569426,0.00410713,0.0106937,0.00887669,0.00418962,0.00267599
175,0.0185984,0.0301198,0.0480737,0.0129277,0.0356051,0.00428192,0.00547692,0.00598508,0.0110011,0.0086597,0.04667,0.0129624,0.0240655,0.0246067,0.0191053,0.0219499,0.0208391,0.0230083,0.0338101,0.00480541,0.005129,0.0069746,0.0511458,0.016346,0.00793412,0.00478527,0.00196953,0.000980739,0.00820775,0.00699246,0.00766628,0.0176395,0.011773,0.00458069,0.00540267,0.0017181,0.00294745,0.0109655,0.0100521,0.00555416,0.00352079
176,0.0184107,0.0289214,0.047435,0.0137094,0.035425,0.0046449,0.00616388,0.00668295,0.0106054,0.00873666,0.0443165,0.0137662,0.0231827,0.0229634,0.0181812,0.0226184,0.0217583,0.0236731,0.030943,0.00619424,0.00656639,0.00837071,0.0500617,0.0161971,0.00607293,0.004914,0.00257442,0.00119041,0.0083342,0.00730032,0.00730816,0.0182216,0.0117834,0.00596225,0.00641862,0.00520488,0.00342854,0.0106784,0.0108434,0.00697006,0.00472407
177,0.0181943,0.0277729,0.0469891,0.0143958,0.0344012,0.00485636,0.00658514,0.0071763,0.0102748,0.00913,0.0389696,0.0150822,0.0216256,0.0200688,0.0163675,0.0231367,0.0230934,0.0233262,0.0270604,0.00745699,0.00809444,0.00961579,0.0492573,0.0163159,0.00520849,0.00525774,0.00321655,0.00137147,0.00862379,0.00798895,0.00686231,0.019079,0.0118992,0.00769385,0.00749222,0.00700822,0.00512288,0.00997531,0.0113248,0.00820905,0.00596604
178,0.0180063,0.0268826,0.0468127,0.0149481,0.0324753,0.00491148,0.0067015,0.00741087,0.00994605,0.0096766,0.031787,0.0167561,0.0198,0.0175948,0.0145436,0.0235002,0.0244385,0.021941,0.0224997,0.00833689,0.00928852,0.01063,0.0487502,0.0165624,0.00573869,0.00572802,0.00386961,0.00142657,0.00896069,0.00888298,0.00811861,0.0201203,0.0122423,0.00923394,0.00864893,0.00685002,0.00712135,0.00939462,0.0115843,0.00916795,0.00711207
179,0.0178443,0.0264125,0.0469489,0.015309,0.0300858,0.00484101,0.0065617,0.00740539,0.00954184,0.0102199,0.0243004,0.0184557,0.0179895,0.0162544,0.0135439,0.0238118,0.0252301,0.0201227,0.0178953,0.00864098,0.00988674,0.0114349,0.0484652,0.0168534,0.00741668,0.00622232,0.00451328,0.00144596,0.00919548,0.00974504,0.0111455,0.0210897,0.0127489,0.0103517,0.00977419,0.00643019,0.00865294,0.00930615,0.0116967,0.0098363,0.00808654
180,0.0176688,0.0264174,0.0473576,0.0153919,0.027483,0.00464578,0.00624102,0.00722258,0.00903255,0.0106439,0.017899,0.0198966,0.0163842,0.0154189,0.0136992,0.0240772,0.0253237,0.0189373,0.0139461,0.00828794,0.00980299,0.0121944,0.0482855,0.0172169,0.00988447,0.00666059,0.0050946,0.00153978,0.00919409,0.0103447,0.0143835,0.021742,0.012949,0.0111134,0.0105345,0.00663183,0.00878336,0.00929478,0.0117108,0.0102469,0.00882573
181,0.0174554,0.026816,0.0478955,0.0151364,0.0243726,0.00430576,0.00578319,0.00693783,0.00845671,0.0108793,0.0136366,0.0210071,0.0152154,0.0150387,0.0145615,0.024115,0.0251914,0.0190586,0.0111179,0.00734638,0.00913781,0.0131706,0.0481161,0.0177819,0.0127479,0.00699785,0.00554637,0.00171579,0.00889763,0.0105268,0.0170603,0.0220651,0.0122066,0.011378,0.0105517,0.00638512,0.00710412,0.00894788,0.0116711,0.0104628,0.00929078
182,0.0172202,0.0274051,0.0483605,0.0145948,0.0203897,0.00384468,0.00520721,0.00663177,0.00790841,0.0109169,0.0121811,0.0218358,0.0147884,0.0160555,0.0153483,0.0237552,0.0253681,0.0199725,0.00953608,0.00607231,0.00813558,0.0145245,0.0479222,0.0186521,0.0155109,0.00720774,0.00581099,0.00189969,0.00835476,0.0102571,0.0195076,0.0222705,0.0103564,0.0106533,0.00968009,0.00491376,0.00500406,0.00904564,0.0116258,0.0105723,0.00948632
183,0.0170148,0.0279645,0.0485736,0.0139496,0.0156834,0.00335773,0.00459183,0.00639972,0.00748277,0.0108439,0.0130215,0.0224027,0.0153069,0.0184628,0.0155326,0.0231082,0.0257544,0.0205406,0.00914418,0.00502711,0.00711936,0.0161551,0.0477182,0.0197377,0.0177813,0.00726951,0.00586749,0.00202734,0.00769045,0.00963224,0.0223786,0.0225565,0.00816244,0.00870522,0.00817025,0.0025527,0.00608901,0.0110075,0.0116175,0.0106686,0.0094648
184,0.0168865,0.0283868,0.0484627,0.0134414,0.0110485,0.00295555,0.0041,0.00630201,0.00721926,0.0108118,0.0145388,0.0226462,0.0164915,0.0208954,0.0149464,0.0224881,0.0256991,0.0200203,0.0097175,0.00503291,0.00640599,0.0177325,0.0475393,0.0207435,0.0193285,0.00715418,0.00571665,0.00204966,0.00704809,0.00883809,0.0256728,0.0228907,0.00703462,0.00611346,0.00660806,0.00121695,0.00889246,0.0145016,0.0116439,0.0108044,0.00927961
185,0.0168738,0.0287885,0.0480803,0.0132407,0.00783913,0.00274315,0.00390605,0.00633605,0.00709125,0.0109066,0.0154406,0.0224841,0.0175162,0.022168,0.0136717,0.0220439,0.0246762,0.0183971,0.0108432,0.00625782,0.00624161,0.0188948,0.047406,0.0213373,0.0199125,0.00686714,0.00541025,0.00194014,0.00651065,0.00807013,0.0285472,0.0230899,0.00721514,0.00419305,0.0056033,0.00312921,0.0103138,0.0177704,0.011675,0.0109618,0.00898407
186,0.016962,0.0293627,0.0475998,0.0133502,0.00744792,0.00277679,0.00400053,0.00638172,0.0070572,0.0110576,0.0153151,0.0218306,0.0175817,0.0219277,0.0119619,0.0214577,0.0225993,0.0161343,0.012241,0.00793581,0.00662373,0.019371,0.0473475,0.0213813,0.0193898,0.00645183,0.0049903,0.00167927,0.00613372,0.00746074,0.0300269,0.0230297,0.00746228,0.00373162,0.00532645,0.00488243,0.00961069,0.0195187,0.0116382,0.0110683,0.00858842
187,0.0171231,0.0301992,0.0472495,0.0135866,0.00933596,0.00303831,0.00425063,0.00630212,0.00711702,0.0111441,0.0146284,0.0207101,0.0165328,0.0205247,0.0101488,0.0202137,0.0197846,0.0137739,0.0140772,0.00937875,0.00726868,0.0190731,0.0474064,0.0209648,0.018217,0.00598957,0.0044939,0.00130052,0.0059503,0.00704157,0.0297035,0.0227148,0.00727592,0.00374227,0.00548634,0.00584225,0.00744024,0.0198096,0.011457,0.0110374,0.00808024
188,0.0173293,0.0311378,0.0472254,0.0136858,0.0119784,0.00339147,0.00451577,0.00604707,0.00729964,0.0111547,0.0144568,0.0193049,0.0148813,0.0186029,0.00849374,0.0180457,0.0167005,0.0116451,0.0166892,0.0101658,0.00781524,0.018074,0.0476463,0.0203199,0.017341,0.00556726,0.0039596,0.000943757,0.00597644,0.00679191,0.0279279,0.0221667,0.00732023,0.00413842,0.00598918,0.00573418,0.00534687,0.0197024,0.0110918,0.0108034,0.00745288
189,0.0175454,0.0318135,0.0476133,0.0134321,0.0145246,0.0037377,0.00467033,0.00568202,0.00760156,0.0111921,0.0156261,0.0178571,0.0132811,0.0167404,0.00705804,0.0151027,0.0137012,0.00983048,0.0200782,0.0100652,0.00803965,0.0164958,0.0481462,0.0197408,0.0170681,0.00523369,0.00343942,0.000835391,0.0061896,0.00669118,0.0254913,0.0213383,0.00858535,0.0062731,0.00720338,0.00454972,0.0045612,0.0194301,0.0105523,0.0103285,0.00672849
190,0.0176897,0.0319058,0.0483612,0.0127854,0.0165353,0.00403736,0.0045998,0.00530902,0.00797549,0.011358,0.0178897,0.0164805,0.0120803,0.0152877,0.00579841,0.0117573,0.0108817,0.00824917,0.0237803,0.00901342,0.00788538,0.014329,0.0490122,0.0195182,0.0167589,0.00498467,0.00297287,0.00095454,0.00653956,0.00673356,0.0230528,0.0201898,0.0109896,0.0097914,0.00923813,0.00286142,0.00501934,0.018152,0.00984134,0.0095678,0.00591757
191,0.0176448,0.0314425,0.0493255,0.01197,0.017892,0.00405443,0.00422028,0.00498363,0.00840925,0.0116471,0.0204138,0.0150713,0.0113854,0.0143642,0.0049222,0.00837349,0.00825971,0.00679032,0.0270886,0.00718624,0.00743507,0.0113849,0.0503703,0.019888,0.0158662,0.00480393,0.00257362,0.00108973,0.00700362,0.00693296,0.0205284,0.0188527,0.0131925,0.0129481,0.0113057,0.00168413,0.00728808,0.0160645,0.00889087,0.00843444,0.0049838
192,0.0173289,0.0307992,0.0503785,0.0114579,0.0186827,0.00347351,0.00348985,0.00465569,0.00905149,0.0119146,0.0225052,0.0134135,0.0112985,0.0138216,0.0050243,0.00536477,0.00638053,0.00556088,0.0293436,0.00516737,0.00695143,0.00756535,0.0523082,0.0209379,0.0143362,0.00472806,0.00228759,0.00127361,0.00765112,0.00735301,0.0172377,0.0176889,0.0136833,0.0140488,0.0121927,0.00117741,0.0107666,0.0142882,0.00757932,0.00685014,0.00397665
193,0.0168012,0.0304072,0.051446,0.0117246,0.0189526,0.00251241,0.00258256,0.00419859,0.0101887,0.0120553,0.0238051,0.0115633,0.0118651,0.0133136,0.00620075,0.00395006,0.00676005,0.00522744,0.030186,0.00422183,0.00701886,0.00407996,0.0547737,0.0224125,0.012238,0.00489169,0.0024324,0.00175858,0.00860403,0.00810979,0.0137715,0.0171889,0.011752,0.0124541,0.0111263,0.000810253,0.0132999,0.012684,0.00600203,0.00506183,0.00360566
194,0.0162322,0.0304625,0.0524502,0.0129026,0.0186219,0.00242196,0.00238441,0.00353557,0.0119576,0.012142,0.0241931,0.0101399,0.0128638,0.0125013,0.00771928,0.00544934,0.00933646,0.00629063,0.0296836,0.0049045,0.00803322,0.00568854,0.0574978,0.0236284,0.00971775,0.00544291,0.00341511,0.00262775,0.00991846,0.0093171,0.013392,0.0176756,0.00808697,0.00939247,0.00842505,0.00206561,0.013482,0.0111733,0.00508979,0.00444603,0.00495844
195,0.0158161,0.030892,0.0532446,0.0146214,0.0176043,0.00362463,0.00354272,0.00281566,0.0140853,0.0122915,0.0237351,0.00974591,0.013889,0.0112443,0.00890111,0.00830285,0.0123777,0.00802435,0.0282263,0.00577323,0.00937968,0.00946717,0.0600165,0.0238529,0.00722351,0.00633047,0.00498534,0.00365541,0.0114346,0.0109386,0.0166252,0.0188522,0.0047888,0.00731798,0.00553302,0.0042033,0.0117098,0.0116665,0.00599162,0.00600849,0.00725998
196,0.015623,0.0314754,0.0536623,0.0162444,0.0159566,0.00507854,0.00500412,0.00247838,0.0160419,0.012468,0.0226062,0.00996573,0.0146458,0.00957206,0.00947383,0.0114488,0.0149915,0.00954986,0.0262542,0.00596839,0.0100041,0.0117849,0.0618718,0.0230444,0.00565292,0.00730049,0.00656915,0.00455021,0.0128204,0.0127201,0.0196233,0.0197845,0.00369945,0.0064888,0.00399346,0.0069358,0.00981716,0.0139492,0.00763414,0.00786568,0.00926176
197,0.0155438,0.0320159,0.0536442,0.0172801,0.0139081,0.00638879,0.00600991,0.00280766,0.0173586,0.0125144,0.0210217,0.0101237,0.0150819,0.00762355,0.0096177,0.0143613,0.0171496,0.0104976,0.0240061,0.00560693,0.00939345,0.0121441,0.0628528,0.0221945,0.00556717,0.00808994,0.00770021,0.00511901,0.0137469,0.014262,0.0205534,0.0196086,0.00329372,0.00509677,0.00392194,0.0100609,0.00953966,0.0157253,0.00853058,0.00861487,0.0103065
198,0.0153996,0.0324522,0.0532895,0.0176313,0.0117783,0.00739882,0.00635728,0.00340802,0.0178198,0.0123229,0.0191879,0.0101738,0.0152941,0.00573,0.00977513,0.0164287,0.0191483,0.0109918,0.0215582,0.00512726,0.00787088,0.0112201,0.063093,0.0226906,0.00596545,0.00853534,0.00813558,0.0053145,0.0140349,0.0151865,0.0199565,0.0181911,0.00389443,0.00473137,0.00531848,0.0128325,0.0111756,0.0165881,0.00822613,0.00809957,0.0102825
199,0.0151285,0.0328453,0.0527936,0.0175254,0.00987458,0.00794551,0.00618869,0.00381127,0.0175141,0.0119696,0.0172082,0.0102179,0.0153171,0.00460748,0.0101138,0.0173895,0.0210644,0.0114363,0.0190106,0.00480954,0.00630492,0.0100344,0.0629231,0.0251764,0.00580608,0.00856765,0.00786229,0.00515598,0.0136815,0.0152827,0.0191758,0.0161773,0.00654258,0.00797545,0.00778424,0.0143344,0.01364,0.0175849,0.00701056,0.00693222,0.00943012
200,0.0148188,0.0332648,0.0523019,0.0172467,0.00844194,0.00789344,0.00576037,0.00378412,0.0167633,0.0116951,0.0150714,0.0101838,0.0150892,0.00495791,0.0103854,0.0178835,0.0226198,0.0120557,0.0165263,0.00462454,0.00532851,0.00927366,0.0626648,0.0288343,0.005084,0.00822547,0.00706144,0.0046864,0.0128395,0.014594,0.0190856,0.0145699,0.00928441,0.0118898,0.00995935,0.0141692,0.0154202,0.0193327,0.00547849,0.00587695,0.00810653
201,0.0145872,0.0337009,0.0518399,0.0169027,0.00768486,0.00718104,0.0052995,0.00329067,0.0159562,0.0117294,0.0127557,0.0100915,0.0145836,0.00612861,0.0103514,0.0191216,0.023443,0.0126517,0.0141552,0.00438977,0.00479618,0.0090226,0.0624749,0.0317988,0.00449787,0.00766829,0.00598749,0.00399942,0.0117283,0.0133642,0.0196462,0.0142178,0.0109867,0.014487,0.0108832,0.0127238,0.0156962,0.0213349,0.00409725,0.00524149,0.00659162
