Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
11,0.0167073,0.0302892,0.0535603,0.0196124,0.0307652,0.00553223,0.00379703,0.00123559,0.0152676,0.0099294,0.0350357,0.0109389,0.00823626,0.00840806,0.00651456,0.0116714,0.0116591,0.00818408,0.0367702,0.00282479,0.00554652,0.00310232,0.0578147,0.0171954,0.0131097,0.00497635,0.00543266,0.00613617,0.0114294,0.0115705,0.00625544,0.0146716,0.0125397,0.00456143,0.00794899,0.0261789,0.0142014,0.00847059,0.00707695,0.00877154,0.0111447
12,0.0172253,0.0304855,0.052338,0.0182257,0.0341874,0.00561797,0.00350585,0.00113026,0.0147321,0.00911036,0.0372642,0.00995673,0.0121643,0.0111098,0.00981617,0.0133133,0.0142599,0.0104908,0.0379085,0.00218246,0.004941,0.00306645,0.0569441,0.0178425,0.0133896,0.00467658,0.00541788,0.00583573,0.0109431,0.0102635,0.00557076,0.0153522,0.0129694,0.00367012,0.00726427,0.0252342,0.013301,0.00835996,0.00618294,0.00792273,0.0103318
13,0.0179045,0.0305047,0.0512258,0.0171155,0.0359819,0.00589607,0.00345575,0.00123813,0.0141415,0.00844149,0.043493,0.00912052,0.0163475,0.0155562,0.0128909,0.0158645,0.0168146,0.0133013,0.0401615,0.00188737,0.00435538,0.00354098,0.0558323,0.0178827,0.0132426,0.00432082,0.00542695,0.00556865,0.01033,0.00907281,0.00517649,0.0157766,0.012736,0.00286611,0.00673499,0.0225259,0.0122245,0.00839502,0.00577688,0.00706795,0.00936689
14,0.0185771,0.0302659,0.0502034,0.0164095,0.0362863,0.00628864,0.00361333,0.00155583,0.0134359,0.00790266,0.0517827,0.00856387,0.0198421,0.0200284,0.0153467,0.0187073,0.0181342,0.0155538,0.0423247,0.00197358,0.00369706,0.00436133,0.0544922,0.0173926,0.0124786,0.00394856,0.00544791,0.0052949,0.00965403,0.00808966,0.0051515,0.0159121,0.0122256,0.00245927,0.00617747,0.0180244,0.0107115,0.0081876,0.00583564,0.0062392,0.00833844
15,0.019103,0.029724,0.0492711,0.0161964,0.0356505,0.00671737,0.00396514,0.00203694,0.0126454,0.00747544,0.0587672,0.00833363,0.0219834,0.0230193,0.0167481,0.0208393,0.0182149,0.0170488,0.0435433,0.00251857,0.0032463,0.00540486,0.0530149,0.0167947,0.0111142,0.00359719,0.00544769,0.0049859,0.00898382,0.00735385,0.00555998,0.0158031,0.0118145,0.00271082,0.00566491,0.0123642,0.00864632,0.00779118,0.00612346,0.00543507,0.00728697
16,0.0194119,0.0289017,0.0484788,0.016483,0.034579,0.0070985,0.00445655,0.00261929,0.0118799,0.00719676,0.0617472,0.00851434,0.0225694,0.023532,0.0166549,0.021683,0.0177377,0.0181422,0.0434959,0.00345996,0.00355144,0.00659805,0.0515648,0.0164391,0.00945795,0.0033023,0.00538356,0.00464865,0.00836639,0.00689183,0.00624248,0.0156004,0.0115591,0.00358337,0.0054627,0.0070352,0.00625747,0.00745158,0.00638194,0.00465716,0.00622444
17,0.0195041,0.0279011,0.0479133,0.0171536,0.0332501,0.00734266,0.00496883,0.00322369,0.0112482,0.00711966,0.0599635,0.00924546,0.0218249,0.0214535,0.0150671,0.021282,0.017597,0.0189539,0.0420224,0.00458331,0.00457199,0.00783485,0.0503367,0.0164148,0.00799309,0.00310292,0.00522484,0.00431102,0.00783342,0.00677507,0.0067987,0.0155624,0.0113326,0.00501846,0.00571286,0.00468182,0.00414313,0.00735534,0.00647384,0.00396513,0.00517461
18,0.0194457,0.0268917,0.0476427,0.017987,0.0317222,0.00738349,0.0053714,0.00377046,0.0107724,0.0072382,0.0545342,0.0105975,0.0202127,0.0178358,0.0126376,0.0201484,0.0183852,0.0191173,0.0390588,0.00563925,0.00573226,0.00898487,0.0494856,0.016579,0.00707902,0.00304103,0.00497991,0.00398653,0.00741945,0.00711452,0.00688481,0.0159836,0.0111037,0.00685622,0.006295,0.00528827,0.00318923,0.00755332,0.00639284,0.00354595,0.00423968
19,0.0193346,0.0260522,0.0476803,0.0187258,0.0302952,0.00720529,0.00557447,0.00420832,0.0103782,0.00748886,0.0473959,0.0125122,0.0181541,0.0145359,0.0103749,0.0190413,0.0198873,0.018314,0.0349263,0.00640288,0.00659754,0.00995729,0.0490505,0.0167173,0.00675623,0.00315287,0.00471391,0.00367065,0.00714379,0.00791886,0.00671929,0.0170008,0.0109767,0.00869526,0.00703326,0.00524712,0.00429149,0.00803911,0.00619584,0.00360878,0.00365325
20,0.0192499,0.0255047,0.0479786,0.0191494,0.0293753,0.00683776,0.00555214,0.00453839,0.00996266,0.00781576,0.040177,0.0147818,0.0158542,0.0127476,0.00916707,0.0186523,0.0213038,0.0167501,0.0303447,0.00672633,0.00696988,0.0107768,0.0489319,0.0167172,0.0070595,0.00343977,0.00454234,0.00337585,0.00696052,0.00897632,0.00725193,0.0183874,0.0111076,0.0101359,0.00791822,0.00413355,0.00689278,0.00866128,0.00594307,0.00409698,0.0036368
