Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0254383,0.0349853,0.0182587,0.0144323,0.0201484,0.0109118,0.00686517,0.00940716,0.0124635,0.0163249,0.0213179,0.0185338,0.013614,0.0161139,0.0112648,0.0142528,0.0164201,0.0122,0.0228973,0.0109555,0.0138156,0.00839047,0.0136459,0.0151181,0.0162958,0.00679899,0.00692185,0.004839,0.013987,0.0166499,0.0246339,0.0168717,0.0109694,0.0113999,0.00972324,0.0138415,0.0151761,0.0110005,0.0252631,0.0113084,0.0143922,0.0102835
0,0.0246306,0.0409119,0.0183606,0.0208802,0.00888437,0.00564964,0.0049848,0.00501036,0.0194096,0.0157434,0.00898552,0.0134861,0.0106332,0.0154347,0.00955367,0.00805352,0.00664248,0.0102446,0.00735934,0.0117606,0.0110915,0.0133955,0.0145734,0.0132981,0.018062,0.00536778,0.00254831,0.0024518,0.0162988,0.0213312,0.0443947,0.0123598,0.00823186,0.00723098,0.00972939,0.00700951,0.0102305,0.00859211,0.0496314,0.00856508,0.0080605,0.00907702
1,0.0256667,0.0407519,0.0205011,0.0180507,0.00703819,0.00577349,0.00698347,0.00397029,0.0199344,0.0170523,0.00576689,0.0133976,0.00540423,0.0149984,0.0119664,0.00486158,0.00835072,0.00796006,0.00989362,0.0119607,0.0113983,0.0130643,0.0137767,0.0149798,0.0147972,0.00774008,0.00437963,0.00433388,0.0162782,0.0205806,0.0453265,0.0118083,0.00433827,0.00348936,0.00726271,0.0105725,0.01395,0.00978154,0.0505959,0.0106092,0.00910131,0.0093808
2,0.025872,0.0410721,0.0217047,0.0163013,0.00642481,0.00666532,0.00813604,0.00453454,0.0201577,0.018082,0.00744385,0.01391,0.00531023,0.0157247,0.0138208,0.00474513,0.00792367,0.00659818,0.0137403,0.0117639,0.0121055,0.0128751,0.0126499,0.0157028,0.0132402,0.00995696,0.00598622,0.00641595,0.0164433,0.0202271,0.0468942,0.0118884,0.00476124,0.0027231,0.00626363,0.013815,0.0171085,0.012011,0.051346,0.0127167,0.0120307,0.00969489
3,0.0253021,0.0417626,0.022019,0.0158755,0.0061143,0.00737873,0.00846076,0.00493816,0.0199645,0.018537,0.0119601,0.0148499,0.00512626,0.0175378,0.0151598,0.00524926,0.0049542,0.00705675,0.0179273,0.011648,0.0132676,0.0126057,0.011463,0.015557,0.0124784,0.0108764,0.00687062,0.00759981,0.0166109,0.0199984,0.0471304,0.0123944,0.00641266,0.00303424,0.00555275,0.0161433,0.0190534,0.0132085,0.0504262,0.0143901,0.0142171,0.00980014
4,0.0244969,0.0425272,0.021734,0.0167605,0.00602392,0.00740742,0.00808904,0.00445597,0.0193216,0.0182965,0.0167416,0.0158777,0.00674462,0.0191553,0.0161404,0.00423582,0.00518932,0.00858404,0.0219841,0.011521,0.014443,0.0120795,0.0106257,0.014905,0.0118031,0.0100991,0.00696691,0.00756635,0.0167448,0.019715,0.045562,0.0129895,0.0079356,0.00380046,0.00462273,0.0178587,0.0199436,0.0131471,0.0478831,0.0152199,0.0143917,0.00970679
5,0.0241159,0.0430408,0.0213888,0.0183055,0.00623296,0.00702625,0.00739549,0.00358059,0.0183954,0.0176122,0.0209517,0.0165773,0.00918857,0.0194209,0.0164844,0.00260015,0.00757954,0.0094835,0.0256082,0.0105085,0.014794,0.0113467,0.0101881,0.014322,0.0118339,0.00831972,0.00648976,0.00672976,0.0168678,0.0193968,0.0429041,0.0132824,0.00929389,0.00505549,0.00389966,0.0194952,0.0205672,0.0126009,0.0448968,0.0150875,0.0129296,0.0095706
6,0.0242784,0.0431569,0.021387,0.0194963,0.00646929,0.00662752,0.00686757,0.00285345,0.0173943,0.0167401,0.0241578,0.0167629,0.00985947,0.0182488,0.015821,0.00407603,0.00854685,0.00904568,0.0286704,0.0081453,0.0135874,0.010495,0.00988176,0.0142078,0.0130845,0.00645655,0.00559356,0.00565966,0.0168563,0.0191144,0.0397807,0.0131202,0.0102659,0.00638858,0.00445476,0.0211223,0.0213844,0.0122261,0.0422932,0.014079,0.0111707,0.00937921
7,0.0245248,0.0429202,0.0217533,0.0196263,0.00660932,0.00643165,0.00655157,0.00262586,0.0164485,0.0157238,0.0260015,0.0164595,0.00894491,0.016179,0.0141291,0.00606677,0.00822976,0.0075838,0.0311991,0.00520667,0.0105608,0.00946718,0.00952347,0.0146384,0.0149126,0.00499746,0.00451112,0.00480714,0.0165365,0.0188123,0.0363352,0.0126608,0.0105161,0.0073879,0.00599485,0.0223649,0.0222064,0.0120897,0.0399808,0.0124405,0.00981579,0.00894926
8,0.0243441,0.0424774,0.0222109,0.0187195,0.00735351,0.00645754,0.00621445,0.00315022,0.0156308,0.0145709,0.0262809,0.0157683,0.00775169,0.013477,0.0119435,0.00648499,0.00673537,0.00542332,0.0333241,0.00396262,0.00594997,0.00816236,0.00908946,0.0155057,0.0163047,0.00399303,0.00361115,0.00423428,0.0158107,0.0182581,0.0325774,0.0122645,0.0100909,0.00796689,0.00717107,0.0226853,0.0224894,0.0118676,0.0373994,0.0106319,0.00877921,0.00817465
